,专用设备制造业规模以上工业企业利润总额,交通运输设备制造业规模以上工业企业利润总额,仪器仪表及文化办公用机械制造业规模以上工业企业利润总额,其他矿采选业规模以上工业企业利润总额,其它制造业规模以上工业企业利润总额,化学原料及化学制品制造业规模以上工业企业利润总额,化学纤维制造业规模以上工业企业利润总额,医药制造业规模以上工业企业利润总额,印刷业、记录媒介的复制规模以上工业企业利润总额,塑料制品业规模以上工业企业利润总额,家具制造业规模以上工业企业利润总额,文教体育用品制造业规模以上工业企业利润总额,普通机械制造业规模以上工业企业利润总额,有色金属冶炼及压延加工业规模以上工业企业利润总额,有色金属矿采选业规模以上工业企业利润总额,服装及其他纤维制品制造业规模以上工业企业利润总额,木材加工及竹、藤、棕、草制品业规模以上工业企业利润总额,木材及竹材采运业规模以上工业企业利润总额,橡胶制品业规模以上工业企业利润总额,烟草加工业规模以上工业企业利润总额,煤气生产和供应业规模以上工业企业利润总额,煤炭采选业规模以上工业企业利润总额,电力、蒸汽、热水的生产和供应业规模以上工业企业利润总额,电子及通信设备制造业规模以上工业企业利润总额,电气机械及器材制造业规模以上工业企业利润总额,皮革、毛皮、羽绒及其制品业规模以上工业企业利润总额,石油加工及炼焦业规模以上工业企业利润总额,石油和天然气开采业规模以上工业企业利润总额,纺织业规模以上工业企业利润总额,自来水的生产和供应业规模以上工业企业利润总额,规模以上工业企业利润总额,造纸及纸制品业规模以上工业企业利润总额,金属制品业规模以上工业企业利润总额,非金属矿物制造业规模以上工业企业利润总额,非金属矿采选业规模以上工业企业利润总额,食品制造业规模以上工业企业利润总额,食品加工业规模以上工业企业利润总额,饮料制造业规模以上工业企业利润总额,黑色金属冶炼及压延加工业规模以上工业企业利润总额,黑色金属矿采选业规模以上工业企业利润总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,60.88831,194.76394,38.21268,0.11166,31.29106,170.9482,63.52579,136.57688,47.3073,70.82214,15.96198,22.7916,96.76252,63.51697,30.83788,86.43551,17.74966,1.133,10.34528,142.58485,-3.69307,0.4979,457.15637,497.13465,195.39775,34.8628,2.37682,1148.41534,136.87586,9.27145,4393.48,59.51963,71.6535,97.49564,10.68832,54.78665,68.73597,97.51024,158.08663,6.53681
