,专用设备制造业规模以上工业企业固定资产合计,交通运输设备制造业规模以上工业企业固定资产合计,仪器仪表及文化办公用机械制造业规模以上工业企业固定资产合计,其他矿采选业规模以上工业企业固定资产合计,其它制造业规模以上工业企业固定资产合计,化学原料及化学制品制造业规模以上工业企业固定资产合计,化学纤维制造业规模以上工业企业固定资产合计,医药制造业规模以上工业企业固定资产合计,印刷业、记录媒介的复制规模以上工业企业固定资产合计,塑料制品业规模以上工业企业固定资产合计,家具制造业规模以上工业企业固定资产合计,文教体育用品制造业规模以上工业企业固定资产合计,普通机械制造业规模以上工业企业固定资产合计,有色金属冶炼及压延加工业规模以上工业企业固定资产合计,有色金属矿采选业规模以上工业企业固定资产合计,服装及其他纤维制品制造业规模以上工业企业固定资产合计,木材加工及竹、藤、棕、草制品业规模以上工业企业固定资产合计,木材及竹材采运业规模以上工业企业固定资产合计,橡胶制品业规模以上工业企业固定资产合计,烟草加工业规模以上工业企业固定资产合计,煤气生产和供应业规模以上工业企业固定资产合计,煤炭采选业规模以上工业企业固定资产合计,电力、蒸汽、热水的生产和供应业规模以上工业企业固定资产合计,电子及通信设备制造业规模以上工业企业固定资产合计,电气机械及器材制造业规模以上工业企业固定资产合计,皮革、毛皮、羽绒及其制品业规模以上工业企业固定资产合计,石油加工及炼焦业规模以上工业企业固定资产合计,石油和天然气开采业规模以上工业企业固定资产合计,纺织业规模以上工业企业固定资产合计,自来水的生产和供应业规模以上工业企业固定资产合计,规模以上工业企业固定资产合计,造纸及纸制品业规模以上工业企业固定资产合计,金属制品业规模以上工业企业固定资产合计,非金属矿物制造业规模以上工业企业固定资产合计,非金属矿采选业规模以上工业企业固定资产合计,食品制造业规模以上工业企业固定资产合计,食品加工业规模以上工业企业固定资产合计,饮料制造业规模以上工业企业固定资产合计,黑色金属冶炼及压延加工业规模以上工业企业固定资产合计,黑色金属矿采选业规模以上工业企业固定资产合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,1081.04756,2817.7396,284.85907,1.11956,229.44683,4320.14525,1011.24375,897.70442,432.20108,842.67858,130.60072,164.71304,1620.66504,1401.37999,292.96831,537.17139,336.7052,197.48931,465.95216,704.64725,376.80719,2187.39631,12364.01234,1916.33443,1564.35533,286.87039,2266.74228,3094.23814,2526.38737,1050.1894,59467.49773,1232.50159,907.43008,3073.60019,357.15319,736.71995,1320.65038,1185.54391,4768.1026,125.17784
2001年,1059.5249,2988.56266,301.26713,0.63791,253.46948,4478.44298,858.65572,1030.34154,522.18019,929.44927,139.488,172.60191,1631.45598,1501.21763,291.51339,582.42099,369.83324,189.75294,480.90773,720.97901,380.17805,2412.39854,13966.69465,2237.36707,1650.43919,304.35757,2424.08253,3286.74526,2622.40157,1138.29457,63463.97988,1374.46906,985.67599,3068.05256,362.8661,779.08986,1321.12329,1201.19033,4989.79005,131.18889
2002年,1086.52858,3135.15176,323.29471,1.13244,278.83052,4696.3101,850.26164,1208.18125,510.24156,1010.69299,159.51813,201.21844,1716.02518,1633.32241,296.45691,640.64726,377.93425,186.59191,515.17818,707.09663,413.95028,2713.83731,15467.94559,2603.15168,1720.95701,330.20988,2329.82394,3457.24305,2807.36545,1304.63491,67882.55008,1464.39723,1020.44139,3206.501,382.01528,878.14965,1394.22979,1245.82019,5121.24424,150.58859
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
