,专用设备制造业规模以上工业企业出口交货值,交通运输设备制造业规模以上工业企业出口交货值,仪器仪表及文化办公用机械制造业规模以上工业企业出口交货值,其他矿采选业规模以上工业企业出口交货值,其它制造业规模以上工业企业出口交货值,化学原料及化学制品制造业规模以上工业企业出口交货值,化学纤维制造业规模以上工业企业出口交货值,医药制造业规模以上工业企业出口交货值,印刷业、记录媒介的复制规模以上工业企业出口交货值,塑料制品业规模以上工业企业出口交货值,家具制造业规模以上工业企业出口交货值,文教体育用品制造业规模以上工业企业出口交货值,普通机械制造业规模以上工业企业出口交货值,有色金属冶炼及压延加工业规模以上工业企业出口交货值,有色金属矿采选业规模以上工业企业出口交货值,服装及其他纤维制品制造业规模以上工业企业出口交货值,木材加工及竹、藤、棕、草制品业规模以上工业企业出口交货值,木材及竹材采运业规模以上工业企业出口交货值,橡胶制品业规模以上工业企业出口交货值,烟草加工业规模以上工业企业出口交货值,煤气生产和供应业规模以上工业企业出口交货值,煤炭采选业规模以上工业企业出口交货值,电力、蒸汽、热水的生产和供应业规模以上工业企业出口交货值,电子及通信设备制造业规模以上工业企业出口交货值,电气机械及器材制造业规模以上工业企业出口交货值,皮革、毛皮、羽绒及其制品业规模以上工业企业出口交货值,石油加工及炼焦业规模以上工业企业出口交货值,石油和天然气开采业规模以上工业企业出口交货值,纺织业规模以上工业企业出口交货值,自来水的生产和供应业规模以上工业企业出口交货值,规模以上工业企业出口交货值,造纸及纸制品业规模以上工业企业出口交货值,金属制品业规模以上工业企业出口交货值,非金属矿物制造业规模以上工业企业出口交货值,非金属矿采选业规模以上工业企业出口交货值,食品制造业规模以上工业企业出口交货值,食品加工业规模以上工业企业出口交货值,饮料制造业规模以上工业企业出口交货值,黑色金属冶炼及压延加工业规模以上工业企业出口交货值,黑色金属矿采选业规模以上工业企业出口交货值
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,193.3551,515.77423,378.78634,1.11028,504.54966,546.3015,69.97463,167.93074,39.85252,489.15224,139.01939,398.24218,479.81102,236.88323,14.12985,1294.10403,96.47565,2.30293,185.3072,11.1762,0.92833,79.36301,50.84123,2989.90417,953.07378,781.62448,172.4569,198.77262,1476.8156,1.00358,14575.02577,124.16229,702.16753,326.99647,32.91216,135.45892,402.45638,45.45501,319.81828,0.62161
2001年,225.17214,583.42697,459.07408,1.38558,557.67869,594.53672,70.28656,183.37811,59.14409,501.49481,159.35756,433.01495,520.57149,235.43427,17.08975,1355.35563,110.23556,0.7969,189.45141,14.5484,0.38688,114.73184,56.16952,3792.92552,1102.80113,889.60496,174.06332,145.93083,1588.88143,0.73645,16245.08997,126.50346,691.46609,375.79506,26.8948,143.25948,449.99291,54.1266,226.74592,0.32576
2002年,231.24179,714.61939,505.42266,0.43422,666.1835,682.09078,82.72248,203.95422,66.35439,619.91461,222.89487,514.92326,617.3282,266.65365,17.91855,1544.09696,142.88443,1.14446,215.47106,18.21599,3.06627,131.43527,56.48447,5522.37386,1359.51587,1025.36351,216.69278,139.12565,1763.76064,0.56483,20055.23502,148.6531,870.81482,429.54697,33.12131,173.774,529.19019,61.32262,235.17789,1.1035
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
