,专用设备制造业规模以上工业企业财务费用,交通运输设备制造业规模以上工业企业财务费用,仪器仪表及文化办公用机械制造业规模以上工业企业财务费用,其他矿采选业规模以上工业企业财务费用,其它制造业规模以上工业企业财务费用,化学原料及化学制品制造业规模以上工业企业财务费用,化学纤维制造业规模以上工业企业财务费用,医药制造业规模以上工业企业财务费用,印刷业、记录媒介的复制规模以上工业企业财务费用,塑料制品业规模以上工业企业财务费用,家具制造业规模以上工业企业财务费用,文教体育用品制造业规模以上工业企业财务费用,普通机械制造业规模以上工业企业财务费用,有色金属冶炼及压延加工业规模以上工业企业财务费用,有色金属矿采选业规模以上工业企业财务费用,服装及其他纤维制品制造业规模以上工业企业财务费用,木材加工及竹、藤、棕、草制品业规模以上工业企业财务费用,木材及竹材采运业规模以上工业企业财务费用,橡胶制品业规模以上工业企业财务费用,烟草加工业规模以上工业企业财务费用,煤气生产和供应业规模以上工业企业财务费用,煤炭采选业规模以上工业企业财务费用,电力、蒸汽、热水的生产和供应业规模以上工业企业财务费用,电子及通信设备制造业规模以上工业企业财务费用,电气机械及器材制造业规模以上工业企业财务费用,皮革、毛皮、羽绒及其制品业规模以上工业企业财务费用,石油加工及炼焦业规模以上工业企业财务费用,石油和天然气开采业规模以上工业企业财务费用,纺织业规模以上工业企业财务费用,自来水的生产和供应业规模以上工业企业财务费用,规模以上工业企业财务费用,造纸及纸制品业规模以上工业企业财务费用,金属制品业规模以上工业企业财务费用,非金属矿物制造业规模以上工业企业财务费用,非金属矿采选业规模以上工业企业财务费用,食品制造业规模以上工业企业财务费用,食品加工业规模以上工业企业财务费用,饮料制造业规模以上工业企业财务费用,黑色金属冶炼及压延加工业规模以上工业企业财务费用,黑色金属矿采选业规模以上工业企业财务费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,47.69605,116.52606,11.807,0.07971,11.058,140.89011,33.26199,41.86343,12.43893,31.86957,6.3149,5.66972,73.02899,70.70814,10.75883,25.56545,14.25378,4.30707,19.81375,20.40536,3.05187,39.52933,318.12727,80.55341,83.24394,16.80565,57.27084,51.66493,114.432,10.6799,1960.96128,47.5121,45.31098,113.48271,8.20229,27.90728,64.1508,35.82045,127.9021,4.07811
