,专用设备制造业规模以上工业企业销售费用,交通运输设备制造业规模以上工业企业销售费用,仪器仪表及文化办公用机械制造业规模以上工业企业销售费用,其他矿采选业规模以上工业企业销售费用,其它制造业规模以上工业企业销售费用,化学原料及化学制品制造业规模以上工业企业销售费用,化学纤维制造业规模以上工业企业销售费用,医药制造业规模以上工业企业销售费用,印刷业、记录媒介的复制规模以上工业企业销售费用,塑料制品业规模以上工业企业销售费用,家具制造业规模以上工业企业销售费用,文教体育用品制造业规模以上工业企业销售费用,普通机械制造业规模以上工业企业销售费用,有色金属冶炼及压延加工业规模以上工业企业销售费用,有色金属矿采选业规模以上工业企业销售费用,服装及其他纤维制品制造业规模以上工业企业销售费用,木材加工及竹、藤、棕、草制品业规模以上工业企业销售费用,木材及竹材采运业规模以上工业企业销售费用,橡胶制品业规模以上工业企业销售费用,烟草加工业规模以上工业企业销售费用,煤气生产和供应业规模以上工业企业销售费用,煤炭采选业规模以上工业企业销售费用,电力、蒸汽、热水的生产和供应业规模以上工业企业销售费用,电子及通信设备制造业规模以上工业企业销售费用,电气机械及器材制造业规模以上工业企业销售费用,皮革、毛皮、羽绒及其制品业规模以上工业企业销售费用,石油加工及炼焦业规模以上工业企业销售费用,石油和天然气开采业规模以上工业企业销售费用,纺织业规模以上工业企业销售费用,自来水的生产和供应业规模以上工业企业销售费用,规模以上工业企业销售费用,造纸及纸制品业规模以上工业企业销售费用,金属制品业规模以上工业企业销售费用,非金属矿物制造业规模以上工业企业销售费用,非金属矿采选业规模以上工业企业销售费用,食品制造业规模以上工业企业销售费用,食品加工业规模以上工业企业销售费用,饮料制造业规模以上工业企业销售费用,黑色金属冶炼及压延加工业规模以上工业企业销售费用,黑色金属矿采选业规模以上工业企业销售费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,82.57833,151.76623,31.66653,0.38313,34.50632,249.72115,16.01796,261.42786,15.88749,51.66693,16.81104,19.08585,118.84902,31.53586,11.54782,78.76605,20.65341,2.06743,30.58784,16.4763,11.26183,89.91168,26.39674,271.51438,288.47074,30.4513,51.21784,7.8136,85.60711,11.91465,2985.79203,53.18486,85.28058,165.24952,22.87742,128.55535,114.84669,206.87684,78.70436,7.90309
