,专用设备制造业规模以上工业企业应收帐款净额,交通运输设备制造业规模以上工业企业应收帐款净额,仪器仪表及文化办公用机械制造业规模以上工业企业应收帐款净额,其他矿采选业规模以上工业企业应收帐款净额,其它制造业规模以上工业企业应收帐款净额,化学原料及化学制品制造业规模以上工业企业应收帐款净额,化学纤维制造业规模以上工业企业应收帐款净额,医药制造业规模以上工业企业应收帐款净额,印刷业、记录媒介的复制规模以上工业企业应收帐款净额,塑料制品业规模以上工业企业应收帐款净额,家具制造业规模以上工业企业应收帐款净额,文教体育用品制造业规模以上工业企业应收帐款净额,普通机械制造业规模以上工业企业应收帐款净额,有色金属冶炼及压延加工业规模以上工业企业应收帐款净额,有色金属矿采选业规模以上工业企业应收帐款净额,服装及其他纤维制品制造业规模以上工业企业应收帐款净额,木材加工及竹、藤、棕、草制品业规模以上工业企业应收帐款净额,木材及竹材采运业规模以上工业企业应收帐款净额,橡胶制品业规模以上工业企业应收帐款净额,烟草加工业规模以上工业企业应收帐款净额,煤气生产和供应业规模以上工业企业应收帐款净额,煤炭采选业规模以上工业企业应收帐款净额,电力、蒸汽、热水的生产和供应业规模以上工业企业应收帐款净额,电子及通信设备制造业规模以上工业企业应收帐款净额,电气机械及器材制造业规模以上工业企业应收帐款净额,皮革、毛皮、羽绒及其制品业规模以上工业企业应收帐款净额,石油加工及炼焦业规模以上工业企业应收帐款净额,石油和天然气开采业规模以上工业企业应收帐款净额,纺织业规模以上工业企业应收帐款净额,自来水的生产和供应业规模以上工业企业应收帐款净额,规模以上工业企业应收帐款净额,造纸及纸制品业规模以上工业企业应收帐款净额,金属制品业规模以上工业企业应收帐款净额,非金属矿物制造业规模以上工业企业应收帐款净额,非金属矿采选业规模以上工业企业应收帐款净额,食品制造业规模以上工业企业应收帐款净额,食品加工业规模以上工业企业应收帐款净额,饮料制造业规模以上工业企业应收帐款净额,黑色金属冶炼及压延加工业规模以上工业企业应收帐款净额,黑色金属矿采选业规模以上工业企业应收帐款净额
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,505.44604,1108.60382,188.52898,0.45445,116.17926,971.04905,94.52843,452.50732,135.84521,318.93878,49.99838,91.87973,859.97518,263.18856,36.67655,257.74201,64.30216,31.70181,183.25152,179.75128,42.04374,521.93475,1321.65145,1651.1434,1020.94605,155.12719,288.99053,194.77115,544.3095,63.70534,14789.8028,306.40356,433.17629,732.65074,88.53299,175.71516,301.3244,226.93843,702.88532,40.20106
2001年,503.92077,1089.42705,203.76608,0.29097,124.60434,907.77142,77.92333,483.71852,136.0002,341.24811,50.45677,103.09896,890.68491,267.60271,37.75752,263.25344,63.60641,27.67512,176.47869,216.36498,38.53381,453.68053,1372.50186,1859.74961,1080.09057,165.7058,208.61215,94.92603,561.87053,70.65196,14831.40462,316.60474,444.81728,714.88995,84.94606,177.79938,276.33267,222.64995,624.47675,38.39852
2002年,544.554,1119.76116,245.19151,0.333,143.9881,954.67176,77.12594,526.17679,161.86937,397.53788,56.42779,121.69342,966.73495,270.06628,35.36014,297.63797,69.78533,26.64697,183.27497,167.06668,37.75065,419.03888,1470.45257,2232.87615,1222.00119,206.88449,173.77895,74.97321,625.80598,75.63706,16036.79447,350.6159,518.07066,796.07898,78.76012,206.35763,308.23704,221.56249,560.34973,38.8988
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
