,专用设备制造业规模以上工业企业产成品,交通运输设备制造业规模以上工业企业产成品,仪器仪表及文化办公用机械制造业规模以上工业企业产成品,其他矿采选业规模以上工业企业产成品,其它制造业规模以上工业企业产成品,化学原料及化学制品制造业规模以上工业企业产成品,化学纤维制造业规模以上工业企业产成品,医药制造业规模以上工业企业产成品,印刷业、记录媒介的复制规模以上工业企业产成品,塑料制品业规模以上工业企业产成品,家具制造业规模以上工业企业产成品,文教体育用品制造业规模以上工业企业产成品,普通机械制造业规模以上工业企业产成品,有色金属冶炼及压延加工业规模以上工业企业产成品,有色金属矿采选业规模以上工业企业产成品,服装及其他纤维制品制造业规模以上工业企业产成品,木材加工及竹、藤、棕、草制品业规模以上工业企业产成品,木材及竹材采运业规模以上工业企业产成品,橡胶制品业规模以上工业企业产成品,烟草加工业规模以上工业企业产成品,煤气生产和供应业规模以上工业企业产成品,煤炭采选业规模以上工业企业产成品,电力、蒸汽、热水的生产和供应业规模以上工业企业产成品,电子及通信设备制造业规模以上工业企业产成品,电气机械及器材制造业规模以上工业企业产成品,皮革、毛皮、羽绒及其制品业规模以上工业企业产成品,石油加工及炼焦业规模以上工业企业产成品,石油和天然气开采业规模以上工业企业产成品,纺织业规模以上工业企业产成品,自来水的生产和供应业规模以上工业企业产成品,规模以上工业企业产成品,造纸及纸制品业规模以上工业企业产成品,金属制品业规模以上工业企业产成品,非金属矿物制造业规模以上工业企业产成品,非金属矿采选业规模以上工业企业产成品,食品制造业规模以上工业企业产成品,食品加工业规模以上工业企业产成品,饮料制造业规模以上工业企业产成品,黑色金属冶炼及压延加工业规模以上工业企业产成品,黑色金属矿采选业规模以上工业企业产成品
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,297.2712,425.42621,69.09914,0.20688,71.66409,441.83594,72.06576,189.95496,44.49547,137.30145,31.08296,34.77874,401.54115,141.93607,24.11577,169.29274,54.04872,14.55668,107.60465,51.15408,8.64057,108.70961,22.72291,457.09343,458.64915,95.92387,169.79991,34.35999,553.66445,1.66619,6293.16771,151.68327,228.39187,375.0175,32.22308,101.88426,226.91348,151.24913,290.79513,13.85083
2001年,298.08631,468.27219,74.56437,0.19889,75.86099,452.71862,70.18659,207.88142,46.16706,144.62501,33.23281,40.58335,420.62832,163.95601,25.06163,180.76674,57.34715,12.59078,109.79664,58.73074,5.03213,95.40419,12.43275,462.63304,511.17363,104.03434,154.67174,43.23759,616.55269,2.19212,6635.00354,151.25885,238.71269,407.6367,33.21495,109.02691,244.63694,151.7506,308.42333,13.1869
2002年,322.07215,536.33121,87.32519,0.96364,82.7162,473.96955,60.17614,228.86147,50.83937,164.30649,32.79708,44.49214,469.37834,154.04685,21.63622,185.59605,58.28682,12.57868,107.64084,61.18428,6.03262,92.83379,16.47666,535.20356,518.08299,101.60834,152.80525,38.30156,575.98278,3.1633,6944.33129,159.75842,249.70548,419.83274,34.27036,122.84557,264.68162,157.47898,300.24659,15.72214
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
