,专用设备制造业私营工业企业财务费用,交通运输设备制造业私营工业企业财务费用,仪器仪表及文化、办公用机械制造业私营工业企业财务费用,其他采矿业私营工业企业财务费用,农副食品加工业私营工业企业财务费用,化学原料及化学制品制造业私营工业企业财务费用,化学纤维制造业私营工业企业财务费用,医药制造业私营工业企业财务费用,印刷业和记录媒介的复制私营工业企业财务费用,塑料制品业私营工业企业财务费用,家具制造业私营工业企业财务费用,工艺品及其他制造业私营工业企业财务费用,废弃资源和废旧材料回收加工业私营工业企业财务费用,文教体育用品制造业私营工业企业财务费用,有色金属冶炼及压延加工业私营工业企业财务费用,有色金属矿采选业私营工业企业财务费用,木材加工及木、竹、藤、棕、草制品业私营工业企业财务费用,橡胶制品业私营工业企业财务费用,水的生产和供应业私营工业企业财务费用,烟草制品业私营工业企业财务费用,煤炭开采和洗选业私营工业企业财务费用,燃气生产和供应业私营工业企业财务费用,电力、热力的生产和供应业私营工业企业财务费用,电气机械及器材制造业私营工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业私营工业企业财务费用,石油加工、炼焦及核燃料加工业私营工业企业财务费用,石油和天然气开采业私营工业企业财务费用,私营工业企业财务费用,纺织业私营工业企业财务费用,纺织服装、鞋、帽制造业私营工业企业财务费用,通信设备、计算机及其他电子设备制造私营工业企业财务费用,通用设备制造业私营工业企业财务费用,造纸及纸制品业私营工业企业财务费用,金属制品业私营工业企业财务费用,非金属矿物制品业私营工业企业财务费用,非金属矿采选业私营工业企业财务费用,食品制造业私营工业企业财务费用,饮料制造业私营工业企业财务费用,黑色金属冶炼及压延加工业私营工业企业财务费用,黑色金属矿采选业私营工业企业财务费用
2003年,6.59879,7.86665,1.20406,0.00492,14.61676,15.55507,3.24053,4.15312,2.12885,6.82136,2.2629,2.6574,0.0759,1.56495,7.74235,0.79245,4.55516,1.97632,0.12609,0.00954,1.88315,0.14746,2.49472,12.25825,4.18774,4.84115,0.00012,220.54726,27.77587,7.2839,2.83438,12.6461,7.05319,10.21603,20.39874,1.15082,4.81532,2.7822,12.32775,1.4972
2004年,8.90636,13.9624,2.01461,0.01338,24.80578,25.39851,5.79239,6.24635,3.23698,10.89717,3.28072,3.56757,0.25881,2.22096,11.24712,1.4754,6.9203,3.81874,0.26945,4e-05,4.07151,0.15684,3.87913,17.41979,5.59257,11.24155,0.02465,356.62,48.89922,7.79926,4.58157,20.6633,10.73096,15.27463,32.70274,2.13296,6.17294,4.48689,22.55614,3.89571
2005年,11.62695,18.87638,2.40755,0.01953,31.26471,31.74188,9.33791,9.05953,4.03144,14.78417,4.901,5.95521,0.32792,2.95924,14.1995,1.86567,8.35468,3.88553,0.54373,0.00138,5.8142,0.23951,5.42863,22.74674,6.97857,13.10752,0.01529,465.8646,62.07306,11.84796,5.53578,30.48336,13.6957,20.31659,41.17737,2.39844,8.8467,5.47905,28.94562,4.5906
2006年,15.78251,24.40729,3.51972,0.02055,39.73828,42.16176,15.06012,11.75841,5.13736,18.58735,6.64593,8.26926,0.4635,3.89359,19.96939,2.8965,12.08237,5.55967,0.96444,0.00181,8.31086,0.24252,11.31811,35.42872,10.58676,16.88833,0.01245,632.49,79.05198,15.35636,8.33039,40.53806,17.90533,29.53266,53.24855,3.77749,11.73491,7.59962,38.91396,6.79417
2007年,22.85415,34.06036,5.65139,0.04637,56.46019,63.68808,21.88459,15.15428,7.47559,29.45057,10.103,11.74352,1.17686,5.69697,28.64865,4.16948,18.26403,7.77143,1.34577,0.02148,11.0086,0.90065,16.25927,53.05057,13.74908,23.85684,0.09271,903.25959,111.59642,20.35366,12.48875,59.85969,22.60391,43.61522,68.36594,5.03536,17.32714,11.16174,56.34257,9.92471
2008年,39.86462,68.97974,11.73097,0.04896,89.28012,96.52818,22.53317,22.82796,11.57464,42.94153,14.91176,16.26378,2.84393,7.93597,49.36896,6.39725,28.84213,12.73972,2.05269,0.06327,20.89766,0.82141,22.22058,85.91896,20.85571,34.78169,0.63469,1389.35741,148.70751,33.76391,21.89692,99.1959,30.83491,66.21435,105.02881,8.99579,27.76508,18.53708,78.21162,16.34548
2009年,44.61378,69.32074,10.97928,0.03998,101.8774,104.16423,20.0223,23.85333,13.07086,42.90247,15.68099,18.02716,3.25066,7.40603,48.1014,6.92494,30.3777,13.54328,2.65369,0.16749,22.66898,1.0188,28.02595,82.20923,22.23838,34.1573,0.98332,1441.98102,152.66797,33.71343,20.3048,99.2562,31.50394,67.53651,125.66613,11.59579,28.01426,21.03159,64.53556,17.87517
2010年,61.23143,103.03656,12.70728,0.10045,133.75627,144.08073,22.53683,27.71265,16.06761,57.14145,21.38148,22.67654,6.06278,10.16995,72.19073,9.78465,38.60981,18.70552,2.64963,0.16572,39.65278,1.88901,35.30697,120.48771,28.33714,48.35305,0.95113,1921.38128,173.04333,40.07649,32.078,133.96052,37.92739,91.57093,150.93898,14.806,37.27772,26.93204,100.70758,26.31644
2011年,86.77932,129.65668,19.80928,0.11047,150.34171,176.43281,32.78051,33.79289,19.47848,65.84541,27.18264,27.67929,6.72811,9.9202,102.99057,12.2259,44.1531,23.88272,2.46806,0.11087,64.9361,1.7431,28.24433,170.41466,38.7747,67.03139,1.05208,2415.9179,205.82987,45.2184,40.73488,167.30613,44.66528,112.62704,187.9432,16.5149,43.54196,29.80656,137.04641,40.11789
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
