,专用设备制造业私营工业企业工业销售产值(现价),交通运输设备制造业私营工业企业工业销售产值(现价),仪器仪表及文化、办公用机械制造业私营工业企业工业销售产值(现价),其他采矿业私营工业企业工业销售产值(现价),农副食品加工业私营工业企业工业销售产值(现价),化学原料及化学制品制造业私营工业企业工业销售产值(现价),化学纤维制造业私营工业企业工业销售产值(现价),医药制造业私营工业企业工业销售产值(现价),印刷业和记录媒介的复制私营工业企业工业销售产值(现价),塑料制品业私营工业企业工业销售产值(现价),家具制造业私营工业企业工业销售产值(现价),工艺品及其他制造业私营工业企业工业销售产值(现价),废弃资源和废旧材料回收加工业私营工业企业工业销售产值(现价),文教体育用品制造业私营工业企业工业销售产值(现价),有色金属冶炼及压延加工业私营工业企业工业销售产值(现价),有色金属矿采选业私营工业企业工业销售产值(现价),木材加工及木、竹、藤、棕、草制品业私营工业企业工业销售产值(现价),橡胶制品业私营工业企业工业销售产值(现价),水的生产和供应业私营工业企业工业销售产值(现价),烟草制品业私营工业企业工业销售产值(现价),煤炭开采和洗选业私营工业企业工业销售产值(现价),燃气生产和供应业私营工业企业工业销售产值(现价),电力、热力的生产和供应业私营工业企业工业销售产值(现价),电气机械及器材制造业私营工业企业工业销售产值(现价),皮革、毛皮、羽毛(绒)及其制品业私营工业企业工业销售产值(现价),石油加工、炼焦及核燃料加工业私营工业企业工业销售产值(现价),石油和天然气开采业私营工业企业工业销售产值(现价),私营工业企业工业销售产值(现价),纺织业私营工业企业工业销售产值(现价),纺织服装、鞋、帽制造业私营工业企业工业销售产值(现价),通信设备、计算机及其他电子设备制造私营工业企业工业销售产值(现价),通用设备制造业私营工业企业工业销售产值(现价),造纸及纸制品业私营工业企业工业销售产值(现价),金属制品业私营工业企业工业销售产值(现价),非金属矿物制品业私营工业企业工业销售产值(现价),非金属矿采选业私营工业企业工业销售产值(现价),食品制造业私营工业企业工业销售产值(现价),饮料制造业私营工业企业工业销售产值(现价),黑色金属冶炼及压延加工业私营工业企业工业销售产值(现价),黑色金属矿采选业私营工业企业工业销售产值(现价)
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,630.10114,919.29121,132.46876,0.39313,1493.96125,1415.80052,289.38335,266.22745,166.2935,761.85187,207.10871,302.04969,16.7195,208.63114,683.7213,57.49615,404.85629,167.58,3.13146,0.20196,122.08306,5.62085,43.80452,1286.14625,563.04207,288.98815,0.23337,20372.90647,2241.08599,867.37959,379.18626,1232.24122,533.67232,1137.93886,1423.62584,125.34546,384.988,217.41847,1286.39604,106.44177
2004年,982.0714,1450.83887,224.36125,0.77944,2449.06572,2283.63368,489.11647,384.41293,280.38678,1144.15857,318.20233,468.56796,56.98663,300.26711,1332.77775,140.84093,629.88956,352.24064,7.01843,0.22095,355.13912,9.58006,59.88596,2010.66159,724.43284,648.9187,2.83181,34128.06,3810.31036,1082.95206,726.5122,2263.12552,877.94304,1663.77753,2348.68798,178.19711,550.52142,311.54931,2913.84728,293.34397
2005年,1302.12175,1876.58624,304.8064,1.3664,3352.52654,3187.18822,710.22621,629.4049,362.01185,1579.89837,456.24486,684.26981,112.29933,385.53644,1735.10183,221.13504,906.4201,374.27147,12.00758,1.22158,691.86534,15.08232,86.89371,2671.66562,937.16949,859.25398,5.19815,46484.25185,4915.77907,1512.7404,905.69647,3105.3484,1113.94264,2256.52197,3142.02048,265.88596,814.01502,452.51125,4072.57095,465.44571
2006年,1841.24026,2610.56058,449.19256,2.69709,4675.34191,4605.7024,980.10566,928.67355,478.68435,2188.21038,661.9152,897.30807,175.42967,460.80993,2865.01188,394.4843,1324.30419,556.3691,16.7929,0.76438,1031.38366,23.2076,168.14127,4057.98462,1278.59747,1173.86568,8.03271,65549.38,6575.16506,2000.21196,1160.01987,4501.21389,1498.35638,3286.69352,4445.15493,429.04624,1166.17274,683.18702,5227.7602,721.58977
2007年,2646.653,3630.70995,635.65006,6.76895,6581.93412,6563.72075,1342.23365,1250.93049,643.90164,3089.3421,946.7484,1221.76029,330.60147,586.75186,4364.81028,607.58419,2004.08891,773.01102,24.09968,0.44149,1533.25482,44.82998,223.23626,5727.91949,1690.05723,1618.00777,13.49933,91651.92401,8434.87551,2485.4254,1666.08593,6491.38213,1978.98706,4621.65147,6354.78699,619.08986,1638.89707,991.22537,7141.55665,1125.41339
2008年,4217.16597,6047.19085,975.79256,7.10326,9725.5149,9590.75542,1392.51494,1746.4441,1004.16145,4213.30402,1393.70098,1691.22309,487.49856,753.16335,5796.72571,781.45206,3035.79843,1233.05057,33.93235,4.16852,2836.43028,76.65114,294.03474,8232.92094,2214.76674,2489.88356,35.67357,132571.15125,10551.59059,3797.46697,2271.45067,9824.91897,2777.51182,6607.07893,9692.07269,938.84619,2336.9868,1496.85476,9909.84077,2055.51003
2009年,5279.70475,7442.7808,1296.60583,10.82756,12303.73479,11692.47507,1443.84205,2185.07551,1187.12371,5003.49529,1697.57603,1995.2932,602.72743,881.60244,6463.36321,867.01862,3783.41138,1505.37905,53.2075,3.92199,3379.58696,111.68346,390.41164,9975.41092,2467.15443,2627.21435,82.56178,157755.78606,12646.33584,4450.09835,2787.83981,11722.9236,3123.77179,7761.34613,12055.09872,1253.625,2911.80052,1966.84568,10123.6647,2219.24617
2010年,7121.83997,10413.38073,1613.22112,22.23281,15940.39422,15437.71842,1722.91193,2926.28647,1516.55179,6623.88458,2234.65505,2480.72666,1056.7281,1120.32403,8880.72595,1244.31482,4939.08993,2004.96651,71.36959,3.86157,4959.64323,180.41677,563.17555,13453.9498,3117.17902,3442.0511,91.8011,208223.81663,14829.53333,5458.0298,4013.20304,15670.81379,4071.34752,10006.73118,15776.93174,1737.05996,3993.97198,2635.89867,13423.40114,3423.49366
2011年,8600.43855,11604.35087,2029.06964,9.02091,19626.72057,18966.35579,2286.23026,3809.94946,1609.89533,7304.11071,2531.00098,3024.02394,1234.99737,1104.16656,10864.5188,1663.71072,5888.05816,2638.62364,73.254,4.42098,6338.9433,178.26059,582.85751,16324.99504,3477.35114,4433.01865,70.9436,246609.74435,16123.14171,5911.5701,4690.56311,17905.26176,4510.64264,11348.56166,19154.36246,2167.84707,4747.33889,3228.96097,16091.23711,4450.9698
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
