,专用设备制造业私营工业企业主营业务税金及附加,交通运输设备制造业私营工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业私营工业企业主营业务税金及附加,其他采矿业私营工业企业主营业务税金及附加,农副食品加工业私营工业企业主营业务税金及附加,化学原料及化学制品制造业私营工业企业主营业务税金及附加,化学纤维制造业私营工业企业主营业务税金及附加,医药制造业私营工业企业主营业务税金及附加,印刷业和记录媒介的复制私营工业企业主营业务税金及附加,塑料制品业私营工业企业主营业务税金及附加,家具制造业私营工业企业主营业务税金及附加,工艺品及其他制造业私营工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业私营工业企业主营业务税金及附加,文教体育用品制造业私营工业企业主营业务税金及附加,有色金属冶炼及压延加工业私营工业企业主营业务税金及附加,有色金属矿采选业私营工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业私营工业企业主营业务税金及附加,橡胶制品业私营工业企业主营业务税金及附加,水的生产和供应业私营工业企业主营业务税金及附加,烟草制品业私营工业企业主营业务税金及附加,煤炭开采和洗选业私营工业企业主营业务税金及附加,燃气生产和供应业私营工业企业主营业务税金及附加,电力、热力的生产和供应业私营工业企业主营业务税金及附加,电气机械及器材制造业私营工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业私营工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业私营工业企业主营业务税金及附加,石油和天然气开采业私营工业企业主营业务税金及附加,私营工业企业主营业务税金及附加,纺织业私营工业企业主营业务税金及附加,纺织服装、鞋、帽制造业私营工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造私营工业企业主营业务税金及附加,通用设备制造业私营工业企业主营业务税金及附加,造纸及纸制品业私营工业企业主营业务税金及附加,金属制品业私营工业企业主营业务税金及附加,非金属矿物制品业私营工业企业主营业务税金及附加,非金属矿采选业私营工业企业主营业务税金及附加,食品制造业私营工业企业主营业务税金及附加,饮料制造业私营工业企业主营业务税金及附加,黑色金属冶炼及压延加工业私营工业企业主营业务税金及附加,黑色金属矿采选业私营工业企业主营业务税金及附加
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,3.50763,9.09545,0.94144,0.02395,7.38226,11.4074,1.12222,1.84896,1.15644,4.75136,2.6901,2.29435,0.05567,1.10293,3.26084,0.76164,2.69941,1.4431,0.03592,0.0,2.31719,0.03454,0.34527,6.43291,3.32138,3.0954,0.00246,146.14,12.66978,5.87608,2.0312,8.21708,3.80071,7.0836,14.02343,1.68673,2.59882,8.95243,6.46073,1.60609
2004年,6.6809,13.01136,1.44861,0.00811,14.48754,16.43804,2.08657,3.8512,1.75359,7.80986,2.61877,2.98578,0.34426,1.95973,7.06436,1.65736,5.50498,2.82391,0.07967,0.00448,7.47036,0.14235,0.52388,11.40378,4.86618,7.54468,0.04632,257.14,21.44575,5.906,2.93634,14.6379,6.36541,10.85679,27.41497,3.23689,4.10883,14.77613,15.1026,5.73991
2005年,8.72112,16.40249,2.01426,0.0139,22.05445,25.90061,2.56072,6.42572,2.39131,9.57545,4.36014,4.42869,0.70074,2.26469,8.53489,2.54816,7.96354,3.23543,0.08567,0.00222,14.2314,0.12494,0.721,13.76433,6.29135,9.43187,0.07532,352.22,28.29992,9.19632,3.80805,20.66959,9.22963,13.15619,28.32418,5.3945,6.78034,18.02471,26.33827,8.17693
2006年,12.5054,19.34067,3.12249,0.02636,27.6864,35.00764,2.52642,6.86783,3.61672,12.8294,5.78845,6.16142,3.95454,2.5741,15.94085,5.54186,11.11572,4.57671,0.1358,0.01013,23.03771,0.12615,1.42486,21.86341,9.17723,11.37689,0.09497,476.64,34.93975,12.37162,5.06352,29.34135,11.14632,19.48561,39.48769,7.67142,9.69211,23.73723,22.37024,14.90339
2007年,17.61853,23.92123,3.9525,0.13525,40.71215,49.68489,3.02171,9.21067,4.47452,19.73926,7.42505,7.80229,1.43712,3.45716,22.01526,8.5466,18.66202,6.37533,0.24189,0.00273,32.05482,0.6419,1.85619,24.61552,11.96296,16.35322,0.28657,656.62,46.68777,16.71553,7.04562,44.07323,14.4161,28.01329,56.85303,10.58297,12.11082,30.01068,31.60788,22.3005
2008年,33.04495,42.43745,5.92897,0.10225,79.78886,86.37784,3.79457,17.17431,7.64102,30.43517,11.73832,15.77824,3.93342,5.28063,34.53232,10.8529,34.79296,10.41363,0.57719,0.01234,69.31236,0.8684,2.94779,44.3127,19.39528,25.26863,1.59039,1123.38,64.42773,26.05927,12.01784,72.00271,23.12712,45.65161,101.72,21.16623,22.82557,44.12545,57.73405,34.18618
2009年,39.39088,54.31435,7.35237,0.1603,98.00592,101.38466,4.22221,19.95874,8.33861,33.30272,16.22522,17.56383,4.16976,9.00148,36.79722,12.71,40.00489,11.89074,1.09315,0.01159,73.44008,1.17426,3.44331,58.35795,19.69936,21.32565,2.1715,1311.38,78.29586,31.34928,14.73546,87.86321,26.27559,56.24456,126.64146,24.33438,28.13959,52.70276,54.57223,34.7109
2010年,54.55531,141.41728,10.72419,0.14963,108.85702,113.60877,5.52629,22.10252,10.35394,39.03723,19.11838,19.56603,6.76384,6.4878,35.60459,15.15675,42.50892,15.49948,0.731,0.01317,111.17866,1.2373,4.91696,67.63945,21.68344,34.91772,1.92046,1628.84,81.98572,34.97147,19.29177,110.03952,28.07421,61.77477,145.52086,27.08376,30.57876,63.29377,63.40012,51.55373
2011年,63.10122,58.92264,11.71663,0.07206,109.19978,111.82135,7.20994,26.04533,9.96971,38.26903,17.31235,18.77765,7.58538,5.95729,38.20661,15.99359,44.11988,15.64299,0.59683,0.01593,106.84073,1.38263,4.69464,70.04172,20.15958,35.97302,1.25603,1553.57,82.98756,33.03103,22.39935,105.76554,24.20447,60.22267,147.37494,26.52257,33.53218,70.32051,51.34997,54.96983
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
