,专用设备制造业私营工业企业外商资本金,交通运输设备制造业私营工业企业外商资本金,仪器仪表及文化、办公用机械制造业私营工业企业外商资本金,其他采矿业私营工业企业外商资本金,农副食品加工业私营工业企业外商资本金,化学原料及化学制品制造业私营工业企业外商资本金,化学纤维制造业私营工业企业外商资本金,医药制造业私营工业企业外商资本金,印刷业和记录媒介的复制私营工业企业外商资本金,塑料制品业私营工业企业外商资本金,家具制造业私营工业企业外商资本金,工艺品及其他制造业私营工业企业外商资本金,废弃资源和废旧材料回收加工业私营工业企业外商资本金,文教体育用品制造业私营工业企业外商资本金,有色金属冶炼及压延加工业私营工业企业外商资本金,有色金属矿采选业私营工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业外商资本金,橡胶制品业私营工业企业外商资本金,水的生产和供应业私营工业企业外商资本金,烟草制品业私营工业企业外商资本金,煤炭开采和洗选业私营工业企业外商资本金,燃气生产和供应业私营工业企业外商资本金,电力、热力的生产和供应业私营工业企业外商资本金,电气机械及器材制造业私营工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业外商资本金,石油加工、炼焦及核燃料加工业私营工业企业外商资本金,石油和天然气开采业私营工业企业外商资本金,私营工业企业外商资本金,纺织业私营工业企业外商资本金,纺织服装、鞋、帽制造业私营工业企业外商资本金,通信设备、计算机及其他电子设备制造私营工业企业外商资本金,通用设备制造业私营工业企业外商资本金,造纸及纸制品业私营工业企业外商资本金,金属制品业私营工业企业外商资本金,非金属矿物制品业私营工业企业外商资本金,非金属矿采选业私营工业企业外商资本金,食品制造业私营工业企业外商资本金,饮料制造业私营工业企业外商资本金,黑色金属冶炼及压延加工业私营工业企业外商资本金,黑色金属矿采选业私营工业企业外商资本金
2003年,0.47414,0.42811,0.14172,,0.71687,4.25033,0.19077,,0.08941,1.70516,0.08692,0.48917,0.28572,0.22568,0.43657,,0.24503,0.87388,,0.05,,,0.9696,2.71137,1.30088,,,31.57665,7.44188,2.61869,1.1037,1.41154,0.57532,0.69641,1.24933,0.06766,0.47601,0.08043,0.18435,
2004年,0.5218,0.71294,,,0.51759,0.41374,0.22382,0.04671,0.222,0.10477,0.21279,1.08908,,0.21431,0.14777,0.1691,0.23814,,,,,,,0.90088,0.56463,0.015,,16.6,3.83672,0.67755,0.1612,1.74866,0.25205,0.31496,0.62313,,2.42685,0.041,0.20298,
2005年,1.92922,1.84449,0.45827,,2.62062,2.58834,0.9286,0.20763,1.38026,1.63016,0.44785,1.58274,0.50655,0.1056,3.26627,0.1053,0.17831,0.29886,,,,,0.77773,1.75105,0.7836,0.0333,,55.77095,11.6055,1.31892,2.73204,1.90158,0.8657,3.96137,4.71231,0.13692,0.69568,0.1128,4.27687,0.02651
2006年,1.81862,1.38772,0.49654,,2.5321,4.27008,0.863,0.77858,0.60209,1.67415,0.47077,1.51004,0.65817,0.10661,1.40546,,1.70813,0.02397,0.4254,,,,-0.01039,4.55446,1.12586,0.17648,,68.97,11.30569,1.48473,1.67622,3.04425,10.21899,5.27043,2.54621,0.16807,2.26221,1.8771,2.54066,
2007年,2.20678,1.5631,0.51428,,1.80914,7.0467,1.32964,1.21132,0.07437,1.24408,0.17594,1.84479,0.00662,0.08871,2.05728,0.004,0.51971,1.27478,,,0.00672,,0.2237,4.30566,2.18725,0.53472,,70.32031,9.07752,2.56621,6.91958,3.51162,0.93064,2.40592,4.1541,0.38889,1.93342,4.76664,3.43231,0.00417
2008年,2.00654,4.21423,0.2576,,9.02185,4.93833,0.58945,0.519,1.25243,1.83999,0.81461,0.7843,0.73678,0.47139,3.42037,7e-05,1.16712,0.15851,,,0.10508,,6.28877,2.24488,0.87946,0.3535,,79.46474,9.42379,4.24302,2.74936,4.52107,0.36323,1.55532,6.31014,0.1548,2.09219,1.85796,4.11528,0.01432
2009年,3.13515,9.08535,28.18173,,10.49928,7.22882,1.67579,2.56156,0.00056,2.91611,1.79846,1.78298,0.728,0.45025,4.26416,0.06,0.62342,0.62996,0.01714,,0.02848,0.5235,0.47846,6.43166,2.54562,0.59991,,166.5726,14.11696,3.36537,8.14485,11.22251,0.31314,18.54236,10.36761,0.48671,4.61756,4.48321,4.55597,0.11
2010年,4.52637,11.54058,6.37536,,4.0456,7.71296,2.67401,1.74431,0.44845,4.23198,1.45287,2.19503,1.58445,0.93421,4.09529,0.11557,2.35665,0.47989,,,0.11594,0.0094,1.11766,13.49015,2.80478,1.10653,,159.18509,15.1755,3.39439,9.74496,9.80344,0.24248,19.72359,10.2298,0.99276,3.5893,2.33849,8.70234,0.09
2011年,3.59117,19.30153,0.12619,,2.13439,5.53568,2.28071,1.87731,0.06,1.92273,1.02088,3.07123,0.87373,1.15907,2.05196,0.04,1.43814,0.6235,,,-0.02332,0.05465,0.4807,16.4906,2.25305,,,117.43937,6.79219,3.28259,1.89381,7.0593,0.27365,13.40515,5.06606,0.57562,4.0249,2.08484,6.5259,0.09146
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
