,专用设备制造业私营工业企业亏损企业单位数,交通运输设备制造业私营工业企业亏损企业单位数,仪器仪表及文化、办公用机械制造业私营工业企业亏损企业单位数,其他采矿业私营工业企业亏损企业单位数,农副食品加工业私营工业企业亏损企业单位数,化学原料及化学制品制造业私营工业企业亏损企业单位数,化学纤维制造业私营工业企业亏损企业单位数,医药制造业私营工业企业亏损企业单位数,印刷业和记录媒介的复制私营工业企业亏损企业单位数,塑料制品业私营工业企业亏损企业单位数,家具制造业私营工业企业亏损企业单位数,工艺品及其他制造业私营工业企业亏损企业单位数,废弃资源和废旧材料回收加工业私营工业企业亏损企业单位数,文教体育用品制造业私营工业企业亏损企业单位数,有色金属冶炼及压延加工业私营工业企业亏损企业单位数,有色金属矿采选业私营工业企业亏损企业单位数,木材加工及木、竹、藤、棕、草制品业私营工业企业亏损企业单位数,橡胶制品业私营工业企业亏损企业单位数,水的生产和供应业私营工业企业亏损企业单位数,烟草制品业私营工业企业亏损企业单位数,煤炭开采和洗选业私营工业企业亏损企业单位数,燃气生产和供应业私营工业企业亏损企业单位数,电力、热力的生产和供应业私营工业企业亏损企业单位数,电气机械及器材制造业私营工业企业亏损企业单位数,皮革、毛皮、羽毛(绒)及其制品业私营工业企业亏损企业单位数,石油加工、炼焦及核燃料加工业私营工业企业亏损企业单位数,石油和天然气开采业私营工业企业亏损企业单位数,私营工业企业亏损企业单位数,纺织业私营工业企业亏损企业单位数,纺织服装、鞋、帽制造业私营工业企业亏损企业单位数,通信设备、计算机及其他电子设备制造私营工业企业亏损企业单位数,通用设备制造业私营工业企业亏损企业单位数,造纸及纸制品业私营工业企业亏损企业单位数,金属制品业私营工业企业亏损企业单位数,非金属矿物制品业私营工业企业亏损企业单位数,非金属矿采选业私营工业企业亏损企业单位数,食品制造业私营工业企业亏损企业单位数,饮料制造业私营工业企业亏损企业单位数,黑色金属冶炼及压延加工业私营工业企业亏损企业单位数,黑色金属矿采选业私营工业企业亏损企业单位数
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,215,264,47,0,482,586,55,173,110,271,69,109,1,59,225,28,143,82,6,1,63,4,38,350,127,52,0,7285,781,403,128,400,295,332,726,37,190,143,251,39
2004年,528,611,120,0,896,1187,230,294,232,742,170,222,18,141,487,48,358,158,12,1,164,9,89,834,304,198,2,17367,2379,894,402,1082,660,843,1446,81,354,185,864,122
2005年,386,532,119,0,757,1081,110,295,206,544,141,181,31,110,438,70,284,94,14,0,234,10,82,666,224,243,3,14626,1483,630,299,875,566,670,1513,84,287,200,925,239
2006年,443,551,134,0,755,1113,108,340,239,650,168,220,18,125,419,92,323,110,18,0,366,16,132,722,254,249,2,15705,1594,640,347,904,546,734,1520,108,308,224,920,293
2007年,514,594,146,2,720,1122,112,349,265,659,192,256,22,162,511,114,331,149,26,0,469,12,129,747,276,162,2,16110,1683,790,421,1022,547,782,1414,128,286,203,603,188
2008年,1000,1132,248,2,985,1611,217,384,452,1218,384,399,146,247,854,241,474,230,33,0,551,27,243,1521,386,240,8,26332,2627,1229,741,2011,819,1563,1953,144,368,233,1038,373
2009年,976,1008,229,1,883,1610,130,341,467,1066,335,348,117,219,689,230,493,183,36,0,741,23,273,1496,400,259,10,25006,2106,1075,707,1898,704,1554,1928,204,388,238,1030,611
2010年,731,838,175,4,742,1220,66,291,319,855,248,248,75,172,448,165,381,145,30,0,639,25,223,1097,284,208,6,18772,1425,824,579,1379,509,1203,1589,158,334,194,645,298
2011年,310,501,85,2,390,737,130,141,118,352,122,107,73,63,424,68,152,68,8,0,505,14,125,735,143,160,5,10645,982,350,294,642,273,619,885,60,160,87,586,169
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
