,专用设备制造业私营工业企业存货,交通运输设备制造业私营工业企业存货,仪器仪表及文化、办公用机械制造业私营工业企业存货,其他采矿业私营工业企业存货,农副食品加工业私营工业企业存货,化学原料及化学制品制造业私营工业企业存货,化学纤维制造业私营工业企业存货,医药制造业私营工业企业存货,印刷业和记录媒介的复制私营工业企业存货,塑料制品业私营工业企业存货,家具制造业私营工业企业存货,工艺品及其他制造业私营工业企业存货,废弃资源和废旧材料回收加工业私营工业企业存货,文教体育用品制造业私营工业企业存货,有色金属冶炼及压延加工业私营工业企业存货,有色金属矿采选业私营工业企业存货,木材加工及木、竹、藤、棕、草制品业私营工业企业存货,橡胶制品业私营工业企业存货,水的生产和供应业私营工业企业存货,烟草制品业私营工业企业存货,煤炭开采和洗选业私营工业企业存货,燃气生产和供应业私营工业企业存货,电力、热力的生产和供应业私营工业企业存货,电气机械及器材制造业私营工业企业存货,皮革、毛皮、羽毛(绒)及其制品业私营工业企业存货,石油加工、炼焦及核燃料加工业私营工业企业存货,石油和天然气开采业私营工业企业存货,私营工业企业存货,纺织业私营工业企业存货,纺织服装、鞋、帽制造业私营工业企业存货,通信设备、计算机及其他电子设备制造私营工业企业存货,通用设备制造业私营工业企业存货,造纸及纸制品业私营工业企业存货,金属制品业私营工业企业存货,非金属矿物制品业私营工业企业存货,非金属矿采选业私营工业企业存货,食品制造业私营工业企业存货,饮料制造业私营工业企业存货,黑色金属冶炼及压延加工业私营工业企业存货,黑色金属矿采选业私营工业企业存货
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,95.26878,96.54486,18.71005,0.0088,145.82058,152.07838,23.10899,45.41711,17.3336,70.08498,25.35033,28.12739,1.42859,20.92011,81.63286,4.28638,45.89748,18.0726,0.22324,0.08067,8.06766,0.36684,3.43094,148.82516,49.04661,39.01924,0.01998,2291.8592,248.73016,86.31572,50.89636,163.77766,54.71355,129.76377,164.2329,8.36701,46.81887,37.7072,151.5731,9.79069
2004年,153.362,164.85759,31.11286,0.03193,218.88329,246.37342,43.68753,67.98126,29.58543,111.56226,40.23537,43.92144,4.38678,30.07723,129.59045,12.70899,82.90892,34.16945,0.30732,0.01905,23.36552,0.46712,3.44063,225.79087,68.86253,98.79786,0.06688,3860.66,451.53778,128.36165,98.11856,293.81676,92.94047,189.31772,275.24349,11.72878,64.93371,57.16925,305.83758,25.10341
2005年,166.81778,201.22116,38.29348,0.04098,264.94542,298.56362,61.14431,88.05979,35.75947,142.51781,50.15305,63.58645,6.5235,34.29671,170.22752,14.42542,91.39255,36.82586,0.37045,0.03204,36.6132,1.01646,5.2328,275.79401,72.1287,113.70002,0.0588,4709.31566,536.0534,159.89936,112.88743,364.06317,107.97139,225.55324,321.34813,15.72046,85.76639,72.00043,395.97733,42.33357
2006年,214.73088,264.3763,52.47297,0.01845,352.9521,401.28854,71.98305,115.2898,49.38654,186.79919,71.20658,88.93534,10.46996,38.35178,265.65966,24.88942,127.61466,47.81977,1.06134,0.04042,49.58705,1.06558,9.23153,380.79007,101.12525,143.53276,0.31012,6198.77,690.67432,194.92245,145.38963,474.01689,136.02203,329.01152,413.8276,23.24066,102.07057,91.0906,472.99114,54.52229
2007年,286.07548,376.36384,74.33112,0.20434,491.19161,514.9627,117.69877,133.47855,62.20511,239.30312,95.0676,103.26686,22.91868,48.38952,362.7214,39.19472,166.83836,59.24133,0.79914,0.04294,72.91548,4.46625,9.77111,495.15914,117.37152,170.90569,0.41695,8122.13787,858.90735,219.26146,225.04619,618.06744,153.58405,439.33548,512.15151,30.56388,139.84722,128.51825,664.99696,66.55675
2008年,460.9674,654.60824,121.79821,0.12963,647.56155,741.06626,118.52875,167.16529,86.80156,323.57652,124.60776,141.97946,34.46744,64.94209,401.3209,54.35889,235.2694,98.35448,1.90195,0.11532,115.49194,2.80722,17.50143,714.57767,147.45901,247.928,2.00104,11220.3335,1016.7871,340.77644,246.64955,915.8188,218.98731,609.37094,760.71169,39.1141,198.13676,169.64893,840.67182,136.37265
2009年,495.61665,707.84793,142.06746,0.22651,758.51528,805.903,140.20174,190.17227,92.11136,343.96066,142.15353,181.33869,47.70437,69.92306,514.85324,56.39663,235.76043,95.12773,2.35806,0.35143,135.65979,3.9886,22.1305,856.95054,155.46145,273.45818,1.56459,12275.98271,1106.8737,352.68893,280.26493,930.77869,220.37154,681.61005,808.69908,50.8619,211.77153,205.59823,821.39053,133.26992
2010年,627.59763,942.78176,165.91211,1.82285,896.95572,973.95423,157.01608,234.31462,112.36017,417.02713,178.4552,231.36053,61.67635,83.31192,701.4944,64.69608,274.32088,132.41705,3.05575,0.39801,187.8311,4.98431,27.47751,1044.16749,185.20087,346.11159,2.12459,15004.16383,1232.65417,417.34883,371.10133,1135.15245,249.04204,782.83092,928.35024,58.32704,260.83779,241.34089,1103.51584,164.83636
2011年,670.42625,1014.68453,218.51203,0.47626,1049.423,1086.28222,213.57763,248.41545,100.19519,403.1762,179.41733,270.24728,96.68297,77.34523,828.96372,70.78238,281.30849,144.21433,3.75405,0.90903,255.03836,5.98939,46.03987,1211.81407,195.78961,420.56579,2.49947,16614.13669,1268.7341,440.31969,412.48339,1176.7826,245.43601,990.18046,998.40169,53.42648,281.1704,250.29337,1219.07867,181.2997
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
