,专用设备制造业私营工业企业销售费用,交通运输设备制造业私营工业企业销售费用,仪器仪表及文化、办公用机械制造业私营工业企业销售费用,其他采矿业私营工业企业销售费用,农副食品加工业私营工业企业销售费用,化学原料及化学制品制造业私营工业企业销售费用,化学纤维制造业私营工业企业销售费用,医药制造业私营工业企业销售费用,印刷业和记录媒介的复制私营工业企业销售费用,塑料制品业私营工业企业销售费用,家具制造业私营工业企业销售费用,工艺品及其他制造业私营工业企业销售费用,废弃资源和废旧材料回收加工业私营工业企业销售费用,文教体育用品制造业私营工业企业销售费用,有色金属冶炼及压延加工业私营工业企业销售费用,有色金属矿采选业私营工业企业销售费用,木材加工及木、竹、藤、棕、草制品业私营工业企业销售费用,橡胶制品业私营工业企业销售费用,水的生产和供应业私营工业企业销售费用,烟草制品业私营工业企业销售费用,煤炭开采和洗选业私营工业企业销售费用,燃气生产和供应业私营工业企业销售费用,电力、热力的生产和供应业私营工业企业销售费用,电气机械及器材制造业私营工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业私营工业企业销售费用,石油加工、炼焦及核燃料加工业私营工业企业销售费用,石油和天然气开采业私营工业企业销售费用,私营工业企业销售费用,纺织业私营工业企业销售费用,纺织服装、鞋、帽制造业私营工业企业销售费用,通信设备、计算机及其他电子设备制造私营工业企业销售费用,通用设备制造业私营工业企业销售费用,造纸及纸制品业私营工业企业销售费用,金属制品业私营工业企业销售费用,非金属矿物制品业私营工业企业销售费用,非金属矿采选业私营工业企业销售费用,食品制造业私营工业企业销售费用,饮料制造业私营工业企业销售费用,黑色金属冶炼及压延加工业私营工业企业销售费用,黑色金属矿采选业私营工业企业销售费用
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,22.59545,24.6246,5.63052,0.02746,41.64618,59.99561,2.14759,26.92821,4.86498,19.33754,8.92628,8.69174,0.26037,8.31156,9.67096,1.75361,11.56077,5.19514,0.09048,0.00037,8.04974,0.21559,0.58105,47.11603,14.8896,19.2921,0.00172,634.20676,33.71716,29.35603,17.90554,40.59618,12.85996,32.0268,50.86153,8.3416,23.78887,11.82646,15.96243,4.55895
2004年,33.15444,38.35448,10.35004,0.02125,59.00236,70.95081,3.23245,30.12881,6.84656,26.87658,12.82003,11.63206,1.00565,10.24412,15.78393,3.12637,15.51731,9.43443,0.27704,0.00068,18.81021,0.45668,0.83592,67.42983,15.55681,27.30566,0.06899,895.78,54.29074,31.03947,22.6681,66.21116,17.41332,40.13995,80.29809,9.43345,27.00918,18.67674,30.1705,9.20913
2005年,41.44063,45.0744,13.16944,0.02772,84.5662,98.45947,3.54329,46.80153,8.33055,35.31362,18.59373,16.71755,1.57312,12.48887,19.21705,4.78317,21.55734,9.93389,0.59643,0.00228,29.31081,0.52196,1.01074,81.11453,20.19614,30.00588,0.26143,1185.47106,73.65122,47.85847,25.53693,89.83048,23.40029,54.14968,99.53299,13.44641,36.53179,23.87512,38.55435,14.49156
2006年,53.44408,62.38845,18.28297,0.06765,117.50635,126.82266,5.04107,67.51229,11.97773,47.43178,25.33808,22.13423,2.66368,12.4758,26.76537,7.76239,31.60513,13.73385,0.44732,0.03268,51.88692,0.65747,1.79463,115.28755,25.25142,38.77307,0.09624,1610.11,94.02643,59.57052,32.30124,119.71074,32.52213,70.41492,138.00632,18.48925,56.35083,32.61401,51.35534,17.56927
2007年,74.86352,82.91897,24.12601,0.23454,158.78871,171.91159,7.40711,73.32179,15.65673,66.89613,34.50473,28.72234,6.74526,15.63021,39.63081,12.08773,45.74698,18.63892,0.62741,0.00082,66.04491,1.17695,2.23122,156.64275,35.45864,50.26357,0.54352,2136.11339,121.95879,64.69222,43.59521,164.10937,41.2009,101.51396,183.40551,23.61752,63.83554,42.82583,70.74009,23.79658
2008年,119.81122,127.63778,37.06737,0.23981,216.87521,242.378,10.13217,98.73798,23.57055,90.60055,53.09598,42.49285,9.08933,18.8697,67.78386,14.89892,73.49899,27.25762,1.15589,0.08652,113.36527,2.76167,3.99092,220.95294,48.54638,68.90997,0.63706,3076.144,152.87054,102.10711,60.11582,232.93648,58.39628,141.16964,272.93156,36.76217,93.75008,63.143,88.27347,39.24334
2009年,141.16545,139.92833,44.62835,0.21531,267.55383,274.46138,11.87464,123.05193,26.45786,110.19348,58.52873,52.95837,8.36085,21.33265,65.73995,14.4976,79.97598,32.02621,1.78835,0.10593,119.87435,3.44146,6.08377,271.41089,54.39899,52.44072,1.13931,3539.42555,176.64228,115.44668,68.84328,273.38687,64.49731,159.90668,322.40518,42.30887,119.4797,83.56937,92.4484,36.85626
2010年,191.63884,211.0703,54.36222,0.79039,328.14459,348.75664,15.44889,141.0589,34.1263,141.68065,75.46482,57.26157,10.48666,29.44863,89.39087,21.58034,105.78265,40.03635,2.31404,0.13098,168.38688,4.71919,13.99121,351.94827,69.53473,65.8384,1.31641,4573.61291,218.40398,155.14668,95.77109,353.34697,82.41402,209.55205,408.89338,54.99338,146.39974,103.10021,115.56935,55.31234
2011年,254.65767,202.03768,60.12433,0.34453,388.04406,388.3546,19.88595,162.99314,36.38123,150.77677,85.09151,62.96687,13.88608,26.71546,97.02046,24.30351,121.59999,51.07355,2.72222,0.16146,192.95136,5.24354,6.9796,388.89277,80.3816,74.22681,1.75133,5083.46638,235.12518,156.46405,104.35327,392.53706,88.7897,225.7945,465.53899,60.18143,160.11089,107.52247,125.88946,61.5913
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
