,专用设备制造业私营工业企业所有者权益合计,交通运输设备制造业私营工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业私营工业企业所有者权益合计,其他采矿业私营工业企业所有者权益合计,农副食品加工业私营工业企业所有者权益合计,化学原料及化学制品制造业私营工业企业所有者权益合计,化学纤维制造业私营工业企业所有者权益合计,医药制造业私营工业企业所有者权益合计,印刷业和记录媒介的复制私营工业企业所有者权益合计,塑料制品业私营工业企业所有者权益合计,家具制造业私营工业企业所有者权益合计,工艺品及其他制造业私营工业企业所有者权益合计,废弃资源和废旧材料回收加工业私营工业企业所有者权益合计,文教体育用品制造业私营工业企业所有者权益合计,有色金属冶炼及压延加工业私营工业企业所有者权益合计,有色金属矿采选业私营工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业私营工业企业所有者权益合计,橡胶制品业私营工业企业所有者权益合计,水的生产和供应业私营工业企业所有者权益合计,烟草制品业私营工业企业所有者权益合计,煤炭开采和洗选业私营工业企业所有者权益合计,燃气生产和供应业私营工业企业所有者权益合计,电力、热力的生产和供应业私营工业企业所有者权益合计,电气机械及器材制造业私营工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业所有者权益合计,石油加工、炼焦及核燃料加工业私营工业企业所有者权益合计,石油和天然气开采业私营工业企业所有者权益合计,私营工业企业所有者权益合计,纺织业私营工业企业所有者权益合计,纺织服装、鞋、帽制造业私营工业企业所有者权益合计,通信设备、计算机及其他电子设备制造私营工业企业所有者权益合计,通用设备制造业私营工业企业所有者权益合计,造纸及纸制品业私营工业企业所有者权益合计,金属制品业私营工业企业所有者权益合计,非金属矿物制品业私营工业企业所有者权益合计,非金属矿采选业私营工业企业所有者权益合计,食品制造业私营工业企业所有者权益合计,饮料制造业私营工业企业所有者权益合计,黑色金属冶炼及压延加工业私营工业企业所有者权益合计,黑色金属矿采选业私营工业企业所有者权益合计
2003年,187.79528,230.98176,62.10438,0.1174,305.94543,396.2366,55.25994,138.153,59.35283,209.30493,65.23885,71.55145,2.33681,48.95485,161.30443,20.32947,110.88572,47.44209,5.41285,0.05488,54.12147,2.93814,42.98695,361.49509,107.58205,99.08639,0.57977,5743.95,619.83968,203.79199,142.55739,372.55088,158.74427,287.73831,539.49795,33.71646,114.31252,83.64638,305.26398,34.74066
2004年,298.64713,376.83795,87.52827,0.11449,515.3129,612.74398,104.79811,216.02805,103.80276,299.71612,98.08711,106.15158,7.57252,72.12547,250.07148,46.00213,183.91427,91.77293,8.35019,0.05449,119.84307,4.30031,75.84227,539.20994,149.86053,221.34561,1.82335,9195.48,938.23351,233.34896,235.07734,619.69695,257.60381,430.03306,871.82193,49.88251,178.36779,134.70756,564.64269,90.20926
2005年,384.51181,482.85443,118.90896,0.09109,696.05486,805.45986,170.89028,293.01699,129.82203,433.62215,130.48653,151.73365,17.03265,89.9136,343.19154,74.02612,232.24509,107.98211,18.28951,0.10378,206.68659,7.74272,102.47893,705.20453,180.93736,263.53086,3.65688,12286.22,1251.33929,322.88681,273.13328,857.49384,311.28658,559.58139,1089.79209,78.82458,252.42157,175.65205,770.06338,193.26752
2006年,517.56738,641.15677,164.55573,0.25548,954.99192,1148.14568,201.98767,412.60853,174.3761,544.03108,178.3564,205.78392,19.80782,102.91705,473.43365,140.57825,322.26161,147.73295,20.68083,0.12405,322.26247,9.01089,172.42082,960.28024,240.76614,370.64588,3.98717,16567.96,1584.94306,432.10109,361.18922,1156.60463,426.311,771.26735,1442.61336,125.81862,369.8109,236.66534,986.51761,223.39427
2007年,746.79443,907.7391,228.83129,1.11951,1339.91727,1606.17427,292.1925,513.39666,218.21945,723.89577,243.08235,254.14166,29.64564,133.05861,645.38432,212.22168,454.56708,189.82159,20.47954,3.26204,482.52237,21.31628,219.70837,1308.12969,298.21148,443.68351,8.43744,22184.6,1965.282,511.98123,535.38415,1599.04462,503.89305,1039.77744,1894.66308,164.48813,471.88296,340.27566,1275.89779,336.07683
2008年,1244.40576,1497.19773,382.3763,1.68565,2029.94744,2536.02323,366.05839,650.61509,344.02144,1070.27403,347.05162,369.35905,49.80341,174.35884,899.66901,299.15344,750.34708,310.58838,38.40408,6.41866,916.89836,27.89663,311.26655,2097.04974,438.72067,593.95272,22.07821,33051.48,2508.07692,885.16058,717.15111,2498.51302,684.50295,1549.20027,2824.61901,258.79923,700.60961,499.20811,1557.86806,592.14524
2009年,1548.34651,1840.03251,480.15122,1.91913,2596.88886,3012.16601,364.33678,835.97794,394.27761,1282.70087,435.44008,450.24053,72.35598,191.92589,1096.27449,308.86611,866.02413,366.1936,44.36125,6.02024,1102.07756,43.40408,415.43853,2696.648,494.04871,793.96611,56.35444,40383.67,3112.97146,979.58755,881.31244,3099.08823,805.3747,1870.34219,3462.12082,334.53916,846.00042,617.09196,1910.97136,667.8291
2010年,2093.381,2648.24041,571.09776,5.98305,3298.09772,3833.4631,428.84751,1063.92777,480.60232,1626.28852,571.41944,547.9278,129.34392,251.38889,1381.0857,410.47069,1084.34083,490.91148,51.81083,6.0364,1508.57808,64.59842,545.01885,3865.6415,603.89141,820.7,43.68478,52295.51,3378.29186,1280.22834,1362.37618,4293.77728,994.93629,2455.41848,4395.97899,415.3621,1130.72164,771.34205,2491.00644,899.29057
2011年,2351.60022,2896.80447,663.5227,3.83506,3751.92822,4320.49246,532.31032,1284.81703,458.97531,1667.64079,655.11298,613.93399,208.35584,237.41377,1683.70317,421.76545,1140.88118,631.79886,39.15507,1.97015,1679.11276,57.32899,482.03984,4389.98516,657.74111,875.86166,37.9039,57479.12,3540.93229,1331.91718,1444.75447,4318.40253,965.12258,2819.34656,4930.52628,451.79699,1296.80108,892.12965,2632.54285,1108.85803
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
