,专用设备制造业私营工业企业应交所得税,交通运输设备制造业私营工业企业应交所得税,仪器仪表及文化、办公用机械制造业私营工业企业应交所得税,其他采矿业私营工业企业应交所得税,农副食品加工业私营工业企业应交所得税,化学原料及化学制品制造业私营工业企业应交所得税,化学纤维制造业私营工业企业应交所得税,医药制造业私营工业企业应交所得税,印刷业和记录媒介的复制私营工业企业应交所得税,塑料制品业私营工业企业应交所得税,家具制造业私营工业企业应交所得税,工艺品及其他制造业私营工业企业应交所得税,废弃资源和废旧材料回收加工业私营工业企业应交所得税,文教体育用品制造业私营工业企业应交所得税,有色金属冶炼及压延加工业私营工业企业应交所得税,有色金属矿采选业私营工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业私营工业企业应交所得税,橡胶制品业私营工业企业应交所得税,水的生产和供应业私营工业企业应交所得税,烟草制品业私营工业企业应交所得税,煤炭开采和洗选业私营工业企业应交所得税,燃气生产和供应业私营工业企业应交所得税,电力、热力的生产和供应业私营工业企业应交所得税,电气机械及器材制造业私营工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业私营工业企业应交所得税,石油加工、炼焦及核燃料加工业私营工业企业应交所得税,石油和天然气开采业私营工业企业应交所得税,私营工业企业应交所得税,纺织业私营工业企业应交所得税,纺织服装、鞋、帽制造业私营工业企业应交所得税,通信设备、计算机及其他电子设备制造私营工业企业应交所得税,通用设备制造业私营工业企业应交所得税,造纸及纸制品业私营工业企业应交所得税,金属制品业私营工业企业应交所得税,非金属矿物制品业私营工业企业应交所得税,非金属矿采选业私营工业企业应交所得税,食品制造业私营工业企业应交所得税,饮料制造业私营工业企业应交所得税,黑色金属冶炼及压延加工业私营工业企业应交所得税,黑色金属矿采选业私营工业企业应交所得税
2003年,6.64248,7.6401,1.95022,0.00296,6.34456,11.92337,1.40638,2.57202,1.4586,6.34134,1.79547,2.16867,0.03285,1.48614,3.60783,0.53405,2.64526,1.45479,0.11434,,1.68723,0.04676,0.68518,10.99597,4.0727,4.0586,0.00237,162.01738,15.2241,6.42523,4.31878,11.96792,3.8698,8.53328,14.58964,1.39059,2.7353,1.60805,7.96882,1.71563
2004年,10.29622,11.83862,2.62387,0.00697,10.81047,17.77427,1.88104,3.93942,2.93671,8.75656,2.30038,3.91742,0.24295,2.26809,6.71368,3.35152,4.22237,3.24829,0.15564,0.00027,5.39929,0.07487,0.60968,19.08282,4.69815,6.4817,0.01283,276.55,21.95429,7.56268,5.72133,22.01369,6.44302,13.21359,27.36445,1.99036,3.933,2.77039,17.54249,12.40017
2005年,14.4136,15.87728,3.54938,0.0042,18.64345,25.74212,2.57861,6.37337,3.3147,12.49594,3.58903,5.452,0.51593,3.65744,8.85535,7.06751,5.8816,4.01038,0.16063,0.00017,12.2735,0.09226,1.25502,24.94775,7.38421,5.30657,0.05523,378.74752,30.74117,11.2517,6.58577,31.17577,7.96576,18.37949,28.97456,3.18791,5.92341,3.6688,22.6018,14.79415
2006年,19.9754,20.82769,5.05209,0.01976,28.25135,39.10912,4.30368,9.06191,4.35945,17.01298,5.63932,7.12458,0.67377,4.07009,16.59682,12.37997,9.98104,5.74602,0.24622,0.0019,18.70916,0.13829,2.00856,34.42122,12.09895,8.3695,0.17584,551.81,40.44578,15.14118,8.66582,45.21711,12.41481,28.73829,42.26871,5.58536,10.63518,6.67916,27.60003,22.06359
2007年,29.47638,29.70737,7.41361,0.04687,39.82966,59.20044,6.06482,11.2508,5.91832,24.13956,8.23659,9.14796,1.08469,4.68637,21.9488,17.72878,15.28726,7.86467,0.21753,0.00045,25.37386,0.26956,2.52938,51.66634,15.36339,12.34283,0.15802,795.82852,54.46879,17.72105,12.8807,67.48926,16.32034,37.86988,66.65037,6.90879,13.25222,9.07818,43.13965,43.09498
2008年,42.85499,45.9512,9.07355,0.03232,65.36462,82.27459,6.60951,15.99461,8.41785,30.21148,11.37241,12.3029,2.06333,6.05996,27.9346,12.4037,25.40063,11.21291,0.41711,0.00354,58.66037,1.02501,3.03026,66.64221,19.55501,26.76449,0.52639,1124.00846,68.37095,29.38484,15.25351,85.64835,21.19211,48.35567,106.81727,9.02628,21.13821,13.97337,46.93449,65.75386
2009年,47.9446,57.05888,11.8224,0.0387,70.99705,84.77575,6.67392,20.36878,10.93145,33.65624,14.43029,16.65252,1.7831,6.56608,25.11892,7.73358,26.63595,12.33251,0.48989,0.00748,57.95958,1.45947,4.38202,76.5542,18.1698,22.45893,0.79955,1206.91998,90.22238,31.3802,19.6261,94.90448,22.58596,53.838,120.94838,8.96895,24.43587,18.06126,43.32509,40.82167
2010年,69.26716,89.09943,15.60182,0.08239,98.2604,127.19778,11.12473,28.43855,14.04856,50.22957,19.60581,20.9291,5.01577,8.8733,43.24302,12.02192,37.39208,19.95797,0.74313,0.02031,98.49172,2.32752,5.67669,108.83044,25.94312,29.7061,0.66874,1733.922,106.40777,43.59106,34.03351,132.73314,29.85123,73.96933,159.75463,15.36797,33.1986,27.94664,59.85161,74.41938
2011年,94.41346,99.64467,20.0145,0.10957,118.8528,154.13491,13.66793,34.31199,15.14145,58.16058,27.34001,26.19611,5.19009,8.89377,62.55253,17.76941,43.78223,25.97576,0.65107,0.0149,102.46141,1.39581,5.56916,133.45645,33.86219,25.9712,0.44636,2058.42318,115.18349,46.42061,37.52619,141.52706,34.33101,83.58676,191.42833,17.14727,43.25549,32.15817,80.88129,104.99719
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
