,专用设备制造业私营工业企业流动负债合计,交通运输设备制造业私营工业企业流动负债合计,仪器仪表及文化、办公用机械制造业私营工业企业流动负债合计,其他采矿业私营工业企业流动负债合计,农副食品加工业私营工业企业流动负债合计,化学原料及化学制品制造业私营工业企业流动负债合计,化学纤维制造业私营工业企业流动负债合计,医药制造业私营工业企业流动负债合计,印刷业和记录媒介的复制私营工业企业流动负债合计,塑料制品业私营工业企业流动负债合计,家具制造业私营工业企业流动负债合计,工艺品及其他制造业私营工业企业流动负债合计,废弃资源和废旧材料回收加工业私营工业企业流动负债合计,文教体育用品制造业私营工业企业流动负债合计,有色金属冶炼及压延加工业私营工业企业流动负债合计,有色金属矿采选业私营工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业私营工业企业流动负债合计,橡胶制品业私营工业企业流动负债合计,水的生产和供应业私营工业企业流动负债合计,烟草制品业私营工业企业流动负债合计,煤炭开采和洗选业私营工业企业流动负债合计,燃气生产和供应业私营工业企业流动负债合计,电力、热力的生产和供应业私营工业企业流动负债合计,电气机械及器材制造业私营工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业流动负债合计,石油加工、炼焦及核燃料加工业私营工业企业流动负债合计,石油和天然气开采业私营工业企业流动负债合计,私营工业企业流动负债合计,纺织业私营工业企业流动负债合计,纺织服装、鞋、帽制造业私营工业企业流动负债合计,通信设备、计算机及其他电子设备制造私营工业企业流动负债合计,通用设备制造业私营工业企业流动负债合计,造纸及纸制品业私营工业企业流动负债合计,金属制品业私营工业企业流动负债合计,非金属矿物制品业私营工业企业流动负债合计,非金属矿采选业私营工业企业流动负债合计,食品制造业私营工业企业流动负债合计,饮料制造业私营工业企业流动负债合计,黑色金属冶炼及压延加工业私营工业企业流动负债合计,黑色金属矿采选业私营工业企业流动负债合计
2003年,282.82037,375.80299,60.28255,0.02726,377.33852,519.93631,94.79889,142.46338,78.76162,256.28847,64.80024,87.04209,3.72244,67.69741,241.27342,17.10238,104.3694,59.62459,3.32554,1.4695,49.89209,3.46377,53.79752,530.99747,149.68494,132.02676,0.08338,7697.03104,877.02312,272.56244,168.68827,542.78269,221.7815,403.33984,597.16023,29.90007,136.87011,100.02185,543.58787,44.41975
2004年,462.73456,628.26856,103.51389,0.18941,588.91449,807.19194,196.78508,209.16544,145.51158,421.45754,108.20745,139.93882,12.35942,98.50089,381.31381,43.53565,176.71476,119.28624,10.01489,0.14067,109.26101,5.85274,86.00226,814.99935,192.77518,339.58539,1.30383,12866.37368,1596.48911,372.55545,291.11376,917.78938,356.36444,638.62771,1003.30872,51.57858,193.75785,143.48464,987.54416,110.23503
2005年,514.96944,775.23519,129.89193,0.22313,697.29745,1008.75389,230.39698,268.04043,178.60537,539.56371,137.45076,184.84858,16.97287,112.56718,511.93809,50.39916,194.2033,120.15354,9.59129,0.13594,174.51477,5.04427,109.48252,1002.03361,240.8807,429.47355,2.39547,15964.39506,1876.38908,461.47166,350.229,1156.08091,408.32387,788.20626,1220.1773,59.9504,264.79027,184.43159,1382.98733,166.29427
2006年,677.0271,1023.41643,179.17747,0.16741,915.41008,1395.04681,340.40972,365.37785,214.79108,716.40565,197.82201,244.40181,28.79073,134.47934,729.3291,105.72962,261.39606,178.8613,15.51925,0.20702,251.37562,12.0895,186.44795,1390.30557,320.16794,533.0986,4.78566,21160.91756,2392.19288,567.43781,437.30144,1569.13421,527.15295,1106.62167,1483.766,92.7102,323.09413,235.86456,1758.07295,245.53208
2007年,951.45053,1451.58195,246.25226,0.57751,1136.3826,1806.92665,620.64029,446.12625,284.57076,916.67465,261.58411,301.20369,54.55344,178.82448,958.46717,162.76534,347.38457,205.25494,19.95033,0.17784,399.28915,25.35713,235.665,1824.91163,380.00011,646.30673,6.35531,27495.88723,2970.27035,672.97879,596.401,2041.46832,606.58952,1490.09355,1897.31944,116.34582,403.50689,297.65885,2187.99244,346.02784
2008年,1434.92413,2329.33454,413.98947,0.54402,1490.70039,2356.82813,519.32503,536.83643,399.74304,1192.20706,372.64678,412.82842,109.06375,211.21341,1253.07612,208.95451,507.9719,331.96981,41.20521,1.0314,689.76937,27.35301,359.73989,2552.47218,476.71116,883.64162,14.64016,37262.29114,3536.19184,952.276,806.47076,2961.48622,801.30737,2041.5394,2646.88469,163.4452,521.86182,418.09926,2692.89791,591.10973
2009年,1611.68938,2646.03004,478.23318,1.22285,1811.67552,2837.23453,564.77685,674.48711,447.26201,1304.23799,405.34448,478.18387,150.84611,225.12733,1499.85157,241.25133,545.06787,364.51538,37.02189,1.11182,851.27922,42.39676,446.97325,3126.22453,514.00453,1021.27582,18.32233,42938.08216,4000.42442,1036.08906,1004.89119,3243.93408,860.43243,2344.48,3055.34675,177.74359,575.76079,520.31455,3086.75704,686.26071
2010年,2060.14443,3718.09888,571.08267,3.28141,2185.41864,3676.45081,681.6094,744.52451,549.02927,1652.67676,532.64858,578.87326,198.42206,278.86251,2124.49063,287.00445,644.18458,498.75829,42.55849,1.14544,1307.03584,54.20507,591.83836,4118.94192,628.60184,1410.29057,18.83014,54642.10152,4420.68444,1203.49267,1331.81418,4365.706,1063.8524,2853.33075,3772.23334,243.03505,781.49716,584.41374,4089.32712,773.70586
2011年,2248.26107,3697.95052,687.47588,1.16874,2367.76816,4107.39565,824.13935,793.88502,467.61628,1601.55503,555.17417,622.56291,275.33523,242.10939,2379.71259,301.51847,631.20417,578.0847,38.088,3.74883,1640.09199,49.0057,479.88634,4732.19539,647.66859,1792.02595,14.31674,58996.7189,4403.11159,1232.76926,1452.81064,4101.38121,1067.46918,3576.54444,4122.39646,217.75402,769.88594,537.08527,4815.3946,920.17143
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
