,专用设备制造业私营工业企业流动资产合计,交通运输设备制造业私营工业企业流动资产合计,仪器仪表及文化、办公用机械制造业私营工业企业流动资产合计,其他采矿业私营工业企业流动资产合计,农副食品加工业私营工业企业流动资产合计,化学原料及化学制品制造业私营工业企业流动资产合计,化学纤维制造业私营工业企业流动资产合计,医药制造业私营工业企业流动资产合计,印刷业和记录媒介的复制私营工业企业流动资产合计,塑料制品业私营工业企业流动资产合计,家具制造业私营工业企业流动资产合计,工艺品及其他制造业私营工业企业流动资产合计,废弃资源和废旧材料回收加工业私营工业企业流动资产合计,文教体育用品制造业私营工业企业流动资产合计,有色金属冶炼及压延加工业私营工业企业流动资产合计,有色金属矿采选业私营工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业私营工业企业流动资产合计,橡胶制品业私营工业企业流动资产合计,水的生产和供应业私营工业企业流动资产合计,烟草制品业私营工业企业流动资产合计,煤炭开采和洗选业私营工业企业流动资产合计,燃气生产和供应业私营工业企业流动资产合计,电力、热力的生产和供应业私营工业企业流动资产合计,电气机械及器材制造业私营工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业流动资产合计,石油加工、炼焦及核燃料加工业私营工业企业流动资产合计,石油和天然气开采业私营工业企业流动资产合计,私营工业企业流动资产合计,纺织业私营工业企业流动资产合计,纺织服装、鞋、帽制造业私营工业企业流动资产合计,通信设备、计算机及其他电子设备制造私营工业企业流动资产合计,通用设备制造业私营工业企业流动资产合计,造纸及纸制品业私营工业企业流动资产合计,金属制品业私营工业企业流动资产合计,非金属矿物制品业私营工业企业流动资产合计,非金属矿采选业私营工业企业流动资产合计,食品制造业私营工业企业流动资产合计,饮料制造业私营工业企业流动资产合计,黑色金属冶炼及压延加工业私营工业企业流动资产合计,黑色金属矿采选业私营工业企业流动资产合计
2003年,300.33815,390.81184,84.67707,0.05219,383.42429,537.72781,76.98332,150.41886,73.05078,268.64669,75.72856,96.87698,4.98732,71.65254,243.49564,20.07883,114.87258,64.22376,2.56054,0.2181,48.51903,2.84323,33.6409,607.33294,162.12929,131.42757,0.08601,7838.48,793.02617,295.43621,213.40157,580.4435,207.28444,434.70405,553.31405,34.55121,136.6821,96.69489,505.17326,40.9672
2004年,495.77474,647.6341,131.23554,0.09402,626.59456,826.86011,168.7153,221.28041,128.82197,428.61089,123.0121,153.05349,15.03661,105.9235,398.79202,49.98004,198.63232,124.04396,5.71999,0.06308,116.22025,4.92445,55.9415,919.27894,216.01585,328.66046,0.96825,13080.46,1413.35997,392.04598,372.76789,1002.90851,346.84871,683.65425,934.81926,54.61142,192.00039,141.35214,943.90997,110.29272
2005年,571.37749,804.38635,167.97524,0.14165,762.44032,1058.4501,213.48255,286.58559,159.4175,568.99937,153.51346,210.6707,20.6754,122.94327,535.28962,70.7186,227.12448,134.87763,8.05678,0.09115,187.49771,5.74899,75.57441,1161.6323,261.39603,362.98119,1.54878,16426.01,1741.36322,505.96129,436.54341,1273.04685,402.75287,848.61143,1138.8887,69.57664,265.27563,179.19227,1263.09487,168.10159
2006年,754.16066,1062.55242,231.13944,0.1588,1031.75743,1485.77094,287.5073,402.76892,206.65632,756.68378,216.3944,282.10635,32.71838,139.1553,791.20278,141.47014,323.88289,181.44939,12.68188,0.12291,285.20904,10.55984,149.43257,1587.91225,349.55124,463.43785,3.17707,22035.64,2257.13738,618.76208,546.4105,1714.7716,525.28927,1200.71948,1455.17049,107.44887,341.87133,237.93357,1595.08603,245.42379
2007年,1082.21965,1547.07566,323.33399,0.64539,1391.35794,2000.64756,489.60834,475.00474,274.37995,994.18454,290.66789,353.87566,61.05265,189.51237,1064.10986,220.50003,433.00441,224.52969,17.95346,0.88135,437.82313,24.80833,168.72034,2160.86734,424.87918,601.01277,4.73101,29412.56,2854.92976,735.11751,795.42987,2294.73107,620.73482,1648.36589,1883.03368,135.45655,446.09111,329.7597,2032.51776,379.00502
2008年,1659.99117,2432.56449,533.5583,0.65569,1855.77503,2670.27304,496.2055,605.25706,401.30998,1346.9863,406.87916,491.85743,113.42185,225.592,1304.4361,249.4192,636.00263,363.13663,40.54834,4.4908,850.82723,30.0423,256.16048,3092.05819,551.54656,805.29199,17.52231,40572.42,3464.61696,1107.97309,997.06102,3335.85327,817.78197,2254.8968,2726.07618,193.418,629.38796,462.41957,2471.40371,669.71767
2009年,1907.23629,2840.49008,648.75688,0.98316,2277.14783,3238.4546,554.3071,793.53979,446.36326,1488.5038,471.74001,594.45353,155.91426,244.87298,1612.23988,272.47849,687.28651,413.75172,42.54788,5.01908,1008.05926,41.54545,325.87147,3877.39656,607.90973,951.36444,25.38025,47550.43,3996.22364,1230.79291,1227.85607,3750.85944,921.06582,2614.36994,3194.55972,224.64728,693.2477,571.82009,2874.10415,717.27323
2010年,2536.33765,3996.9006,724.19464,4.2303,2785.58574,4173.50941,691.41895,984.49082,558.60104,1917.86166,627.5237,731.87365,217.56772,308.81296,2348.56023,347.29865,849.89181,569.7535,45.70622,4.90168,1588.41206,56.52753,425.76472,5328.13949,764.30593,1253.39052,23.80006,61798.67,4524.54111,1530.59465,1759.50836,4937.55211,1105.28779,3303.98071,4113.23719,295.46458,926.88042,702.03531,3847.02603,887.20102
2011年,2795.12556,4148.39547,902.98958,2.92457,3265.72845,4846.12001,862.96205,1181.96652,520.96065,1923.71544,674.33618,821.00804,297.35559,273.71662,2736.16202,372.70705,886.48291,669.27523,41.33706,5.36446,1951.42793,55.36086,365.07132,6134.64372,797.09854,1653.22978,21.86785,69059.45,4609.85908,1658.70153,1927.43451,5009.697,1135.98153,4030.04433,4624.05226,296.91195,1080.58582,752.21749,4676.02082,1050.60738
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
