,专用设备制造业私营工业企业固定资产原价合计,交通运输设备制造业私营工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业私营工业企业固定资产原价合计,其他采矿业私营工业企业固定资产原价合计,农副食品加工业私营工业企业固定资产原价合计,化学原料及化学制品制造业私营工业企业固定资产原价合计,化学纤维制造业私营工业企业固定资产原价合计,医药制造业私营工业企业固定资产原价合计,印刷业和记录媒介的复制私营工业企业固定资产原价合计,塑料制品业私营工业企业固定资产原价合计,家具制造业私营工业企业固定资产原价合计,工艺品及其他制造业私营工业企业固定资产原价合计,废弃资源和废旧材料回收加工业私营工业企业固定资产原价合计,文教体育用品制造业私营工业企业固定资产原价合计,有色金属冶炼及压延加工业私营工业企业固定资产原价合计,有色金属矿采选业私营工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业私营工业企业固定资产原价合计,橡胶制品业私营工业企业固定资产原价合计,水的生产和供应业私营工业企业固定资产原价合计,烟草制品业私营工业企业固定资产原价合计,煤炭开采和洗选业私营工业企业固定资产原价合计,燃气生产和供应业私营工业企业固定资产原价合计,电力、热力的生产和供应业私营工业企业固定资产原价合计,电气机械及器材制造业私营工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业私营工业企业固定资产原价合计,石油和天然气开采业私营工业企业固定资产原价合计,私营工业企业固定资产原价合计,纺织业私营工业企业固定资产原价合计,纺织服装、鞋、帽制造业私营工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造私营工业企业固定资产原价合计,通用设备制造业私营工业企业固定资产原价合计,造纸及纸制品业私营工业企业固定资产原价合计,金属制品业私营工业企业固定资产原价合计,非金属矿物制品业私营工业企业固定资产原价合计,非金属矿采选业私营工业企业固定资产原价合计,食品制造业私营工业企业固定资产原价合计,饮料制造业私营工业企业固定资产原价合计,黑色金属冶炼及压延加工业私营工业企业固定资产原价合计,黑色金属矿采选业私营工业企业固定资产原价合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,172.25751,223.45396,36.81013,0.11656,314.34921,438.54835,84.66186,118.56767,81.99609,216.06154,55.8382,62.94839,1.00111,45.90405,180.37293,25.30985,107.82472,52.04966,7.99865,0.80119,55.46782,4.68424,95.26889,287.59498,89.11646,112.62807,0.52491,6228.8548,849.08268,180.52334,90.61212,373.64583,206.57238,272.60807,741.99709,36.84144,128.61899,98.03764,341.99016,36.16806
2004年,268.59129,355.79822,49.57009,0.27611,516.41231,688.80987,163.91746,195.78988,150.15331,330.79193,85.77383,96.54214,5.64015,67.41954,236.46304,49.38349,178.45648,104.46422,17.32012,0.06845,125.06344,8.13487,149.23472,411.5602,127.61412,244.49691,3.05594,9992.56117,1355.55789,227.35397,146.22876,602.57958,328.09087,395.56697,1189.89048,57.50381,195.6808,153.73346,617.56219,92.01026
2005年,347.4825,455.93349,71.85221,0.24271,680.30704,840.90755,236.17179,278.95176,185.49461,450.65975,111.30264,131.98837,10.45521,80.53436,356.215,63.54573,218.06324,114.91717,29.92142,0.09939,188.35991,9.0843,203.74221,538.92196,153.91788,329.22844,5.90413,12983.31865,1634.34813,295.66818,185.37823,809.21866,394.2132,523.38169,1440.21358,78.62124,261.00362,192.09584,924.3547,150.61681
2006年,471.89335,609.86979,99.70632,0.31988,908.95069,1203.45498,305.93879,370.66113,231.75514,573.47118,156.46264,171.57912,16.79742,95.48774,444.8309,104.27861,295.53928,162.46111,41.76085,0.17253,293.93184,13.92676,376.24964,747.72542,196.04795,454.75379,5.95341,17316.09025,2039.2993,392.86644,251.07358,1105.07558,505.777,733.07441,1816.51291,123.13698,351.71675,246.80146,1169.35636,227.41922
2007年,629.05889,848.90496,138.9237,1.51518,1262.89237,1611.86248,426.1297,468.35947,283.64989,735.72992,205.89657,207.16858,28.265,120.09654,556.50093,150.07688,419.2346,202.55976,42.3007,3.68745,442.3274,24.83038,489.25571,968.46184,249.46206,535.42037,13.20224,22383.18075,2448.05119,467.61316,342.02297,1439.77982,608.22965,966.43552,2320.58674,164.37904,459.37109,336.76671,1427.92645,336.24484
2008年,1090.60665,1422.01701,247.19466,1.81465,2018.37224,2430.29155,459.71498,676.16616,451.81401,1125.1176,332.3609,309.18225,60.72282,174.43272,1038.1074,272.30639,750.44872,320.92476,59.00457,4.84832,755.12261,34.50269,688.75225,1587.61071,358.27221,703.21395,30.63808,34437.22229,3272.44234,818.90747,581.27249,2377.794,863.19169,1549.27051,3465.22671,283.28911,688.81597,510.22367,2100.19343,523.03404
2009年,1402.1762,1789.85991,315.82016,4.77776,2649.39342,3075.88366,488.56768,831.78664,519.15726,1353.67879,409.07842,375.06572,80.38194,197.78903,1209.83115,272.6691,883.55303,372.58134,69.83094,5.04453,962.44887,48.74798,925.84531,2070.33666,441.5841,866.16369,48.70537,42366.46467,4046.58525,910.34928,729.92398,2886.55125,1006.49702,1854.30644,4261.76159,317.2778,845.20736,669.16007,2519.26205,648.82392
2010年,1898.38017,2548.33991,457.44331,11.43491,3762.61648,4192.56138,535.0407,997.3704,620.7839,1777.76335,527.60185,457.04701,134.3743,247.76836,1611.28774,380.75847,1154.32714,522.99648,76.12274,5.45711,1597.637,81.3807,1196.88816,3034.12848,555.63391,1246.59695,50.0824,56459.88587,4319.51997,1090.26514,1025.63941,4344.77165,1240.71817,2523.02047,5226.52104,449.39238,1158.08782,834.225,3727.76852,838.13299
2011年,2377.19543,3160.23393,530.00093,5.56456,4868.04951,5340.63156,678.92114,1169.63127,566.06307,1875.25141,569.24951,519.85386,241.98572,236.12684,1969.69985,402.26701,1316.20497,778.52573,59.18941,2.13102,1564.683,75.54087,950.55848,3656.51632,651.80099,1450.52407,76.14324,65621.76672,4616.55871,1179.11187,1185.38108,4631.06431,1290.59194,3029.71268,6423.49899,559.48983,1305.98239,913.62387,4359.40366,1034.80369
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
