,专用设备制造业私营工业企业出口交货值,交通运输设备制造业私营工业企业出口交货值,仪器仪表及文化、办公用机械制造业私营工业企业出口交货值,其他采矿业私营工业企业出口交货值,农副食品加工业私营工业企业出口交货值,化学原料及化学制品制造业私营工业企业出口交货值,化学纤维制造业私营工业企业出口交货值,医药制造业私营工业企业出口交货值,印刷业和记录媒介的复制私营工业企业出口交货值,塑料制品业私营工业企业出口交货值,家具制造业私营工业企业出口交货值,工艺品及其他制造业私营工业企业出口交货值,废弃资源和废旧材料回收加工业私营工业企业出口交货值,文教体育用品制造业私营工业企业出口交货值,有色金属冶炼及压延加工业私营工业企业出口交货值,有色金属矿采选业私营工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业私营工业企业出口交货值,橡胶制品业私营工业企业出口交货值,水的生产和供应业私营工业企业出口交货值,烟草制品业私营工业企业出口交货值,煤炭开采和洗选业私营工业企业出口交货值,燃气生产和供应业私营工业企业出口交货值,电力、热力的生产和供应业私营工业企业出口交货值,电气机械及器材制造业私营工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业私营工业企业出口交货值,石油加工、炼焦及核燃料加工业私营工业企业出口交货值,石油和天然气开采业私营工业企业出口交货值,私营工业企业出口交货值,纺织业私营工业企业出口交货值,纺织服装、鞋、帽制造业私营工业企业出口交货值,通信设备、计算机及其他电子设备制造私营工业企业出口交货值,通用设备制造业私营工业企业出口交货值,造纸及纸制品业私营工业企业出口交货值,金属制品业私营工业企业出口交货值,非金属矿物制品业私营工业企业出口交货值,非金属矿采选业私营工业企业出口交货值,食品制造业私营工业企业出口交货值,饮料制造业私营工业企业出口交货值,黑色金属冶炼及压延加工业私营工业企业出口交货值,黑色金属矿采选业私营工业企业出口交货值
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
