,专用设备制造业私营工业企业出口交货值,交通运输设备制造业私营工业企业出口交货值,仪器仪表及文化、办公用机械制造业私营工业企业出口交货值,其他采矿业私营工业企业出口交货值,农副食品加工业私营工业企业出口交货值,化学原料及化学制品制造业私营工业企业出口交货值,化学纤维制造业私营工业企业出口交货值,医药制造业私营工业企业出口交货值,印刷业和记录媒介的复制私营工业企业出口交货值,塑料制品业私营工业企业出口交货值,家具制造业私营工业企业出口交货值,工艺品及其他制造业私营工业企业出口交货值,废弃资源和废旧材料回收加工业私营工业企业出口交货值,文教体育用品制造业私营工业企业出口交货值,有色金属冶炼及压延加工业私营工业企业出口交货值,有色金属矿采选业私营工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业私营工业企业出口交货值,橡胶制品业私营工业企业出口交货值,水的生产和供应业私营工业企业出口交货值,烟草制品业私营工业企业出口交货值,煤炭开采和洗选业私营工业企业出口交货值,燃气生产和供应业私营工业企业出口交货值,电力、热力的生产和供应业私营工业企业出口交货值,电气机械及器材制造业私营工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业私营工业企业出口交货值,石油加工、炼焦及核燃料加工业私营工业企业出口交货值,石油和天然气开采业私营工业企业出口交货值,私营工业企业出口交货值,纺织业私营工业企业出口交货值,纺织服装、鞋、帽制造业私营工业企业出口交货值,通信设备、计算机及其他电子设备制造私营工业企业出口交货值,通用设备制造业私营工业企业出口交货值,造纸及纸制品业私营工业企业出口交货值,金属制品业私营工业企业出口交货值,非金属矿物制品业私营工业企业出口交货值,非金属矿采选业私营工业企业出口交货值,食品制造业私营工业企业出口交货值,饮料制造业私营工业企业出口交货值,黑色金属冶炼及压延加工业私营工业企业出口交货值,黑色金属矿采选业私营工业企业出口交货值
2003年,33.68236,120.34864,33.11077,0.0326,118.36252,117.221,13.521,26.52547,4.9267,82.28293,52.17146,157.5901,0.016,93.00745,34.34743,3.54745,52.03358,12.8026,,,0.255,,0.46635,245.02673,216.02411,4.35228,,2882.9745,474.86042,356.29609,68.81162,193.62726,13.33902,197.10413,76.72457,10.23624,29.05377,15.43739,25.77251,0.05695
2004年,51.52976,185.0568,46.17035,,218.46019,190.54973,7.46367,45.09329,10.58325,123.0739,89.06552,204.85161,0.51874,149.49801,74.63536,4.39458,100.33083,43.79099,,,0.60025,1e-05,3e-05,330.5729,278.16131,9.05537,,4532.36,818.00547,467.82609,121.2109,322.85408,24.18592,302.67299,156.02049,7.11324,50.3183,22.89819,75.39123,0.40243
2005年,71.54514,239.76475,61.56742,0.02105,247.12966,242.66095,40.63353,56.83005,18.0189,187.81232,124.90918,269.32395,1.32557,178.95648,96.59314,6.07127,129.05371,39.53839,0.0315,0.096,7.50886,0.03999,0.05677,419.38388,321.77316,11.08829,0.01446,5633.31409,956.14065,530.60947,191.72568,370.54066,30.17248,380.94933,205.25352,8.02985,66.94343,27.72022,92.33035,1.15008
2006年,104.87763,327.31863,83.19429,0.0113,341.12533,316.74636,65.01114,73.96751,18.63199,238.68814,166.21099,317.59198,1.02291,195.75167,143.44596,9.92811,199.75919,52.74905,0.04423,0.07434,8.95188,,0.07726,565.10603,355.97571,11.96886,0.0298,7094.68,1126.82333,628.44314,227.43143,444.47488,38.7989,507.55068,272.0643,15.25635,92.55942,33.39244,107.93564,1.68587
2007年,138.4579,378.30705,113.85004,,367.17447,407.57785,110.1072,81.03996,22.85792,287.26115,227.95887,385.2062,2.01548,216.43614,160.47516,7.83414,248.16264,64.93476,,,0.08552,,0.13057,726.50414,430.10298,9.31732,,8571.33524,1255.74665,716.1213,351.6605,567.99389,39.66126,613.99292,322.29176,12.10842,118.61508,32.93068,154.16289,0.25243
2008年,230.1855,668.81163,159.84684,,470.83737,541.28168,119.85282,91.96615,34.9355,333.2935,279.94463,481.35613,2.16611,237.03554,178.31318,5.72573,227.30052,108.11456,0.00072,,6.7388,0.02699,1.9041,875.90213,484.80136,19.25802,,10507.90396,1391.94675,867.44859,424.04713,700.76103,43.05675,715.30935,357.52502,16.6472,164.79514,34.65351,228.91487,3.19911
2009年,209.08134,630.33753,191.96003,,491.85549,526.89459,107.03507,99.29762,35.04978,338.40589,282.68858,486.90928,1.22021,242.17783,95.29394,4.21608,219.97366,120.2141,0.06905,,0.21751,0.11825,1.47723,849.74452,448.79795,3.77763,0.00441,10003.45367,1350.82188,889.1566,440.38064,593.49178,42.42097,630.0848,332.95256,10.5939,177.27286,35.58345,110.56515,3.31151
2010年,290.18472,854.3133,167.19118,,645.02435,673.38849,123.80369,151.28317,32.7564,469.1851,372.82741,572.35014,1.71255,279.18376,146.78811,10.90627,267.29161,156.73767,0.00513,,2.46945,,1.77124,1124.00035,542.88186,7.96899,0.10406,12679.67765,1635.6485,973.12162,699.85812,749.33187,56.85431,839.62532,429.84203,10.38476,201.91545,44.65399,144.08038,0.2323
2011年,321.5802,958.58742,170.63502,1.70446,668.10535,758.16119,148.40516,177.79137,44.52641,462.77736,372.21868,666.02866,16.99347,268.83606,186.2495,5.42349,318.34593,267.83206,0.00053,,2.69178,,2.98228,1360.25489,553.54421,7.69046,,13581.5509,1666.44759,890.99777,652.57726,799.03863,71.70856,894.7118,420.30955,10.4997,226.58657,46.5149,156.19212,4.60051
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
