,专用设备制造业私营工业企业负债合计,交通运输设备制造业私营工业企业负债合计,仪器仪表及文化、办公用机械制造业私营工业企业负债合计,其他采矿业私营工业企业负债合计,农副食品加工业私营工业企业负债合计,化学原料及化学制品制造业私营工业企业负债合计,化学纤维制造业私营工业企业负债合计,医药制造业私营工业企业负债合计,印刷业和记录媒介的复制私营工业企业负债合计,塑料制品业私营工业企业负债合计,家具制造业私营工业企业负债合计,工艺品及其他制造业私营工业企业负债合计,废弃资源和废旧材料回收加工业私营工业企业负债合计,文教体育用品制造业私营工业企业负债合计,有色金属冶炼及压延加工业私营工业企业负债合计,有色金属矿采选业私营工业企业负债合计,木材加工及木、竹、藤、棕、草制品业私营工业企业负债合计,橡胶制品业私营工业企业负债合计,水的生产和供应业私营工业企业负债合计,烟草制品业私营工业企业负债合计,煤炭开采和洗选业私营工业企业负债合计,燃气生产和供应业私营工业企业负债合计,电力、热力的生产和供应业私营工业企业负债合计,电气机械及器材制造业私营工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业负债合计,石油加工、炼焦及核燃料加工业私营工业企业负债合计,石油和天然气开采业私营工业企业负债合计,私营工业企业负债合计,纺织业私营工业企业负债合计,纺织服装、鞋、帽制造业私营工业企业负债合计,通信设备、计算机及其他电子设备制造私营工业企业负债合计,通用设备制造业私营工业企业负债合计,造纸及纸制品业私营工业企业负债合计,金属制品业私营工业企业负债合计,非金属矿物制品业私营工业企业负债合计,非金属矿采选业私营工业企业负债合计,食品制造业私营工业企业负债合计,饮料制造业私营工业企业负债合计,黑色金属冶炼及压延加工业私营工业企业负债合计,黑色金属矿采选业私营工业企业负债合计
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,307.1956,417.05357,68.62822,0.06516,439.44066,597.09864,107.30347,177.22926,89.51877,287.94993,72.69291,95.02346,3.80332,73.41364,276.23944,22.63682,118.19932,68.51069,4.96923,1.4695,60.07224,4.60058,86.07886,579.27255,161.15613,157.47704,0.08338,8781.24,1014.5053,293.41013,186.80584,595.87205,261.62346,450.03012,724.50113,37.81823,166.46271,120.86401,598.57949,53.58804
2004年,498.64833,690.47265,109.88157,0.21169,688.31775,936.75909,234.35242,254.30714,167.79467,464.32447,119.98477,152.7343,14.35494,105.1696,427.39926,51.97345,206.28052,133.29402,14.20468,0.14067,134.6538,8.42359,133.42617,878.35347,204.46779,384.7603,1.54117,14529.31,1791.43453,400.53939,312.0669,998.28315,417.66923,695.97677,1222.29381,60.23405,229.83837,174.77512,1084.09788,125.87124
2005年,562.41824,857.97934,139.85744,0.23513,820.0529,1136.16334,292.88088,333.4889,200.44174,597.38036,150.90979,208.23703,18.40915,120.3824,574.25555,64.28501,223.26729,136.47103,16.25237,0.13594,205.59725,8.52646,191.47686,1076.62649,261.09482,476.82807,2.61764,18038.87,2103.61839,489.88653,376.85281,1265.78797,476.89539,849.70676,1474.16253,71.95918,310.573,226.58738,1528.40979,188.16078
2006年,746.12034,1113.85495,192.05191,0.17221,1083.03426,1599.54284,394.87345,444.95085,246.66151,794.61703,217.72032,267.78399,31.55711,142.58676,816.43259,123.43872,308.02847,201.91057,27.96189,0.21102,301.92359,15.49821,364.52051,1528.58247,345.1018,608.39871,4.90114,23946.79,2658.58255,605.24825,469.71987,1711.17268,613.9786,1197.69988,1784.5262,109.13405,382.22104,278.16714,1938.73251,275.17268
2007年,1031.57789,1640.01673,270.59859,0.70715,1380.82654,2101.56891,689.96721,535.74423,317.36998,1006.63467,289.29592,330.21215,59.24663,188.37589,1077.02319,192.79238,411.52786,240.83255,37.44318,0.62372,472.19404,29.06012,464.75546,1969.44621,414.33805,736.27603,6.41181,31120.19,3263.19212,723.20145,646.06827,2234.70846,710.99734,1626.49844,2258.4232,139.04875,483.65657,357.99243,2397.53702,384.00243
2008年,1590.12392,2599.37935,455.87859,0.663,1835.00493,2801.00328,573.28887,673.16765,461.33369,1354.22398,418.3502,455.16658,122.84374,232.58207,1452.19941,250.21476,618.86702,390.87206,64.64592,3.15492,828.22771,36.83102,655.1368,2777.10635,521.7437,1036.32491,21.22577,42825.3,3926.36922,1044.35323,906.54198,3319.63665,919.90425,2220.48888,3192.48627,216.52725,653.16142,518.56649,3005.71549,671.98509
2009年,1832.07753,3090.92106,536.98843,1.95978,2273.20058,3462.19338,634.70525,837.64666,517.45241,1485.61756,466.80859,544.98297,165.73311,253.41478,1753.79723,294.13424,670.54488,430.57563,77.35912,3.22799,1093.11016,54.93224,846.13239,3465.45313,581.74178,1292.97828,24.25687,50495.45,4567.27114,1166.98826,1122.65381,3663.12966,1032.99027,2583.79711,3787.11197,229.38001,716.06068,637.92936,3482.99708,813.19773
2010年,2329.12669,4268.6275,638.46896,3.77863,2735.40761,4455.45457,766.68161,917.54924,625.36145,1887.19779,609.29193,652.44556,220.10467,307.18376,2502.04433,367.83868,831.47238,569.0319,81.74279,3.2877,1624.53804,71.4522,1081.71659,4567.65524,706.98628,1686.09196,25.71248,64068.41,4969.29071,1382.59059,1490.54437,4973.99716,1241.86802,3188.38309,4686.65779,323.82409,951.71861,742.90275,4605.64709,974.73199
2011年,2643.72016,4349.82267,776.71833,3.36495,3025.67886,4969.37701,933.14599,987.48677,565.35827,1856.43938,639.89108,710.24426,315.31784,277.01373,2863.29197,381.92326,819.88432,657.56345,75.03607,5.0916,2072.94833,70.04509,866.39745,5260.27755,715.46371,2143.88594,24.88858,69744.77,4991.95365,1477.02976,1649.32909,4677.25367,1262.97711,3948.06393,5106.96086,285.41406,1008.83881,726.16047,5477.6721,1122.84401
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
