,专用设备制造业私营工业企业实收资本,交通运输设备制造业私营工业企业实收资本,仪器仪表及文化、办公用机械制造业私营工业企业实收资本,其他采矿业私营工业企业实收资本,农副食品加工业私营工业企业实收资本,化学原料及化学制品制造业私营工业企业实收资本,化学纤维制造业私营工业企业实收资本,医药制造业私营工业企业实收资本,印刷业和记录媒介的复制私营工业企业实收资本,塑料制品业私营工业企业实收资本,家具制造业私营工业企业实收资本,工艺品及其他制造业私营工业企业实收资本,废弃资源和废旧材料回收加工业私营工业企业实收资本,文教体育用品制造业私营工业企业实收资本,有色金属冶炼及压延加工业私营工业企业实收资本,有色金属矿采选业私营工业企业实收资本,木材加工及木、竹、藤、棕、草制品业私营工业企业实收资本,橡胶制品业私营工业企业实收资本,水的生产和供应业私营工业企业实收资本,烟草制品业私营工业企业实收资本,煤炭开采和洗选业私营工业企业实收资本,燃气生产和供应业私营工业企业实收资本,电力、热力的生产和供应业私营工业企业实收资本,电气机械及器材制造业私营工业企业实收资本,皮革、毛皮、羽毛(绒)及其制品业私营工业企业实收资本,石油加工、炼焦及核燃料加工业私营工业企业实收资本,石油和天然气开采业私营工业企业实收资本,私营工业企业实收资本,纺织业私营工业企业实收资本,纺织服装、鞋、帽制造业私营工业企业实收资本,通信设备、计算机及其他电子设备制造私营工业企业实收资本,通用设备制造业私营工业企业实收资本,造纸及纸制品业私营工业企业实收资本,金属制品业私营工业企业实收资本,非金属矿物制品业私营工业企业实收资本,非金属矿采选业私营工业企业实收资本,食品制造业私营工业企业实收资本,饮料制造业私营工业企业实收资本,黑色金属冶炼及压延加工业私营工业企业实收资本,黑色金属矿采选业私营工业企业实收资本
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,114.08696,130.85443,34.20189,0.1056,190.93839,227.12416,32.84882,87.58557,39.51827,128.28647,38.34172,42.69907,1.94879,30.26925,106.49738,14.39613,71.50988,29.40645,2.13028,0.0504,38.06715,2.14031,31.97735,193.34984,68.07387,61.84209,0.57,3483.66211,356.48601,127.8444,75.53754,212.11682,105.97233,172.7539,342.60874,22.96111,72.12076,65.10138,188.46914,22.86946
2004年,185.50282,217.18296,51.03612,0.129,314.6173,358.14167,67.51878,139.91412,72.0995,196.52801,65.83168,63.93376,4.32815,42.34117,149.6069,27.42858,113.15809,49.22634,5.47871,0.05478,81.61579,2.83857,51.7884,321.396,95.57945,122.51502,1.76319,5701.54,603.45749,150.82659,124.96852,376.02224,168.54924,275.64787,552.22383,33.7522,118.30809,88.40782,358.34132,49.48445
2005年,216.16291,284.97621,98.10145,0.115,399.56923,426.31809,86.00428,159.58544,83.02096,246.42342,81.80523,83.33031,6.22258,49.14684,189.55571,35.80111,134.18095,62.40199,8.98146,0.06778,125.26724,5.84572,74.31727,366.10083,107.66558,155.30681,3.04317,7115.71847,807.71538,188.98691,137.01239,472.90333,187.99384,335.03176,660.80318,46.09057,141.51215,104.21128,470.41153,73.72858
2006年,293.7612,344.52923,79.43026,0.2158,522.39998,606.2196,110.94767,221.07214,108.52585,299.02445,104.84778,108.44286,11.38146,56.27162,235.2944,61.98651,177.49965,80.26426,13.21388,0.07498,180.89658,6.62901,120.91521,528.30129,130.97388,210.52996,2.44159,9149.78,893.0691,243.72257,185.83181,627.73369,253.7566,428.02396,845.39106,63.05319,191.82875,141.32315,564.00118,95.9562
2007年,383.36031,458.03987,115.91224,1.00897,692.62312,823.96907,147.30299,268.51987,131.05878,377.67199,141.16579,124.80428,14.91634,68.13703,316.93183,81.76743,247.85601,105.12064,12.25888,1.2,263.60679,9.22811,152.58936,691.35737,159.416,200.974,5.31296,11680.93786,1068.09684,298.41125,248.48906,856.5605,273.96673,551.0123,1076.9588,83.87805,238.72464,194.19857,655.36642,139.16467
2008年,629.4565,697.93598,185.9257,1.32179,1012.75052,1208.10955,166.58285,346.12094,196.26928,550.92239,196.92157,185.02248,27.87125,88.3991,462.95656,139.99962,398.62204,148.17021,26.18512,2.64303,480.02196,16.00744,213.35379,1105.38572,214.01374,281.69643,11.71713,16883.01813,1355.34851,424.30632,356.03776,1224.52725,365.9792,816.62024,1542.85222,138.98783,333.24836,264.52195,825.81543,240.39037
2009年,751.19998,850.17434,242.2236,1.26137,1130.25198,1391.83506,185.38374,391.38631,213.31271,613.47341,226.11577,215.24161,42.60249,104.42269,547.45189,135.28724,417.76197,166.20208,27.70095,2.76503,521.32607,24.7202,290.36216,1402.7709,230.02957,434.14216,20.95393,19638.23404,1451.10505,457.53027,425.35074,1496.25731,460.59672,972.19988,1763.11011,161.91537,359.41866,306.23884,903.7455,300.40638
2010年,889.99479,1040.28314,252.59456,2.5428,1327.36111,1626.93608,190.69664,455.02455,245.16313,740.3536,270.49098,243.71299,58.61471,116.33376,679.14082,184.11729,474.54881,216.49617,29.99622,2.73503,651.98729,36.98064,349.14539,1800.31283,258.33939,412.40607,20.49582,23422.79196,1628.965,531.31901,605.62029,1912.69044,462.52931,1156.73562,2137.79315,200.0877,429.18867,357.61333,1112.27051,311.17432
2011年,1049.23761,1131.34928,264.28027,1.75724,1484.30768,1843.45496,244.84374,504.92656,188.6522,772.48913,283.06435,244.83106,77.29347,88.23669,738.01838,176.47116,496.41625,224.6582,21.61536,1.6185,699.92015,31.39462,258.79599,2046.57988,272.1431,448.74482,18.88035,25276.48958,1811.04017,629.58365,586.81775,1847.99078,485.43547,1268.67701,2222.78815,201.90581,522.24661,332.94531,1377.10841,375.96946
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
