,专用设备制造业私营工业企业应收帐款净额,交通运输设备制造业私营工业企业应收帐款净额,仪器仪表及文化、办公用机械制造业私营工业企业应收帐款净额,其他采矿业私营工业企业应收帐款净额,农副食品加工业私营工业企业应收帐款净额,化学原料及化学制品制造业私营工业企业应收帐款净额,化学纤维制造业私营工业企业应收帐款净额,医药制造业私营工业企业应收帐款净额,印刷业和记录媒介的复制私营工业企业应收帐款净额,塑料制品业私营工业企业应收帐款净额,家具制造业私营工业企业应收帐款净额,工艺品及其他制造业私营工业企业应收帐款净额,废弃资源和废旧材料回收加工业私营工业企业应收帐款净额,文教体育用品制造业私营工业企业应收帐款净额,有色金属冶炼及压延加工业私营工业企业应收帐款净额,有色金属矿采选业私营工业企业应收帐款净额,木材加工及木、竹、藤、棕、草制品业私营工业企业应收帐款净额,橡胶制品业私营工业企业应收帐款净额,水的生产和供应业私营工业企业应收帐款净额,烟草制品业私营工业企业应收帐款净额,煤炭开采和洗选业私营工业企业应收帐款净额,燃气生产和供应业私营工业企业应收帐款净额,电力、热力的生产和供应业私营工业企业应收帐款净额,电气机械及器材制造业私营工业企业应收帐款净额,皮革、毛皮、羽毛(绒)及其制品业私营工业企业应收帐款净额,石油加工、炼焦及核燃料加工业私营工业企业应收帐款净额,石油和天然气开采业私营工业企业应收帐款净额,私营工业企业应收帐款净额,纺织业私营工业企业应收帐款净额,纺织服装、鞋、帽制造业私营工业企业应收帐款净额,通信设备、计算机及其他电子设备制造私营工业企业应收帐款净额,通用设备制造业私营工业企业应收帐款净额,造纸及纸制品业私营工业企业应收帐款净额,金属制品业私营工业企业应收帐款净额,非金属矿物制品业私营工业企业应收帐款净额,非金属矿采选业私营工业企业应收帐款净额,食品制造业私营工业企业应收帐款净额,饮料制造业私营工业企业应收帐款净额,黑色金属冶炼及压延加工业私营工业企业应收帐款净额,黑色金属矿采选业私营工业企业应收帐款净额
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,87.66513,128.07296,29.19383,0.02926,71.72412,157.94146,11.09505,41.96367,29.87992,92.73674,18.16927,29.40925,1.22561,22.23288,59.38665,4.05501,26.79535,23.02754,0.88412,0.00281,12.16368,0.64097,6.2117,215.88123,46.83997,21.75952,0.01641,2152.81553,178.74159,80.24318,76.09685,199.45849,68.61526,131.53418,149.35202,11.3511,28.17911,19.12393,61.2089,9.90681
2004年,156.0198,208.98709,45.2428,0.0333,128.65957,241.13982,17.65051,53.55127,49.7113,149.03923,29.79609,46.53629,4.49318,34.82034,99.46701,11.04988,52.94745,44.10771,0.83874,0.00944,26.07678,0.69852,11.07492,347.38886,59.68482,50.84386,0.29975,3619.05,331.88048,99.33137,130.39875,350.57376,115.72142,212.15391,254.59479,15.9311,41.49426,27.12422,141.20945,28.46586
2005年,175.43289,245.87169,55.52653,0.0275,136.49699,289.38294,26.83948,68.95431,57.44676,181.95429,34.32152,61.0233,6.32394,35.78091,126.10927,15.97261,45.50155,43.40165,0.99561,0.00968,45.14067,0.90006,17.13465,427.08922,71.75258,71.59346,0.73544,4333.84824,375.88539,115.82072,152.91444,425.69536,127.88324,252.65929,304.97048,18.12151,52.49309,32.43885,192.8302,40.41617
2006年,233.93364,325.78384,78.29746,0.04644,182.49617,393.2744,39.12819,97.05097,71.51133,233.36367,48.31428,81.16309,10.05913,37.12536,178.26634,32.29891,61.17281,57.13098,0.9185,0.05185,64.54827,1.48261,30.79314,558.68416,103.86078,87.96675,1.33135,5737.66,504.65996,144.4974,183.93067,587.64681,160.08779,343.52991,391.74965,24.97485,62.24321,40.23701,225.4271,58.62569
2007年,336.26461,424.35268,103.75951,0.19784,240.58106,505.83386,62.31767,113.71483,89.93378,296.32928,60.17648,93.79244,15.14966,45.42163,236.91353,36.38766,83.35811,71.77374,1.58382,0.4287,94.45503,1.75361,29.31833,777.59171,123.02077,91.42173,2.23889,7500.20919,648.38666,183.37569,260.17931,763.25183,190.39616,458.80035,485.11853,30.45854,81.71429,56.39345,315.70705,88.35637
2008年,500.02591,625.68622,155.16903,0.22196,330.82615,654.70627,63.88851,148.85992,131.65549,415.51799,81.88473,124.52459,28.98385,50.52117,298.36719,42.47857,142.79367,115.40187,5.21605,0.51114,201.71479,3.80694,39.17255,1118.59416,154.65815,121.56609,5.71856,10375.75546,784.96859,257.44089,335.49021,1068.78829,239.66712,644.3736,711.65838,50.93849,115.86305,76.93311,362.74358,164.41863
2009年,576.01561,777.56475,197.34307,0.16442,377.69124,791.66468,72.23855,184.0609,139.32351,462.65747,98.69742,141.3245,31.97895,56.13041,347.41904,43.03088,132.58188,126.53384,5.75905,0.75591,186.52503,6.43479,43.78031,1359.96607,167.98768,139.67913,15.37117,11944.17718,851.86155,292.45178,435.57472,1210.87134,267.73238,744.65331,846.13462,51.77994,131.93302,84.87674,412.08357,131.54395
2010年,756.29759,1034.92124,223.48395,0.75824,468.71759,972.727,85.94407,220.93006,185.81057,582.55716,133.69744,168.94442,47.86284,67.39589,474.24133,54.22954,163.09435,165.50034,6.83903,0.69544,273.31081,8.47471,57.41211,1792.05693,214.08123,173.72795,10.50331,15137.66328,930.04111,343.36685,597.87973,1549.65459,322.08266,945.87366,1078.84489,62.23974,178.99993,101.10739,519.2373,164.12029
2011年,821.12351,1087.28459,259.45837,0.44818,533.42403,1073.75481,118.36527,239.69715,152.51066,546.74163,127.83495,172.99632,65.07242,64.1663,512.65878,55.84418,162.70961,176.52642,6.75421,0.45321,352.09101,8.58416,66.48411,2055.07057,226.82675,186.95202,6.67855,16244.407,958.26516,364.28299,627.62369,1498.90768,318.43607,928.64289,1258.52706,58.10581,190.98427,110.91986,664.16669,185.03306
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
