,专用设备制造业私营工业企业固定资产合计,交通运输设备制造业私营工业企业固定资产合计,仪器仪表及文化、办公用机械制造业私营工业企业固定资产合计,其他采矿业私营工业企业固定资产合计,农副食品加工业私营工业企业固定资产合计,化学原料及化学制品制造业私营工业企业固定资产合计,化学纤维制造业私营工业企业固定资产合计,医药制造业私营工业企业固定资产合计,印刷业和记录媒介的复制私营工业企业固定资产合计,塑料制品业私营工业企业固定资产合计,家具制造业私营工业企业固定资产合计,工艺品及其他制造业私营工业企业固定资产合计,废弃资源和废旧材料回收加工业私营工业企业固定资产合计,文教体育用品制造业私营工业企业固定资产合计,有色金属冶炼及压延加工业私营工业企业固定资产合计,有色金属矿采选业私营工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业私营工业企业固定资产合计,橡胶制品业私营工业企业固定资产合计,水的生产和供应业私营工业企业固定资产合计,烟草制品业私营工业企业固定资产合计,煤炭开采和洗选业私营工业企业固定资产合计,燃气生产和供应业私营工业企业固定资产合计,电力、热力的生产和供应业私营工业企业固定资产合计,电气机械及器材制造业私营工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业固定资产合计,石油加工、炼焦及核燃料加工业私营工业企业固定资产合计,石油和天然气开采业私营工业企业固定资产合计,私营工业企业固定资产合计,纺织业私营工业企业固定资产合计,纺织服装、鞋、帽制造业私营工业企业固定资产合计,通信设备、计算机及其他电子设备制造私营工业企业固定资产合计,通用设备制造业私营工业企业固定资产合计,造纸及纸制品业私营工业企业固定资产合计,金属制品业私营工业企业固定资产合计,非金属矿物制品业私营工业企业固定资产合计,非金属矿采选业私营工业企业固定资产合计,食品制造业私营工业企业固定资产合计,饮料制造业私营工业企业固定资产合计,黑色金属冶炼及压延加工业私营工业企业固定资产合计,黑色金属矿采选业私营工业企业固定资产合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,137.79002,183.87456,33.02795,0.11725,273.43911,351.2831,64.36759,111.37561,64.57979,174.05484,46.24044,54.39401,0.78324,38.49098,151.36829,19.22694,90.37914,43.52335,5.88044,1.20216,47.5347,3.69939,80.49728,230.35044,77.88391,104.02341,0.50061,5168.58958,692.11401,148.54528,75.23745,288.44565,171.49692,229.86763,583.96137,29.97546,111.84431,83.07284,332.92603,31.21408
2004年,221.38987,292.44015,42.09088,0.22916,442.79832,567.04575,144.73397,175.05897,120.77854,271.53534,74.75494,85.33096,4.53791,57.42376,198.90958,38.30588,149.93862,85.32934,13.70299,0.09535,110.71102,5.0242,125.88011,344.21405,109.27392,235.8389,2.22149,8366.25,1094.41734,187.60604,119.93618,477.13567,269.58213,330.93699,962.27913,45.19504,169.45943,128.5801,580.32303,81.20259
2005年,286.9381,383.1044,60.57698,0.18257,595.07141,677.58927,204.58987,243.46173,143.83178,365.18198,95.50038,113.81127,8.09262,67.7655,291.91164,50.98676,183.30106,93.0423,22.66631,0.07547,167.98176,7.77463,179.20941,442.59076,127.29456,312.90869,4.13849,10802.96158,1302.4633,241.26208,150.96083,639.1344,319.90898,428.98722,1148.68675,65.2227,228.16637,170.20372,842.73589,135.64964
2006年,383.06503,500.84573,82.24723,0.23896,782.73358,979.3932,263.23512,314.96993,176.86124,456.66801,134.04257,142.34474,14.29926,81.35471,361.11924,85.73998,249.46918,140.18823,31.00408,0.1838,257.48967,11.96975,335.97383,612.2463,169.16527,422.46816,4.95743,14269.78,1593.54584,315.33755,195.73153,878.0065,410.64545,587.37842,1428.19371,101.84622,303.28461,213.09839,1051.89274,196.54091
2007年,516.20768,710.88125,115.63001,1.12237,1056.36633,1320.40804,331.80742,391.38807,219.27243,585.38212,175.1072,169.01081,21.56416,99.37339,474.57129,129.61425,350.9022,170.87909,32.19798,3.00441,385.06514,22.48757,442.56854,778.23392,208.30162,477.64679,9.31792,18296.57427,1901.79721,379.17238,269.81129,1148.84098,481.38051,782.2008,1801.83708,129.87277,392.26218,291.16296,1255.50415,264.41996
2008年,873.55919,1165.49972,203.76887,1.52284,1647.12261,1919.47688,340.07703,529.99207,336.34298,856.57298,272.29208,250.084,44.3817,135.96104,827.60858,225.2657,615.82566,264.62115,48.71207,3.79098,654.8567,29.49396,615.00205,1241.80568,286.32133,640.45847,22.70533,27317.51348,2432.26232,632.99264,435.64046,1841.86603,662.28646,1170.04695,2674.84269,221.07422,579.10826,445.58434,1728.01986,440.6676
2009年,1103.95281,1466.58379,255.81163,2.52831,2107.06632,2507.14359,354.19503,654.80868,380.63316,1009.31408,326.71261,294.54363,65.82392,153.84223,949.59521,251.07693,702.316,297.7117,60.21312,3.85969,869.89552,43.26192,809.4637,1588.93758,339.249,806.12771,44.41049,33638.3719,2993.99071,704.4801,561.40042,2283.58777,775.22622,1425.89397,3313.6662,261.36462,684.33121,555.09112,2069.54152,560.71968
2010年,1426.27136,2068.71633,358.31239,4.96586,2647.15193,3210.46341,388.52199,725.48608,445.24055,1275.04297,399.70273,347.06126,102.13391,202.5472,1200.2737,334.42705,886.52955,399.06721,62.04928,4.25366,1108.48563,69.02161,1057.52611,2141.68169,407.72258,974.42777,41.25465,42278.52342,3078.69372,853.63809,765.38431,3235.54994,928.83303,1830.55611,4035.56091,346.7692,908.86021,654.04301,2669.43105,682.86538
2011年,1693.76837,2171.53117,390.38824,3.89776,2902.33837,3426.81,434.29646,815.63318,391.82435,1242.16174,444.51193,353.45977,173.47471,171.10437,1332.9832,327.75045,924.6542,490.94084,47.8363,1.7372,1244.65598,59.40047,801.49445,2369.01201,450.0184,1049.11548,34.92037,44644.16725,3095.89029,830.85042,825.28454,3044.85607,892.02986,2075.21236,4468.87605,344.93042,973.98961,697.26821,2819.30481,825.95484
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
