,专用设备制造业私营工业企业港澳台资本金,交通运输设备制造业私营工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业私营工业企业港澳台资本金,其他采矿业私营工业企业港澳台资本金,农副食品加工业私营工业企业港澳台资本金,化学原料及化学制品制造业私营工业企业港澳台资本金,化学纤维制造业私营工业企业港澳台资本金,医药制造业私营工业企业港澳台资本金,印刷业和记录媒介的复制私营工业企业港澳台资本金,塑料制品业私营工业企业港澳台资本金,家具制造业私营工业企业港澳台资本金,工艺品及其他制造业私营工业企业港澳台资本金,废弃资源和废旧材料回收加工业私营工业企业港澳台资本金,文教体育用品制造业私营工业企业港澳台资本金,有色金属冶炼及压延加工业私营工业企业港澳台资本金,有色金属矿采选业私营工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业港澳台资本金,橡胶制品业私营工业企业港澳台资本金,水的生产和供应业私营工业企业港澳台资本金,烟草制品业私营工业企业港澳台资本金,煤炭开采和洗选业私营工业企业港澳台资本金,燃气生产和供应业私营工业企业港澳台资本金,电力、热力的生产和供应业私营工业企业港澳台资本金,电气机械及器材制造业私营工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业港澳台资本金,石油加工、炼焦及核燃料加工业私营工业企业港澳台资本金,石油和天然气开采业私营工业企业港澳台资本金,私营工业企业港澳台资本金,纺织业私营工业企业港澳台资本金,纺织服装、鞋、帽制造业私营工业企业港澳台资本金,通信设备、计算机及其他电子设备制造私营工业企业港澳台资本金,通用设备制造业私营工业企业港澳台资本金,造纸及纸制品业私营工业企业港澳台资本金,金属制品业私营工业企业港澳台资本金,非金属矿物制品业私营工业企业港澳台资本金,非金属矿采选业私营工业企业港澳台资本金,食品制造业私营工业企业港澳台资本金,饮料制造业私营工业企业港澳台资本金,黑色金属冶炼及压延加工业私营工业企业港澳台资本金,黑色金属矿采选业私营工业企业港澳台资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.36366,0.72378,0.37612,0.0,1.01854,0.92411,0.22891,0.5893,0.93627,1.44537,1.05241,0.3447,0.0,0.71371,0.6316,0.01,0.18016,0.0145,0.0,0.0,0.0,0.0,0.0,1.47281,2.08401,0.2144,0.0196,32.24973,6.66957,4.11007,1.66893,0.91099,0.34647,2.31911,1.03675,0.0,0.82225,0.0762,0.94543,0.0
2004年,0.0964,0.46117,0.05,0.0,1.22753,0.8016,0.06,0.0,0.025,1.4569,0.16583,0.18337,0.0,0.04301,0.62078,0.0171,0.07492,0.006,0.0,0.0,0.07123,0.0,0.1218,0.21679,0.38294,0.0,0.0,16.38,2.28419,1.16494,0.126,0.5816,1.72809,2.03037,0.66981,0.0,0.62888,0.2097,0.86319,0.014
2005年,1.55144,1.95978,0.99335,0.0,3.23552,1.79837,0.45253,0.64143,0.27608,4.76841,0.75719,1.67725,0.0,0.06051,0.62993,0.0168,0.52491,0.62837,0.3,0.0,0.01615,0.0,0.29342,2.32577,0.82845,0.826,0.0,57.46576,5.21644,8.28581,6.66996,1.3626,0.23982,5.03645,1.83548,0.02059,0.78893,0.08467,3.1937,0.16965
2006年,0.71427,0.61783,0.0,0.0,1.4763,1.34044,0.92137,0.23793,0.40291,1.40308,0.07,1.82703,0.0,0.12986,0.62979,0.008,0.33269,0.43757,0.01,0.0,0.02068,0.24,0.81804,1.40021,0.91119,0.0,0.0,32.84,7.07087,2.77861,0.6776,1.24975,0.25945,1.46621,2.6785,0.63039,0.50746,0.0447,1.47959,0.05115
2007年,0.39486,1.55754,0.28789,0.0,3.62781,2.13519,1.42875,1.93921,0.42965,1.9972,0.2008,1.2641,0.0,0.12043,0.91176,0.04,0.26589,0.36754,0.0,0.0,0.11847,0.0,0.17145,1.11598,0.51618,0.05295,0.0,47.66026,6.55671,1.63232,1.24116,1.84281,1.06616,1.20344,3.5464,0.10174,5.54558,1.17281,3.75133,1.05615
2008年,0.64408,1.37345,0.43071,0.0,2.96775,4.5897,0.76725,3.64475,0.67103,1.97938,0.79492,2.22875,0.01728,0.53018,0.7901,0.38195,0.5944,0.16299,0.3577,0.0,0.4,0.0,0.8,8.23491,1.24574,0.8,0.0,67.24499,11.63899,3.73072,1.33255,4.20031,2.14988,1.13784,3.66925,0.06119,1.77781,0.4645,2.6032,0.07173
2009年,5.1863,3.36632,0.81234,0.0,1.95269,6.09619,1.53878,2.62965,1.99747,2.62456,1.55257,2.02339,0.40026,1.12444,6.38918,0.0,0.82177,0.60662,0.25,0.0,0.2648,0.2053,0.32618,8.61031,2.6725,0.16,0.4004,115.03346,11.6573,6.269,4.3373,5.3731,14.1944,8.53976,7.02615,0.3689,3.01281,1.46158,0.27355,0.50759
2010年,4.38549,6.65476,0.87241,0.0,1.79697,3.66508,1.22523,1.60826,0.70826,3.52748,4.43003,2.28814,0.41178,1.30004,6.0546,1.31,0.52657,1.80386,0.6395,0.0,1.84207,0.18892,0.87214,6.12574,1.90857,0.32863,0.0,126.01172,17.74313,4.37741,5.82783,4.45496,14.38899,9.39352,5.0812,0.9359,3.03745,0.40906,5.29371,0.59403
2011年,2.16742,6.02111,0.91807,0.00988,3.42633,3.72482,5.93359,1.69787,1.47406,2.6296,2.96395,1.16154,0.39798,0.09913,2.29754,0.0,1.35354,1.11007,0.72376,0.0,0.46543,0.09182,0.1495,9.0663,4.36288,0.22733,0.0,94.3832,10.80697,4.60128,5.94171,4.4302,0.44257,2.9184,7.36811,0.61018,2.05769,0.80058,1.70839,0.2236
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
