,专用设备制造业私营工业企业法人资本金,交通运输设备制造业私营工业企业法人资本金,仪器仪表及文化、办公用机械制造业私营工业企业法人资本金,其他采矿业私营工业企业法人资本金,农副食品加工业私营工业企业法人资本金,化学原料及化学制品制造业私营工业企业法人资本金,化学纤维制造业私营工业企业法人资本金,医药制造业私营工业企业法人资本金,印刷业和记录媒介的复制私营工业企业法人资本金,塑料制品业私营工业企业法人资本金,家具制造业私营工业企业法人资本金,工艺品及其他制造业私营工业企业法人资本金,废弃资源和废旧材料回收加工业私营工业企业法人资本金,文教体育用品制造业私营工业企业法人资本金,有色金属冶炼及压延加工业私营工业企业法人资本金,有色金属矿采选业私营工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业法人资本金,橡胶制品业私营工业企业法人资本金,水的生产和供应业私营工业企业法人资本金,烟草制品业私营工业企业法人资本金,煤炭开采和洗选业私营工业企业法人资本金,燃气生产和供应业私营工业企业法人资本金,电力、热力的生产和供应业私营工业企业法人资本金,电气机械及器材制造业私营工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业法人资本金,石油加工、炼焦及核燃料加工业私营工业企业法人资本金,石油和天然气开采业私营工业企业法人资本金,私营工业企业法人资本金,纺织业私营工业企业法人资本金,纺织服装、鞋、帽制造业私营工业企业法人资本金,通信设备、计算机及其他电子设备制造私营工业企业法人资本金,通用设备制造业私营工业企业法人资本金,造纸及纸制品业私营工业企业法人资本金,金属制品业私营工业企业法人资本金,非金属矿物制品业私营工业企业法人资本金,非金属矿采选业私营工业企业法人资本金,食品制造业私营工业企业法人资本金,饮料制造业私营工业企业法人资本金,黑色金属冶炼及压延加工业私营工业企业法人资本金,黑色金属矿采选业私营工业企业法人资本金
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,33.86862,36.65218,8.46966,0.0034,65.33482,66.19825,4.987,27.05631,13.15025,29.99334,11.55847,9.6487,0.38208,7.69191,42.31963,5.26383,21.35279,8.95303,1.2099,0.0004,13.54768,1.0523,10.10245,50.1085,13.65714,19.91304,0.0772,971.07078,82.20825,27.38508,18.82555,42.04711,23.37932,40.63096,107.01988,8.94778,18.90632,23.75843,66.14908,9.26014
2004年,44.44199,53.45302,13.12384,0.0,91.13614,93.79323,13.87987,47.39373,16.59532,45.19342,23.14167,15.97955,0.78163,8.84672,40.51176,6.13158,33.45691,12.81653,2.77808,0.0,19.38055,0.85032,21.45619,76.20517,17.45044,42.5474,0.1768,1449.65,125.56915,32.27226,36.58408,88.52205,43.74432,69.26547,144.17034,9.98895,37.05612,27.04708,82.79322,11.11263
2005年,53.50688,93.02383,16.79279,0.0,133.63295,129.00154,27.99399,57.55139,20.87897,58.23763,24.34904,20.52385,1.37882,11.26802,57.4772,12.44248,42.1135,16.00721,3.97159,0.0,40.76069,1.18069,33.8652,93.99134,24.70583,58.23065,1.0953,2094.10908,267.1395,44.34496,33.12553,104.56283,58.20822,86.10677,194.41066,15.9324,52.94047,35.26113,145.01617,23.07906
2006年,71.01583,93.25583,17.84412,0.05,171.72733,190.60579,37.03089,79.85168,32.44871,78.8161,28.74694,26.69286,3.31869,12.13006,64.74906,18.18796,49.90574,24.29145,8.40306,0.0,44.1914,2.6875,51.55379,132.75812,27.25003,78.89273,0.99755,2593.53,194.77648,64.27575,53.97883,150.82374,70.62025,112.26241,250.08494,22.47331,66.50269,49.01943,185.3909,25.91816
2007年,106.38837,140.34057,19.05671,0.58332,243.37847,286.85157,62.89307,101.60888,40.42144,105.2019,47.26405,37.42258,5.60068,17.94178,115.91642,32.89432,81.22412,34.28434,5.10408,1.2,71.32599,4.68952,67.62711,184.23478,45.50611,68.45836,0.74455,3628.81827,292.10723,83.44416,84.69921,231.07736,84.48596,162.89758,342.61893,27.36897,89.17071,60.20423,201.55389,41.02695
2008年,176.96884,226.27758,44.72556,0.5745,339.35687,408.90392,36.3916,129.30102,59.14817,159.06038,68.95976,50.83659,8.60815,29.02956,152.76004,49.78111,116.92822,41.4226,11.29796,2.312,159.55432,8.3896,93.5693,305.8451,53.70502,85.31876,5.01305,5244.43513,383.05991,128.61995,113.39105,357.07872,119.76931,238.5791,488.53787,39.74895,118.72379,92.08489,256.89094,83.91107
2009年,225.10614,302.17351,66.61285,0.0946,409.5893,510.61641,72.51886,153.77238,67.61321,194.91838,84.874,71.48654,13.64069,38.91858,166.63076,42.30374,128.88629,47.66391,9.58547,2.3805,189.98684,14.84537,127.83396,417.07689,69.95016,127.3811,6.75673,6485.99022,420.60702,140.91777,139.64513,431.8249,161.26853,321.83793,630.94745,49.32731,133.12603,113.2733,272.88877,107.10891
2010年,282.82293,406.14036,82.57777,0.3526,488.51746,622.52111,76.36351,185.84176,85.76565,254.57092,102.66404,87.64644,21.06312,40.14443,273.26743,75.65081,167.75436,60.14144,12.86667,2.3835,230.92209,22.22739,169.64358,565.25391,78.31946,181.52384,5.69758,8317.3829,497.55186,170.15312,223.39728,688.62639,155.30242,383.43668,812.23151,66.44283,170.09804,156.86913,300.41576,110.21372
2011年,434.78761,437.26155,75.6842,0.08438,599.41909,734.48402,96.67869,191.50909,54.534,261.99575,98.97652,92.63131,33.19258,29.89995,323.07788,63.75354,177.73234,57.08526,11.16441,0.0,281.13146,18.96115,153.23821,614.43382,99.31917,211.49677,7.70505,9328.49547,654.17627,159.02844,242.56008,631.27258,164.05883,385.68337,849.26798,67.53456,240.04338,138.5144,515.78274,120.33504
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
