,专用设备制造业私营工业企业管理费用,交通运输设备制造业私营工业企业管理费用,仪器仪表及文化、办公用机械制造业私营工业企业管理费用,其他采矿业私营工业企业管理费用,农副食品加工业私营工业企业管理费用,化学原料及化学制品制造业私营工业企业管理费用,化学纤维制造业私营工业企业管理费用,医药制造业私营工业企业管理费用,印刷业和记录媒介的复制私营工业企业管理费用,塑料制品业私营工业企业管理费用,家具制造业私营工业企业管理费用,工艺品及其他制造业私营工业企业管理费用,废弃资源和废旧材料回收加工业私营工业企业管理费用,文教体育用品制造业私营工业企业管理费用,有色金属冶炼及压延加工业私营工业企业管理费用,有色金属矿采选业私营工业企业管理费用,木材加工及木、竹、藤、棕、草制品业私营工业企业管理费用,橡胶制品业私营工业企业管理费用,水的生产和供应业私营工业企业管理费用,烟草制品业私营工业企业管理费用,煤炭开采和洗选业私营工业企业管理费用,燃气生产和供应业私营工业企业管理费用,电力、热力的生产和供应业私营工业企业管理费用,电气机械及器材制造业私营工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业私营工业企业管理费用,石油加工、炼焦及核燃料加工业私营工业企业管理费用,石油和天然气开采业私营工业企业管理费用,私营工业企业管理费用,纺织业私营工业企业管理费用,纺织服装、鞋、帽制造业私营工业企业管理费用,通信设备、计算机及其他电子设备制造私营工业企业管理费用,通用设备制造业私营工业企业管理费用,造纸及纸制品业私营工业企业管理费用,金属制品业私营工业企业管理费用,非金属矿物制品业私营工业企业管理费用,非金属矿采选业私营工业企业管理费用,食品制造业私营工业企业管理费用,饮料制造业私营工业企业管理费用,黑色金属冶炼及压延加工业私营工业企业管理费用,黑色金属矿采选业私营工业企业管理费用
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,31.09255,34.4775,9.28182,0.01428,31.35163,54.38661,5.03187,17.42851,8.31148,23.93737,7.56995,9.5167,0.29552,8.59096,13.26808,2.55338,9.41534,6.44991,0.31707,0.0,6.2922,0.26216,2.9276,51.00402,16.14714,7.28526,0.00688,690.3267,58.25135,33.11743,22.13846,55.44267,16.20876,37.27301,56.38821,4.56113,13.83646,7.93587,23.02187,4.93569
2004年,54.10567,59.04923,17.22065,0.0253,53.5635,86.35244,8.0129,25.72687,14.35854,39.71629,13.19307,16.63451,1.24826,12.93106,23.68755,6.43747,15.93362,13.64988,0.90245,0.00128,20.23711,0.62027,3.85891,84.04599,23.2352,17.41514,0.07768,1214.94,105.7548,45.83183,40.81354,102.98279,27.55312,61.96062,99.61769,8.69736,19.84338,25.87339,47.38389,16.38477
2005年,61.49977,69.82185,21.50409,0.05098,67.34416,104.89533,9.41039,33.94393,16.76227,49.7088,17.26745,20.55276,2.41393,15.43144,30.84863,9.85753,19.95435,13.77256,1.25667,0.00812,29.15281,0.87292,5.21011,102.19115,26.92104,21.0409,0.114,1469.71381,125.09711,58.97151,46.93323,130.47335,32.437,77.39191,108.93866,10.71885,25.72619,16.04168,62.6033,22.57308
2006年,82.17837,94.81162,29.41546,0.06366,89.7325,136.66348,12.9597,46.27581,21.05246,65.78289,27.48949,28.79737,2.70251,17.41223,44.23357,18.5718,29.51893,17.85525,1.69073,0.01738,45.86533,1.31002,10.07806,137.1603,39.97121,25.08496,0.35068,1971.98,160.81789,76.81602,59.58487,174.37258,41.97931,106.37413,145.62598,18.16529,35.2784,22.53001,74.56937,28.8172
2007年,117.37718,130.58717,38.36348,0.13198,136.66626,191.95996,17.59294,61.29295,26.74,90.14424,38.74134,36.16577,5.73563,22.8397,62.8013,28.37491,48.73127,25.51634,2.01443,0.01617,73.57061,1.39899,13.11529,192.29232,53.37256,38.30661,0.87395,2734.12494,210.37219,96.67629,80.26499,241.72867,53.78121,148.00675,199.26356,22.22824,49.79878,32.4442,100.98519,43.85152
2008年,185.80816,206.36537,60.76197,0.21944,204.70015,303.24435,31.0314,86.40575,43.32482,133.52179,54.13549,50.20842,10.67109,28.506,108.85488,33.17833,79.78336,39.18913,3.20037,0.1962,137.92374,3.50785,15.79522,296.83058,75.82705,55.56959,1.77723,4135.59893,266.02729,144.52929,120.43738,367.52749,77.10984,221.93088,305.51344,34.09865,74.12504,47.58376,147.1499,79.02824
2009年,229.59853,262.13539,76.16989,0.30638,279.3501,356.00672,25.71044,111.42631,50.62004,157.63736,63.13172,59.9395,12.75807,33.78427,122.60327,34.31889,95.20955,47.45672,3.99779,0.12497,168.81648,4.28257,22.2262,360.13313,83.15107,59.8799,3.34072,4941.54177,306.88739,166.08507,154.36403,437.50661,88.83242,253.82764,372.63321,47.64053,91.64682,61.55813,163.37603,73.06791
2010年,329.60536,391.8247,94.24176,0.86741,457.72248,524.69576,29.53974,156.87745,67.35461,221.84494,91.12712,78.93951,20.94364,47.88735,210.54406,56.44762,159.17328,78.1065,5.66423,0.15967,260.35881,6.86393,32.73113,514.91891,107.62523,84.25972,4.78514,7179.90209,399.38958,213.01899,204.21449,630.64715,132.54625,352.10386,534.50696,77.15186,148.09202,97.19916,243.76713,112.15458
2011年,427.96195,406.68055,106.35029,0.42766,486.84459,558.30554,41.28087,172.17439,62.48741,232.76455,94.6011,77.67906,27.31016,41.86162,246.86599,63.7669,173.30471,78.3089,4.90625,0.24012,296.88209,9.48977,25.76451,567.3733,125.12549,96.31588,3.02196,7751.17638,408.93008,206.82126,229.37177,635.97191,132.35734,404.07304,579.77801,82.47147,161.74227,106.19921,256.68567,118.67874
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
