,专用设备制造业大中型工业企业工业销售产值(现价),仪器仪表制造业大中型工业企业工业销售产值(现价),其他制造业大中型工业企业工业销售产值(现价),其他采矿业大中型工业企业工业销售产值(现价),农副食品加工业大中型工业企业工业销售产值(现价),化学原料和化学制品制造业大中型工业企业工业销售产值(现价),化学纤维制造业大中型工业企业工业销售产值(现价),医药制造业大中型工业企业工业销售产值(现价),印刷和记录媒介复制业大中型工业企业工业销售产值(现价),大中型工业企业工业销售产值(现价),家具制造业大中型工业企业工业销售产值(现价),废弃资源综合利用业大中型工业企业工业销售产值(现价),开采辅助活动大中型工业企业工业销售产值(现价),文教、工美、体育和娱乐用品制造业大中型工业企业工业销售产值(现价),有色金属冶炼和压延加工业大中型工业企业工业销售产值(现价),有色金属矿采选业大中型工业企业工业销售产值(现价),木材加工和木、竹、藤、棕、草制品业大中型工业企业工业销售产值(现价),橡胶和塑料制品业大中型工业企业工业销售产值(现价),水的生产和供应业大中型工业企业工业销售产值(现价),汽车制造业大中型工业企业工业销售产值(现价),烟草制品业大中型工业企业工业销售产值(现价),煤炭开采和洗选业大中型工业企业工业销售产值(现价),燃气生产和供应业大中型工业企业工业销售产值(现价),电力、热力生产和供应业大中型工业企业工业销售产值(现价),电气机械和器材制造业大中型工业企业工业销售产值(现价),皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业工业销售产值(现价),石油加工、炼焦和核燃料加工业大中型工业企业工业销售产值(现价),石油和天然气开采业大中型工业企业工业销售产值(现价),纺织业大中型工业企业工业销售产值(现价),纺织服装、服饰业大中型工业企业工业销售产值(现价),计算机、通信和其他电子设备制造业大中型工业企业工业销售产值(现价),通用设备制造业大中型工业企业工业销售产值(现价),造纸和纸制品业大中型工业企业工业销售产值(现价),酒、饮料和精制茶制造业大中型工业企业工业销售产值(现价),金属制品、机械和设备修理业大中型工业企业工业销售产值(现价),金属制品业大中型工业企业工业销售产值(现价),铁路、船舶、航空航天和其他运输设备大中型工业企业工业销售产值(现价),非金属矿物制品业大中型工业企业工业销售产值(现价),非金属矿采选业大中型工业企业工业销售产值(现价),食品制造业大中型工业企业工业销售产值(现价),黑色金属冶炼和压延加工业大中型工业企业工业销售产值(现价),黑色金属矿采选业大中型工业企业工业销售产值(现价)
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,15602.47945,3845.17628,1155.20913,7.85489,22680.55039,36211.81551,4905.56021,10601.86084,1723.52828,585552.24083,2749.47087,933.09293,1137.03617,5488.84398,23920.56764,2715.60017,2683.04582,11246.52819,720.5624,40142.51006,7486.73475,21697.50567,1645.61693,43724.36088,34828.94755,6936.17406,34571.3118,11409.74894,17207.53068,9816.29632,61916.21963,19775.76704,6689.94517,8500.44017,589.69196,12727.76275,12478.85611,17410.4937,1098.0745,9395.03585,53589.95564,3584.47752
2013年,17372.88,4292.02,1255.44,6.16,26744.52,41828.59,5014.86,12590.46,2238.16,645924.03,3264.3,1000.1,1645.88,6621.11,27362.36,2969.95,3412.97,12957.99,797.7,46779.91,8161.22,20377.77,1778.76,46728.74,39625.72,7633.13,35314.35,11065.54,19538.06,10972.84,67259.21,22328.51,6832.47,9474.05,617.83,14441.25,12387.4,20494.8,1271.23,10956.83,56464.49,4044.49
2014年,18119.93,4807.97,1412.58,6.37,27745.08,45470.21,5000.55,14917.31,2509.41,685975.78,3585.48,1184.3,1582.43,7295.39,30167.92,3263.36,3905.69,14169.61,870.88,52844.36,8581.3,18431.39,2168.12,44130.67,43357.07,8305.86,36220.29,11381.05,20819.68,11911.58,75130.16,23629.14,7350.8,10120.16,542.14,15852.31,14185.27,22374.06,1305.83,11892.69,55314.39,4112.99
