,专用设备制造业大中型工业企业港澳台资本金,仪器仪表制造业大中型工业企业港澳台资本金,其他制造业大中型工业企业港澳台资本金,其他采矿业大中型工业企业港澳台资本金,农副食品加工业大中型工业企业港澳台资本金,化学原料和化学制品制造业大中型工业企业港澳台资本金,化学纤维制造业大中型工业企业港澳台资本金,医药制造业大中型工业企业港澳台资本金,印刷和记录媒介复制业大中型工业企业港澳台资本金,大中型工业企业港澳台资本金,家具制造业大中型工业企业港澳台资本金,废弃资源综合利用业大中型工业企业港澳台资本金,开采辅助活动大中型工业企业港澳台资本金,文教、工美、体育和娱乐用品制造业大中型工业企业港澳台资本金,有色金属冶炼和压延加工业大中型工业企业港澳台资本金,有色金属矿采选业大中型工业企业港澳台资本金,木材加工和木、竹、藤、棕、草制品业大中型工业企业港澳台资本金,橡胶和塑料制品业大中型工业企业港澳台资本金,水的生产和供应业大中型工业企业港澳台资本金,汽车制造业大中型工业企业港澳台资本金,烟草制品业大中型工业企业港澳台资本金,煤炭开采和洗选业大中型工业企业港澳台资本金,燃气生产和供应业大中型工业企业港澳台资本金,电力、热力生产和供应业大中型工业企业港澳台资本金,电气机械和器材制造业大中型工业企业港澳台资本金,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业港澳台资本金,石油加工、炼焦和核燃料加工业大中型工业企业港澳台资本金,石油和天然气开采业大中型工业企业港澳台资本金,纺织业大中型工业企业港澳台资本金,纺织服装、服饰业大中型工业企业港澳台资本金,计算机、通信和其他电子设备制造业大中型工业企业港澳台资本金,通用设备制造业大中型工业企业港澳台资本金,造纸和纸制品业大中型工业企业港澳台资本金,酒、饮料和精制茶制造业大中型工业企业港澳台资本金,金属制品、机械和设备修理业大中型工业企业港澳台资本金,金属制品业大中型工业企业港澳台资本金,铁路、船舶、航空航天和其他运输设备大中型工业企业港澳台资本金,非金属矿物制品业大中型工业企业港澳台资本金,非金属矿采选业大中型工业企业港澳台资本金,食品制造业大中型工业企业港澳台资本金,黑色金属冶炼和压延加工业大中型工业企业港澳台资本金,黑色金属矿采选业大中型工业企业港澳台资本金
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,238.36465,76.63144,34.57489,,152.23963,488.84064,145.90479,149.16545,102.99892,8115.07681,92.21278,4.55481,9.46657,186.94788,195.57485,4.29634,12.76993,298.92472,37.07782,211.17532,,12.64262,53.64554,198.16383,558.55447,235.41704,55.53864,,402.99933,306.83537,1976.17811,184.93209,272.89443,161.16947,7.96381,288.14054,120.3108,459.87089,1.47102,164.08539,208.1246,4.41739
2013年,256.85,86.33,50.06,0.0,156.34,568.9,215.97,168.99,103.87,8559.71,85.51,5.98,9.47,202.84,268.21,8.62,40.93,333.88,47.39,252.06,0.0,40.63,63.58,302.97,533.43,234.97,66.24,0.0,384.85,313.27,1919.51,196.07,300.26,152.85,6.7,272.54,109.29,411.51,0.02,179.0,205.99,3.8
2014年,267.41,89.47,23.76,0.0,120.38,591.51,167.83,167.5,107.34,8557.82,78.28,6.13,10.7,184.81,291.0,7.65,24.42,324.96,36.42,247.94,0.0,8.12,105.31,254.18,591.36,219.77,107.31,0.0,374.82,335.21,1987.93,215.71,194.5,160.93,10.46,302.67,55.62,446.33,1.02,204.22,231.02,3.8
