,专用设备制造业大中型工业企业主营业务成本,仪器仪表制造业大中型工业企业主营业务成本,其他制造业大中型工业企业主营业务成本,其他采矿业大中型工业企业主营业务成本,农副食品加工业大中型工业企业主营业务成本,化学原料和化学制品制造业大中型工业企业主营业务成本,化学纤维制造业大中型工业企业主营业务成本,医药制造业大中型工业企业主营业务成本,印刷和记录媒介复制业大中型工业企业主营业务成本,大中型工业企业主营业务成本,家具制造业大中型工业企业主营业务成本,废弃资源综合利用业大中型工业企业主营业务成本,开采辅助活动大中型工业企业主营业务成本,文教、工美、体育和娱乐用品制造业大中型工业企业主营业务成本,有色金属冶炼和压延加工业大中型工业企业主营业务成本,有色金属矿采选业大中型工业企业主营业务成本,木材加工和木、竹、藤、棕、草制品业大中型工业企业主营业务成本,橡胶和塑料制品业大中型工业企业主营业务成本,水的生产和供应业大中型工业企业主营业务成本,汽车制造业大中型工业企业主营业务成本,烟草制品业大中型工业企业主营业务成本,煤炭开采和洗选业大中型工业企业主营业务成本,燃气生产和供应业大中型工业企业主营业务成本,电力、热力生产和供应业大中型工业企业主营业务成本,电气机械和器材制造业大中型工业企业主营业务成本,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业主营业务成本,石油加工、炼焦和核燃料加工业大中型工业企业主营业务成本,石油和天然气开采业大中型工业企业主营业务成本,纺织业大中型工业企业主营业务成本,纺织服装、服饰业大中型工业企业主营业务成本,计算机、通信和其他电子设备制造业大中型工业企业主营业务成本,通用设备制造业大中型工业企业主营业务成本,造纸和纸制品业大中型工业企业主营业务成本,酒、饮料和精制茶制造业大中型工业企业主营业务成本,金属制品、机械和设备修理业大中型工业企业主营业务成本,金属制品业大中型工业企业主营业务成本,铁路、船舶、航空航天和其他运输设备大中型工业企业主营业务成本,非金属矿物制品业大中型工业企业主营业务成本,非金属矿采选业大中型工业企业主营业务成本,食品制造业大中型工业企业主营业务成本,黑色金属冶炼和压延加工业大中型工业企业主营业务成本,黑色金属矿采选业大中型工业企业主营业务成本
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,13071.06395,3073.5195,997.47262,5.5484,20382.92661,31814.47239,4607.75384,7260.03382,1392.98906,506603.97,2286.4425,840.60831,1228.49858,4873.6176,25069.66766,2078.00475,2264.40115,9553.89541,558.82098,34428.37324,1869.8243,19115.85305,1418.692,40146.95457,29484.58364,5891.45111,30586.0299,4733.27718,15383.90626,8079.57612,56040.80293,16538.27148,5671.14529,5933.83856,479.62472,10861.87159,10418.91272,14357.37853,814.61735,7208.66298,52786.46728,2994.11309
2013年,14628.91,3429.26,1066.14,4.6,24143.62,36520.21,4683.31,8645.7,1797.55,561075.77,2716.79,918.09,1761.69,5899.16,29406.02,2445.51,2900.15,10935.32,632.68,39562.56,2007.03,19169.63,1547.35,42037.76,33515.09,6540.06,31219.32,5381.8,17689.71,9145.95,60811.27,18803.83,5768.56,6638.88,502.09,12405.98,10321.65,16910.51,975.42,8682.46,55591.29,3312.83
2014年,15092.31,3875.05,1176.08,4.95,24925.25,39791.43,4548.32,10142.39,2013.45,595485.72,2922.26,1092.67,1750.62,6580.41,32364.8,2659.77,3283.29,11990.93,697.24,44682.17,2232.16,18883.87,1944.75,40664.1,36731.91,7098.46,31914.68,5483.0,18997.77,9985.27,66643.45,19677.09,6246.56,7183.82,458.64,13556.55,11902.47,18470.14,995.02,9603.92,53901.38,3317.31
