,专用设备制造业大中型工业企业营业利润,仪器仪表制造业大中型工业企业营业利润,其他制造业大中型工业企业营业利润,其他采矿业大中型工业企业营业利润,农副食品加工业大中型工业企业营业利润,化学原料和化学制品制造业大中型工业企业营业利润,化学纤维制造业大中型工业企业营业利润,医药制造业大中型工业企业营业利润,印刷和记录媒介复制业大中型工业企业营业利润,大中型工业企业营业利润,家具制造业大中型工业企业营业利润,废弃资源综合利用业大中型工业企业营业利润,开采辅助活动大中型工业企业营业利润,文教、工美、体育和娱乐用品制造业大中型工业企业营业利润,有色金属冶炼和压延加工业大中型工业企业营业利润,有色金属矿采选业大中型工业企业营业利润,木材加工和木、竹、藤、棕、草制品业大中型工业企业营业利润,橡胶和塑料制品业大中型工业企业营业利润,水的生产和供应业大中型工业企业营业利润,汽车制造业大中型工业企业营业利润,烟草制品业大中型工业企业营业利润,煤炭开采和洗选业大中型工业企业营业利润,燃气生产和供应业大中型工业企业营业利润,电力、热力生产和供应业大中型工业企业营业利润,电气机械和器材制造业大中型工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业营业利润,石油加工、炼焦和核燃料加工业大中型工业企业营业利润,石油和天然气开采业大中型工业企业营业利润,纺织业大中型工业企业营业利润,纺织服装、服饰业大中型工业企业营业利润,计算机、通信和其他电子设备制造业大中型工业企业营业利润,通用设备制造业大中型工业企业营业利润,造纸和纸制品业大中型工业企业营业利润,酒、饮料和精制茶制造业大中型工业企业营业利润,金属制品、机械和设备修理业大中型工业企业营业利润,金属制品业大中型工业企业营业利润,铁路、船舶、航空航天和其他运输设备大中型工业企业营业利润,非金属矿物制品业大中型工业企业营业利润,非金属矿采选业大中型工业企业营业利润,食品制造业大中型工业企业营业利润,黑色金属冶炼和压延加工业大中型工业企业营业利润,黑色金属矿采选业大中型工业企业营业利润
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1174.034,340.35848,68.62586,1.16219,1552.40972,2131.03225,166.48175,1272.87102,174.21539,40294.64356,192.73891,82.69243,-24.79178,318.23742,1316.07895,453.49659,201.50606,747.43951,-5.66092,3556.91887,1025.16434,2990.82946,161.48665,1850.58988,2319.32477,573.79632,106.92914,4040.51996,1026.86865,735.48885,2726.93213,1497.60653,382.85872,1193.2233,24.62724,972.70701,659.46692,1453.56546,103.78916,960.18579,1109.44052,659.39606
2013年,1228.22,386.41,72.21,0.55,1589.87,2229.19,180.65,1435.61,211.18,43636.37,216.7,69.73,-63.04,384.2,1292.22,344.87,244.01,955.14,22.37,4315.2,1173.08,2034.03,183.18,2845.71,2637.58,599.09,403.74,3639.36,1211.02,810.77,2973.0,1622.71,409.16,1257.9,22.14,1067.73,650.34,1692.8,119.35,1106.83,1412.06,649.49
2014年,1111.02,438.16,80.78,0.63,1529.43,2210.82,182.16,1677.76,232.21,43199.12,242.92,86.02,-0.58,403.15,1296.41,308.09,246.62,962.47,33.9,5124.85,1162.98,922.73,179.24,2765.31,2907.01,648.36,-89.49,3086.59,1239.06,854.07,3507.95,1647.42,363.63,1200.37,11.73,1007.38,791.51,1724.99,111.14,1187.0,1258.45,544.84
