,专用设备制造业大中型工业企业营业利润,仪器仪表制造业大中型工业企业营业利润,其他制造业大中型工业企业营业利润,其他采矿业大中型工业企业营业利润,农副食品加工业大中型工业企业营业利润,化学原料和化学制品制造业大中型工业企业营业利润,化学纤维制造业大中型工业企业营业利润,医药制造业大中型工业企业营业利润,印刷和记录媒介复制业大中型工业企业营业利润,大中型工业企业营业利润,家具制造业大中型工业企业营业利润,废弃资源综合利用业大中型工业企业营业利润,开采辅助活动大中型工业企业营业利润,文教、工美、体育和娱乐用品制造业大中型工业企业营业利润,有色金属冶炼和压延加工业大中型工业企业营业利润,有色金属矿采选业大中型工业企业营业利润,木材加工和木、竹、藤、棕、草制品业大中型工业企业营业利润,橡胶和塑料制品业大中型工业企业营业利润,水的生产和供应业大中型工业企业营业利润,汽车制造业大中型工业企业营业利润,烟草制品业大中型工业企业营业利润,煤炭开采和洗选业大中型工业企业营业利润,燃气生产和供应业大中型工业企业营业利润,电力、热力生产和供应业大中型工业企业营业利润,电气机械和器材制造业大中型工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业大中型工业企业营业利润,石油加工、炼焦和核燃料加工业大中型工业企业营业利润,石油和天然气开采业大中型工业企业营业利润,纺织业大中型工业企业营业利润,纺织服装、服饰业大中型工业企业营业利润,计算机、通信和其他电子设备制造业大中型工业企业营业利润,通用设备制造业大中型工业企业营业利润,造纸和纸制品业大中型工业企业营业利润,酒、饮料和精制茶制造业大中型工业企业营业利润,金属制品、机械和设备修理业大中型工业企业营业利润,金属制品业大中型工业企业营业利润,铁路、船舶、航空航天和其他运输设备大中型工业企业营业利润,非金属矿物制品业大中型工业企业营业利润,非金属矿采选业大中型工业企业营业利润,食品制造业大中型工业企业营业利润,黑色金属冶炼和压延加工业大中型工业企业营业利润,黑色金属矿采选业大中型工业企业营业利润
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
