,金融交易资金运用_中央银行贷款,金融交易资金运用_保险准备金,金融交易资金运用_其他(净),金融交易资金运用_其他对外债权债务,金融交易资金运用_净金融投资,金融交易资金运用_准备金,金融交易资金运用_国际储备资产,金融交易资金运用_国际收支错误与遗漏,金融交易资金运用_存款,金融交易资金运用_库存现金,金融交易资金运用_未贴现的银行承兑汇票,金融交易资金运用_直接投资,金融交易资金运用_证券,金融交易资金运用_证券公司客户保证金,金融交易资金运用_证券投资基金份额,金融交易资金运用_贷款,金融交易资金运用_资金来源,金融交易资金运用_资金运用,金融交易资金运用_通货,金融交易资金运用_金融机构往来
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,71.8,-1264.0,0.0,0.0,0.0,-117.0,-456.2,5964.7,0.0,0.0,0.0,1152.9,0.0,0.0,5695.0,0.0,15410.4,1162.1,0.0
1993年,2917.12,87.93,-539.66,0.0,0.0,1574.52,101.83,-564.91,6478.43,221.76,0.0,0.0,637.82,0.0,0.0,7573.55,0.0,24341.87,1528.7,52.6
1994年,859.29,125.22,-170.99,0.0,0.0,2062.28,2631.01,-842.41,11776.92,29.03,0.0,0.0,1616.29,0.0,0.0,9174.66,0.0,35902.85,1424.0,26.15
1995年,888.58,137.84,-2146.35,0.0,0.0,2280.02,1877.41,-1487.34,13414.0,61.06,0.0,0.0,2062.45,0.0,0.0,9946.4,0.0,36401.72,596.74,-37.67
1996年,3817.06,197.03,-1416.35,0.0,0.0,3670.19,2631.52,-1293.6,16720.53,-38.87,0.0,0.0,2714.17,0.0,0.0,15130.59,0.0,52115.47,916.67,-506.27
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,-1976.51,312.38,761.74,3093.56,0.0,-1742.94,532.01,-1372.35,14120.99,64.22,0.0,3840.32,7415.21,0.0,0.0,11104.92,0.0,37550.33,1026.54,790.0
1999年,418.86,598.8,-1188.52,4121.0,0.0,241.22,704.0,-1361.09,12342.33,884.15,0.0,3355.0,5479.4,0.0,0.0,10973.02,0.0,41169.25,2251.34,1965.8
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,288.24,1219.88,1025.33,778.41,0.0,2082.65,3917.01,-450.16,19350.81,-52.13,0.0,4231.65,4751.29,0.0,0.0,11643.34,0.0,48791.73,1036.16,-1312.67
2002年,-635.54982099,2635.081944,-271.966816161,795.56016069,0.0,1800.78333574,6249.7193562,549.776670677,28104.2962563,141.63117007,0.0,4289.66980368,7462.08610659,0.0,0.0,19916.589421,0.0,73868.8538279,1589.44240821,1185.944277
2003年,1019.97716591,3193.6146,891.476712458,2361.12317532,0.0,3896.82255523,9686.001987,1376.73979809,36661.5113946,329.718791297,0.0,3883.93631265,10317.7507867,0.0,0.0,28506.4334947,0.0,106511.071482,2468.4371508,1748.41505298
2004年,-1171.27998242,3647.9591857,2937.78307905,2067.57402264,0.0,4353.88396615,17080.335552,2135.12870297,32189.4273044,76.0694171943,0.0,4696.38345165,14878.4212808,0.0,0.0,25239.6056327,0.0,110311.962108,1722.31073349,568.994336541
2005年,-1582.88502611,4394.1236463,2351.52150682,6601.36033107,0.0,2483.60654231,16958.129672,-1373.43901716,43295.5547192,376.807054635,0.0,7407.95246722,22966.613282,0.0,0.0,24207.7477105,0.0,133792.323423,2563.69270522,3379.96289262
2006年,-1629.0,4607.0,4028.0,12377.0,0.0,11214.0,19692.0,-1027.0,50806.0,113.0,0.0,7647.0,26207.0,3416.0,1191.0,33452.0,0.0,174525.0,3041.0,-2300.0
2007年,-8714.0,6567.0,5251.0,10385.0,0.0,20713.0,32618.0,1159.0,54412.0,384.0,0.0,10978.0,39422.0,8986.0,5437.0,40978.0,0.0,230180.0,3303.0,-2183.0
2008年,-485.0,8577.0,1529.0,1159.0,0.0,21100.0,29119.0,-1814.0,79792.0,50.0,0.0,13987.0,29997.0,-5340.0,3336.0,54112.0,0.0,235310.0,4112.0,-3921.0
2009年,-1589.0,8791.0,-643.0,319.0,0.0,11507.0,27216.0,-2975.0,132763.0,416.0,0.0,8340.0,29778.0,6272.0,-1206.0,107875.0,0.0,332691.0,4046.0,1782.0
2010年,469.058602,6304.872357,19394.8624335,5760.48776155,0.498201938739,33260.799686,31934.3734471,-4040.0160753,130662.156761,713.992937,46692.0,16600.9408976,39547.6686035,-2372.86666667,-1566.3,97226.5845625,0.0,430416.470529,6507.436967,3321.67825529
2011年,-727.0,7348.0,26753.0,4495.0,0.0,36154.0,25057.0,-2259.0,116442.0,1072.0,20542.0,17435.0,21540.0,-6511.0,2282.0,97009.0,0.0,381272.0,6162.0,8480.0
2012年,476.0,14274.0,51780.0,7569.0,0.0,23150.0,6069.0,-5014.0,132275.0,971.0,20998.0,19851.0,45940.0,-685.0,5198.0,121940.0,0.0,454004.0,3910.0,5304.0
2013年,412.737557982,14001.1494871,54654.9075865,11417.4146723,0.0,14302.3222683,26605.9559719,-4788.00228444,156840.995456,441.636629972,15511.3108241,20443.273555,39584.3616352,-310.409313,1352.15,148307.574969,0.0,517059.553369,3915.3975501,14366.7768019
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
