,农村居民中等偏上户平均每个劳动力负担人口,农村居民中等偏下户平均每个劳动力负担人口,农村居民中等收入户平均每个劳动力负担人口,农村居民低收入户平均每个劳动力负担人口,农村居民平均每个劳动力负担人口(含本人),农村居民高收入户平均每个劳动力负担人口
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,1.45,1.57,1.5,1.65,1.5,1.37
2003年,1.41,1.52,1.46,1.58,1.47,1.34
2004年,1.4,1.49,1.44,1.56,1.45,1.34
2005年,1.39,1.49,1.44,1.56,1.44,1.33
2006年,1.37,1.47,1.43,1.54,1.43,1.33
2007年,1.36,1.46,1.41,1.52,1.419,1.32
2008年,1.36,1.45,1.41,1.5,1.41,1.31
2009年,1.35,1.43,1.4,1.49,1.4,1.3
2010年,1.34,1.43,1.39,1.47,1.38737209266,1.29
2011年,1.34162825065,1.45861219144,1.40017600869,1.51752642468,1.40191,1.26842171145
2012年,1.3498641212,1.46843133686,1.40960360859,1.50837305202,1.40438,1.26230929637
2013年,,,,,,
2014年,,,,,,
