,农村居民中等偏上户人均纯收入,农村居民中等偏下户人均纯收入,农村居民中等收入户人均纯收入,农村居民低收入户人均纯收入,农村居民家庭平均每人纯收入,农村居民高收入户人均纯收入
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0
2002年,3031.0,1548.0,2164.0,857.0,2475.63,5903.0
2003年,3206.79,1606.53,2273.13,865.9,2622.24,6346.86
2004年,3607.98460683,1842.15703999,2578.6463299,1006.96617039,2936.4,6931.0
2005年,4003.33,2018.31,2850.95,1067.22,3254.9,7747.35
2006年,4446.59,2222.03,3148.5,1182.46,3587.04,8474.79
2007年,5129.78,2581.75,3658.83,1346.89,4140.36,9790.68
2008年,5928.6,2934.99,4203.12,1499.81,4760.62,11290.2
2009年,6467.56,3110.1,4502.08,1549.3,5153.17,12319.05
2010年,7440.56,3621.23,5221.66,1869.8,5919.01,14049.69
2011年,8893.59426908,4255.74937946,6207.68032615,2000.50505379,6977.29,16783.0648701
2012年,10142.0795761,4807.47219303,7041.0322087,2316.20645334,7916.58,19008.8937283
2013年,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0
