,农村居民中等偏上户人均工资性纯收入,农村居民中等偏下户人均工资性纯收入,农村居民中等收入户人均工资性纯收入,农村居民低收入户人均工资性纯收入,农村居民家庭平均每人工资性纯收入,农村居民高收入户人均工资性纯收入
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,1098.31,454.17,716.18,226.38,840.22,2392.27
2003年,1218.07,483.24,795.44,233.15,918.38,2574.73
2004年,1307.85,542.54,854.11,264.64,998.46,2802.18
2005年,1538.84,672.22,1043.14,321.72,1174.53,3096.99
2006年,1806.96,814.13,1230.54,386.03,1374.8,3495.24
2007年,2141.96,969.75,1450.08,447.26,1596.22,3930.43
2008年,2494.84,1095.21,1686.69,528.66,1853.73,4525.14
2009年,2805.42,1201.07,1865.55,561.83,2061.25,4993.68
2010年,3289.8,1431.58,2239.47,675.39,2431.05,5880.83
2011年,4083.70429803,1792.1922696,2739.83714621,861.01747551,2963.43,6943.61767827
2012年,4789.21438752,2053.74737065,3196.41167035,993.423342671,3447.46365626,8109.60316896
2013年,,,,,,
2014年,,,,,,
