,中成药制造高技术产业研究与试验发展经费支出,仪器仪表制造业高技术产业研究与试验发展经费支出,其他电子设备制造高技术产业研究与试验发展经费支出,化学药品制造高技术产业研究与试验发展经费支出,医疗仪器设备及器械制造业高技术产业研究与试验发展经费支出,医疗器械及仪器仪表制造业高技术产业研究与试验发展经费支出,医药制造业高技术产业研究与试验发展经费支出,家用视听设备制造业高技术产业研究与试验发展经费支出,广播电视设备制造业高技术产业研究与试验发展经费支出,生物、生化制品的制造高技术产业研究与试验发展经费支出,电子元件制造业高技术产业研究与试验发展经费支出,电子及通信设备制造业高技术产业研究与试验发展经费支出,电子器件制造业高技术产业研究与试验发展经费支出,电子计算机及办公设备制造业高技术产业研究与试验发展经费支出,电子计算机外部设备制造业高技术产业研究与试验发展经费支出,电子计算机整机制造业高技术产业研究与试验发展经费支出,航空航天器制造业高技术产业研究与试验发展经费支出,通信设备制造业高技术产业研究与试验发展经费支出,雷达及配套设备制造业高技术产业研究与试验发展经费支出,高技术产业研究与试验发展经费支出
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,387026.3,1016880.6,262748.5,1225047.6,298445.3,1315325.9,2112461.8,1022725.6,110427.9,293438.0,1289815.6,7904869.4,1475520.2,1580581.0,801722.9,703928.1,1495895.1,3654356.3,89275.3,14409133.0
2012年,558390.0,1194867.0,331799.0,1540669.0,373870.0,1568738.0,2833055.0,945543.0,184329.0,450978.0,1471606.0,9540946.0,2005398.0,1694003.0,282233.0,712759.0,1701358.0,4014709.0,87746.0,17338101.0
2013年,717619.7,1444642.8,511013.6,1854316.0,486942.4,1931585.2,3476553.0,1255145.8,285109.4,537283.7,1681004.3,11703281.8,2185723.4,1484825.1,264307.3,677800.2,1747134.7,5042582.1,172095.3,20343380.0
2014年,776841.0,1622598.3,602969.8,2047117.3,481491.5,2104089.8,3903161.1,1211818.3,326310.7,653753.7,1844189.2,13239469.8,2584316.3,1555573.1,245072.9,761885.2,1940454.8,5763245.7,160703.9,22742748.6
