,一般旅馆住宿业法人企业数,中外合作经营企业住宿业法人企业数,中外合资经营企业住宿业法人企业数,住宿业法人企业数,其他企业住宿业法人企业数,其他住宿服务住宿业法人企业数,其他外商投资企业住宿业法人企业数,其他有限责任公司住宿业法人企业数,其他港澳台商投资企业住宿业法人企业数,其他联营企业住宿业法人企业数,内资企业住宿业法人企业数,国有与集体联营企业住宿业法人企业数,国有企业住宿业法人企业数,国有独资公司住宿业法人企业数,国有联营企业住宿业法人企业数,外商投资企业住宿业法人企业数,外商投资股份有限公司住宿业法人企业数,外资企业住宿业法人企业数,旅游饭店住宿业法人企业数,有限责任公司住宿业法人企业数,港、澳、台商合作经营企业住宿业法人企业数,港、澳、台商合资经营企业住宿业法人企业数,港、澳、台商投资企业住宿业法人企业数,港、澳、台商投资股份有限公司住宿业法人企业数,港、澳、台商独资经营企业住宿业法人企业数,私营企业住宿业法人企业数,私营合伙企业住宿业法人企业数,私营有限责任公司住宿业法人企业数,私营独资企业住宿业法人企业数,私营股份有限公司住宿业法人企业数,联营企业住宿业法人企业数,股份合作企业住宿业法人企业数,股份有限公司住宿业法人企业数,集体企业住宿业法人企业数,集体联营企业住宿业法人企业数
2004年,778,86,216,9232,62,120,0,1415,0,17,8386,25,3147,93,53,379,5,72,8334,1508,90,290,467,5,82,2249,151,1255,688,155,115,203,339,763,20
2005年,0,84,221,9444,78,0,0,1576,0,15,8593,16,3064,107,43,389,7,77,0,1683,87,282,462,7,86,2397,142,1398,705,152,89,209,364,709,15
2006年,0,71,212,10269,103,0,0,1858,0,10,9396,20,3058,99,46,389,7,99,0,1957,85,292,484,13,94,2890,192,1684,829,185,97,202,374,715,21
2007年,0,70,225,10971,142,0,0,2100,0,6,10055,15,3009,92,39,420,9,116,0,2192,89,287,496,11,109,3373,216,1968,975,214,77,191,404,667,17
2008年,3561,79,209,14628,231,370,0,2859,0,17,13609,14,3345,122,31,467,19,160,10697,2981,71,284,552,15,182,5453,395,3153,1598,307,73,214,565,747,11
2009年,3616,63,193,14498,257,405,0,3038,0,14,13503,16,3164,120,34,435,17,162,10477,3158,74,278,560,21,187,5528,386,3279,1540,323,74,183,479,660,10
2010年,4217,59,202,15713,301,452,0,3436,0,14,14698,12,3119,121,31,447,13,173,11044,3557,68,272,568,23,205,6250,407,3815,1658,370,69,185,537,680,12
2011年,4556,61,185,16506,679,488,3,4023,4,14,15503,9,3013,125,34,429,12,168,11462,4148,68,275,574,21,206,6193,373,4004,1465,351,71,190,567,642,14
2012年,4983,60,187,17109,713,497,5,4443,2,10,16129,10,2829,139,27,436,13,171,11629,4582,68,248,544,28,198,6646,389,4470,1458,329,60,179,528,592,13
2013年,5770,54,181,18437,283,585,4,5585,4,3,17463,6,2289,321,14,425,12,174,12082,5906,61,242,549,27,215,7760,304,5869,1178,409,35,99,602,489,12
2014年,6206,50,176,18874,270,591,6,5966,2,2,17947,7,2089,322,10,404,15,157,12077,6288,58,222,523,27,214,8183,291,6374,1122,396,27,81,575,434,8
