,一般旅馆住宿业企业餐费收入,中外合作经营住宿业企业餐费收入,中外合资经营住宿业企业餐费收入,住宿业企业餐费收入,其他住宿业企业餐费收入,其他住宿服务住宿业企业餐费收入,其他外商投资住宿业企业餐费收入,其他有限责任公司住宿业企业餐费收入,其他港澳台商投资住宿业企业餐费收入,其他联营住宿业企业餐费收入,内资住宿业企业餐费收入,国有与集体联营住宿业企业餐费收入,国有住宿业企业餐费收入,国有独资公司住宿业企业餐费收入,国有联营住宿业企业餐费收入,外商投资住宿业企业餐费收入,外商投资股份有限公司住宿业企业餐费收入,外资住宿业企业餐费收入,旅游饭店住宿业企业餐费收入,有限责任公司住宿业企业餐费收入,港、澳、台商合作经营住宿业企业餐费收入,港、澳、台商合资经营住宿业企业餐费收入,港、澳、台商投资住宿业企业餐费收入,港、澳、台商投资股份有限公司住宿业企业餐费收入,港、澳、台商独资经营住宿业企业餐费收入,私营住宿业企业餐费收入,私营合伙住宿业企业餐费收入,私营有限责任公司住宿业企业餐费收入,私营独资住宿业企业餐费收入,私营股份有限公司住宿业企业餐费收入,联营住宿业企业餐费收入,股份合作住宿业企业餐费收入,股份有限公司住宿业企业餐费收入,集体住宿业企业餐费收入,集体联营住宿业企业餐费收入
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,21.76196,10.75786,23.37588,438.8,1.64045,2.60175,0.0,78.60603,0.0,0.46343,333.8842,1.43043,122.02765,7.51415,2.93122,43.4366,0.79988,8.50298,414.4019,86.12018,17.05119,38.23235,61.44481,0.33327,5.828,73.08977,2.98207,51.49987,13.38322,5.22461,5.36145,6.45157,18.21169,20.98144,0.53637
2005年,,,,507.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,607.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,715.70944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
