,一般旅馆营业额,中外合作经营住宿业企业营业额,中外合资经营住宿业企业营业额,住宿业企业营业额,其他住宿业企业营业额,其他住宿服务营业额,其他外商投资住宿业企业营业额,其他有限责任公司住宿业企业营业额,其他港澳台商投资住宿业企业营业额,其他联营住宿业企业营业额,内资住宿业企业营业额,国有与集体联营住宿业企业营业额,国有住宿业企业营业额,国有独资公司住宿业企业营业额,国有联营住宿业企业营业额,外商投资住宿业企业营业额,外商投资股份有限公司住宿业企业营业额,外资住宿业企业营业额,旅游饭店营业额,有限责任公司住宿业企业营业额,港、澳、台商合作经营住宿业企业营业额,港、澳、台商合资经营住宿业企业营业额,港、澳、台商投资住宿业企业营业额,港、澳、台商投资股份有限公司住宿业企业营业额,港、澳、台商独资经营住宿业企业营业额,私营住宿业企业营业额,私营合伙住宿业企业营业额,私营有限责任公司住宿业企业营业额,私营独资住宿业企业营业额,私营股份有限公司住宿业企业营业额,联营住宿业企业营业额,股份合作住宿业企业营业额,股份有限公司住宿业企业营业额,集体住宿业企业营业额,集体联营住宿业企业营业额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,51.01701,31.45084,72.35726,1170.5,4.88083,6.62777,0.0,198.34294,0.0,1.2797,852.13617,4.58503,330.71129,22.19138,10.10344,129.58081,1.33065,24.44206,1112.8967,220.53432,45.36869,129.32426,188.8245,0.95682,13.17473,161.25869,5.99637,115.83932,28.47046,10.95254,17.18087,14.9761,50.0253,52.56877,1.2127
2005年,,,,1353.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,1551.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,1804.28477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,265.4856,37.3412,111.1382,2231.6117,20.448,33.4302,,487.9808,,2.3938,1773.8907,2.5815,507.2536,31.4925,6.1975,213.2738,4.6727,60.1218,1932.6959,519.4733,41.4317,142.2953,244.4471,4.4553,56.2648,537.5879,29.3272,371.0222,107.8285,29.41,11.9505,23.598,85.2342,68.3452,0.7777
