,专用设备制造业规模以上工业企业存货,交通运输设备制造业规模以上工业企业存货,仪器仪表及文化、办公用机械制造业规模以上工业企业存货,其他采矿业规模以上工业企业存货,农副食品加工业规模以上工业企业存货,化学原料及化学制品制造业规模以上工业企业存货,化学纤维制造业规模以上工业企业存货,医药制造业规模以上工业企业存货,印刷业和记录媒介的复制规模以上工业企业存货,塑料制品业规模以上工业企业存货,家具制造业规模以上工业企业存货,工艺品及其他制造业规模以上工业企业存货,废弃资源和废旧材料回收加工业规模以上工业企业存货,文教体育用品制造业规模以上工业企业存货,有色金属冶炼及压延加工业规模以上工业企业存货,有色金属矿采选业规模以上工业企业存货,木材加工及木、竹、藤、棕、草制品业规模以上工业企业存货,橡胶制品业规模以上工业企业存货,水的生产和供应业规模以上工业企业存货,烟草制品业规模以上工业企业存货,煤炭开采和洗选业规模以上工业企业存货,燃气生产和供应业规模以上工业企业存货,电力、热力的生产和供应业规模以上工业企业存货,电气机械及器材制造业规模以上工业企业存货,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业存货,石油加工、炼焦及核燃料加工业规模以上工业企业存货,石油和天然气开采业规模以上工业企业存货,纺织业规模以上工业企业存货,纺织服装、鞋、帽制造业规模以上工业企业存货,规模以上工业企业存货,通信设备、计算机及其他电子设备制造规模以上工业企业存货,通用设备制造业规模以上工业企业存货,造纸及纸制品业规模以上工业企业存货,金属制品业规模以上工业企业存货,非金属矿物制品业规模以上工业企业存货,非金属矿采选业规模以上工业企业存货,食品制造业规模以上工业企业存货,饮料制造业规模以上工业企业存货,黑色金属冶炼及压延加工业规模以上工业企业存货,黑色金属矿采选业规模以上工业企业存货
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,995.23836,1984.26277,270.36724,4.19364,723.19186,1157.02565,161.47281,503.67162,151.68521,404.85388,125.47493,179.71309,4.81298,143.96585,652.02116,50.79174,155.48443,214.5942,20.17238,884.04831,282.37712,28.15635,271.71039,1255.56923,297.53528,541.47183,138.05026,1288.54213,405.71641,20756.631,1969.15225,1252.69504,360.94774,595.57144,902.17595,55.70821,290.81843,487.79116,1505.55545,40.04422
2004年,1222.25198,2500.96623,353.10559,0.06755,908.00239,1615.64337,248.47354,544.7985,180.62858,592.35872,202.49229,249.16474,22.11459,192.07126,906.03792,64.0344,223.35981,274.83974,27.32636,909.42245,377.69556,41.38759,372.47375,1745.93661,375.08173,874.67502,205.86754,1587.23175,531.71412,27515.29,2518.75374,1759.48746,484.51226,811.59384,1123.3211,55.54365,371.44045,531.79691,2434.55484,75.06177
2005年,1322.50816,2638.74201,395.57229,0.29444,1045.79633,1867.65309,295.88264,673.92016,193.68252,639.71943,220.68629,274.00304,26.2766,213.03524,1131.9662,83.45031,240.27049,294.21796,28.85671,1030.35124,494.75093,40.04363,469.2055,1969.32433,408.61238,1108.1586,260.89498,1753.12755,599.32646,31379.07229,2747.499,2073.59132,531.85937,870.97432,1228.09661,57.35749,425.30856,596.31556,3029.04518,98.69537
2006年,1555.79786,3005.59514,453.5015,0.11632,1248.81517,2219.44485,328.05659,750.46037,225.19497,752.13863,279.08433,333.09001,41.55121,251.23755,1666.0201,136.57305,305.50841,345.90681,34.01311,1081.92481,598.36303,46.43417,545.18437,2445.5722,486.42745,1238.61109,338.07998,2032.07258,712.22532,36999.26,3217.37517,2323.00975,592.88708,1121.36482,1407.4658,71.9184,480.76534,696.03531,3516.30344,115.1374
2007年,1953.8233,3841.03529,532.16848,0.26093,1714.59736,2723.62289,447.30422,884.4804,268.07655,899.41219,333.54301,423.90158,62.83013,290.61175,1996.30532,164.60643,395.20314,409.99678,37.55062,1197.51862,708.21885,56.83691,571.54906,2974.09205,554.10983,1539.5308,367.15312,2382.36035,835.86336,45288.65329,3719.59008,2925.05655,673.37794,1368.06646,1615.86708,82.06335,615.60944,843.39695,4733.99978,145.06234
2008年,2731.51337,4753.87044,639.80057,0.34432,1935.60449,3306.89544,396.38858,1026.24743,317.22183,1000.53178,395.13247,475.58394,124.31566,341.19234,2255.80843,223.94947,496.46601,498.96224,38.32453,1418.16732,1019.78615,70.43905,908.36936,3380.74391,588.89366,1607.74731,469.3928,2507.1936,995.70352,54108.55561,3864.65413,3994.26924,827.28595,1708.56846,2171.68744,105.57572,746.96548,1014.27659,5499.01515,251.66743
2009年,2805.95792,5087.28813,701.25421,0.42725,2234.34875,3262.19876,421.5183,1127.82746,317.49232,1029.48334,385.07753,555.83788,151.91516,316.72502,2624.89141,239.16701,483.88612,482.13499,47.38982,1680.78941,1093.06058,100.18736,759.97969,3746.69677,574.23456,2032.03833,516.48757,2510.1519,1025.31798,56724.80381,3999.98914,3837.34425,794.80005,1801.62479,2197.52879,118.59719,782.87294,1076.79477,5539.80351,261.68285
2010年,3373.50418,6443.5806,822.95198,2.13788,2881.51095,4103.76527,539.70743,1361.64801,360.63953,1200.96464,458.23376,697.31473,162.51495,351.9222,3686.03551,255.20544,542.14047,593.62888,48.75603,1897.4659,1430.41654,83.77839,991.70516,4662.36935,664.94444,2536.46833,547.76666,2937.83486,1206.80223,69790.09631,5163.86001,4610.64924,962.38999,2057.15069,2558.50551,136.1281,904.80962,1251.87045,6943.53318,355.48522
2011年,4020.70249,7387.59655,1026.88917,0.91163,3265.30197,4796.35751,677.82408,1627.90137,351.67901,1256.64664,484.78911,970.76149,250.29689,366.86367,4385.51315,311.14625,579.20834,681.76347,45.85379,2270.7235,1787.41537,115.6724,1163.5818,5355.25957,715.99255,3281.02229,639.57256,3164.82903,1287.33028,80583.14623,5745.83288,5305.01441,1090.75727,2428.62822,3021.07037,143.81985,1040.35487,1544.26486,7558.94979,435.04778
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
