,专用设备制造业规模以上工业企业单位数,交通运输设备制造业规模以上工业企业单位数,仪器仪表及文化、办公用机械制造业规模以上工业企业单位数,其他采矿业规模以上工业企业单位数,农副食品加工业规模以上工业企业单位数,化学原料及化学制品制造业规模以上工业企业单位数,化学纤维制造业规模以上工业企业单位数,医药制造业规模以上工业企业单位数,印刷业和记录媒介的复制规模以上工业企业单位数,塑料制品业规模以上工业企业单位数,家具制造业规模以上工业企业单位数,工艺品及其他制造业规模以上工业企业单位数,废弃资源和废旧材料回收加工业规模以上工业企业单位数,文教体育用品制造业规模以上工业企业单位数,有色金属冶炼及压延加工业规模以上工业企业单位数,有色金属矿采选业规模以上工业企业单位数,木材加工及木、竹、藤、棕、草制品业规模以上工业企业单位数,橡胶制品业规模以上工业企业单位数,水的生产和供应业规模以上工业企业单位数,烟草制品业规模以上工业企业单位数,煤炭开采和洗选业规模以上工业企业单位数,燃气生产和供应业规模以上工业企业单位数,电力、热力的生产和供应业规模以上工业企业单位数,电气机械及器材制造业规模以上工业企业单位数,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业单位数,石油加工、炼焦及核燃料加工业规模以上工业企业单位数,石油和天然气开采业规模以上工业企业单位数,纺织业规模以上工业企业单位数,纺织服装、鞋、帽制造业规模以上工业企业单位数,规模以上工业企业单位数,通信设备、计算机及其他电子设备制造规模以上工业企业单位数,通用设备制造业规模以上工业企业单位数,造纸及纸制品业规模以上工业企业单位数,金属制品业规模以上工业企业单位数,非金属矿物制品业规模以上工业企业单位数,非金属矿采选业规模以上工业企业单位数,食品制造业规模以上工业企业单位数,饮料制造业规模以上工业企业单位数,黑色金属冶炼及压延加工业规模以上工业企业单位数,黑色金属矿采选业规模以上工业企业单位数
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,7129,8281,2515,13,11192,13803,937,4063,4084,8382,2046,4259,107,2516,3367,1276,3501,2016,2406,255,3139,352,4998,10400,4518,1323,112,14863,9717,196000,5856,12546,5570,9746,16245,1827,4636,3194,4119,913
2004年,10925,11824,3916,12,14097,18759,1536,4709,5139,12269,3025,5128,386,3382,5300,1465,5017,3168,2692,210,5249,497,5531,16145,6393,2019,183,24192,12029,276474,9161,20568,7473,14131,19960,2182,5528,3469,7141,1664
2005年,10260,11315,3723,14,14575,18716,1306,4971,4826,12041,3074,5131,438,3378,5163,1529,5397,3034,2492,190,5787,484,5527,15366,6227,1990,174,22569,11865,271835,8868,19981,7461,13802,20111,2242,5553,3519,6649,2087
2006年,11615,12586,4084,16,16356,20715,1402,5368,5029,13504,3603,5764,529,3633,5863,1862,6374,3353,2476,179,6797,526,5731,16905,6859,2160,175,25345,13072,301961,9709,22905,7892,15573,21936,2601,6056,3914,6999,2495
2007年,13409,14091,4526,24,18140,22981,1556,5748,5083,15376,4110,6416,652,4087,6701,2183,7852,3695,1735,150,7537,591,5565,19322,7452,2149,184,27914,14770,336768,11220,26757,8376,18008,24278,3004,6644,4422,7161,2899
2008年,18685,18808,5620,26,22800,28224,2029,6524,6481,19484,5386,7692,1087,4797,8200,2539,10314,4649,2052,156,9212,856,6242,25727,8622,2416,299,33133,18237,426113,14347,36919,10011,24547,30524,3953,8108,5411,8012,3984
2009年,19147,19441,5716,27,24550,28793,1944,6807,6618,19894,5576,7797,1165,4752,8041,2457,10765,4720,2064,158,8798,909,6332,26443,8520,2337,323,32412,18265,434364,14284,37374,9937,24771,32544,4267,8735,5904,7773,4004
2010年,20083,20718,5828,39,25612,29504,1939,7039,6850,21033,5934,7937,1302,4827,8200,2443,11366,4856,2109,151,9016,970,6558,27537,8854,2324,310,33384,18547,452872,14838,39699,10270,25703,34793,4633,9152,6371,7881,4262
2011年,13889,15012,3896,19,20895,22600,1750,5926,3789,13414,4255,4885,1077,2992,6765,2086,8193,3266,1153,148,7695,875,5287,20084,6081,1974,271,22945,11750,325609,11364,25877,7073,16573,26530,3252,6870,4874,6742,3482
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
