,专用设备制造业规模以上工业企业主营业务成本,交通运输设备制造业规模以上工业企业主营业务成本,仪器仪表及文化、办公用机械制造业规模以上工业企业主营业务成本,其他采矿业规模以上工业企业主营业务成本,农副食品加工业规模以上工业企业主营业务成本,化学原料及化学制品制造业规模以上工业企业主营业务成本,化学纤维制造业规模以上工业企业主营业务成本,医药制造业规模以上工业企业主营业务成本,印刷业和记录媒介的复制规模以上工业企业主营业务成本,塑料制品业规模以上工业企业主营业务成本,家具制造业规模以上工业企业主营业务成本,工艺品及其他制造业规模以上工业企业主营业务成本,废弃资源和废旧材料回收加工业规模以上工业企业主营业务成本,文教体育用品制造业规模以上工业企业主营业务成本,有色金属冶炼及压延加工业规模以上工业企业主营业务成本,有色金属矿采选业规模以上工业企业主营业务成本,木材加工及木、竹、藤、棕、草制品业规模以上工业企业主营业务成本,橡胶制品业规模以上工业企业主营业务成本,水的生产和供应业规模以上工业企业主营业务成本,烟草制品业规模以上工业企业主营业务成本,煤炭开采和洗选业规模以上工业企业主营业务成本,燃气生产和供应业规模以上工业企业主营业务成本,电力、热力的生产和供应业规模以上工业企业主营业务成本,电气机械及器材制造业规模以上工业企业主营业务成本,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业主营业务成本,石油加工、炼焦及核燃料加工业规模以上工业企业主营业务成本,石油和天然气开采业规模以上工业企业主营业务成本,纺织业规模以上工业企业主营业务成本,纺织服装、鞋、帽制造业规模以上工业企业主营业务成本,规模以上工业企业主营业务成本,通信设备、计算机及其他电子设备制造规模以上工业企业主营业务成本,通用设备制造业规模以上工业企业主营业务成本,造纸及纸制品业规模以上工业企业主营业务成本,金属制品业规模以上工业企业主营业务成本,非金属矿物制品业规模以上工业企业主营业务成本,非金属矿采选业规模以上工业企业主营业务成本,食品制造业规模以上工业企业主营业务成本,饮料制造业规模以上工业企业主营业务成本,黑色金属冶炼及压延加工业规模以上工业企业主营业务成本,黑色金属矿采选业规模以上工业企业主营业务成本
2003年,3021.63903,9071.23818,1341.27354,10.58327,5261.2306,7403.82174,1266.22674,1765.17556,792.60775,2569.9002,588.84104,1069.37084,48.09363,793.23114,3101.37032,422.67212,830.1093,1006.84717,309.69122,859.192,1714.82711,357.55232,9466.78297,6241.24305,1904.61729,5620.23756,1658.95408,6727.33962,2803.50633,118638.47,14103.55642,4442.73882,2066.47559,3206.74937,4368.24817,347.74466,1680.74305,1410.92211,8712.00661,271.1139
2004年,4070.92259,11381.98674,1848.51552,4.68747,7346.42256,10328.71146,1734.60983,1961.12833,945.2937,3606.46694,959.97217,1367.92708,182.72182,1040.23529,5273.62556,590.14421,1170.97728,1470.71479,372.76478,942.50768,2796.23851,491.52191,13420.34725,9204.67745,2358.04478,8011.4318,2164.67556,9080.17268,3306.53185,167246.4,20224.16314,6766.51937,2797.42976,4357.44306,5904.42025,432.33356,2188.67045,1643.77156,14990.63016,507.0431
2005年,4939.69046,13348.70523,2304.99712,6.12171,9202.02876,13447.21743,2378.59208,2684.60035,1139.51326,4335.9347,1181.97908,1700.51116,255.08769,1254.68827,6927.88657,783.22327,1521.62974,1828.17357,418.14615,1039.5826,4040.21675,596.70243,16335.42562,11395.20098,2924.94363,11424.4889,2512.53096,11104.35352,4113.10499,209862.52,24176.35087,8534.89002,3479.61606,5577.73416,7472.53661,542.78717,2867.51667,2134.77143,19236.62196,694.41722
2006年,6392.00696,17069.26747,2940.17769,3.46247,11144.46098,17118.97421,2930.46473,3234.50071,1351.41583,5413.00607,1544.45961,2149.92244,380.98189,1476.50096,11285.38643,1171.6587,2023.24244,2298.78339,489.79493,1108.3698,5226.32476,789.47954,19342.7579,15115.87997,3510.00429,14403.26854,3255.79571,13400.18697,5058.35046,264696.6,29689.02158,11157.72606,4232.817,7261.12516,9532.50859,752.17831,3631.46305,2779.33725,23010.59933,1020.93372
2007年,8378.31406,22348.57179,3522.87123,8.08079,14907.5656,22010.76676,3595.94395,4065.97626,1662.05373,6802.68766,1977.99309,2834.2716,603.0662,1746.10966,15737.55831,1567.49461,2865.02041,2887.90088,539.94411,1224.22808,6609.03346,975.41864,22633.70129,19759.39751,4301.28136,16449.80054,4029.21993,16076.30259,6228.0943,334598.64,34829.60231,14843.14858,5214.95012,9638.42962,12390.43007,972.2111,4585.18407,3541.19604,30780.43352,1454.39064
2008年,11709.09581,27878.95456,4058.87324,7.66161,20698.29709,28149.13417,3586.4287,5061.98258,2139.5755,8323.26098,2549.18615,3455.00508,1028.2891,2110.86597,18543.11013,2021.01433,3957.98077,3585.88222,647.69736,1316.72589,10284.60604,1365.62434,27817.99637,24845.16978,4899.2002,22202.68252,4964.9853,18318.82954,7695.12669,423295.75,38545.74027,19934.73059,6488.89625,12635.4209,16894.42902,1371.07523,5872.89912,4416.53651,41378.28123,2534.50276
2009年,13676.85563,34414.44749,4059.59826,12.62201,24296.86603,30633.34671,3457.52091,6262.7304,2353.49355,9130.25903,2834.83155,3793.09847,1313.67202,2229.09432,18978.62297,2228.82719,4819.10271,3894.44944,720.85412,1490.908,12607.03436,1590.14227,30643.36554,27224.44346,5343.47416,16968.13078,4777.94309,19869.19563,8625.95288,457510.01,39411.19813,22406.56838,6843.45114,13364.63686,20118.98961,1749.61504,6947.43984,5398.60704,40228.77284,2789.84495
2010年,17475.23912,45872.97366,5209.70532,24.77594,30338.52512,39710.49707,4456.75225,7902.41666,2835.04272,11653.67686,3625.30655,4909.36884,2132.27415,2637.33522,26124.8521,2921.11751,6110.61127,4986.42349,853.37776,1737.76669,16788.73527,2045.57072,36755.15558,35494.97764,6547.28589,24200.53041,5729.86999,24709.88237,10067.38182,585256.8,48920.84456,28726.14699,8727.67163,16835.48013,25862.06548,2360.55872,8760.31049,6669.3569,49814.60095,4722.33773
2011年,21353.46932,52892.53748,6136.70053,11.80183,38437.31074,50478.6769,6005.38221,10277.29809,3081.50215,13089.1795,4132.90382,6246.0296,2356.31327,2696.23692,32977.04634,3672.7804,7485.96525,6264.54656,872.12575,1856.69578,22632.84051,2718.11716,43215.4623,42545.11595,7339.19569,32634.68858,6075.8035,28349.0215,11020.46998,708091.99,56534.98773,33512.25647,10146.11812,19706.29329,32422.80724,2916.73155,10921.33407,8581.47363,60285.0265,6209.74878
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
