,专用设备制造业规模以上工业企业固定资产合计,交通运输设备制造业规模以上工业企业固定资产合计,仪器仪表及文化、办公用机械制造业规模以上工业企业固定资产合计,其他采矿业规模以上工业企业固定资产合计,农副食品加工业规模以上工业企业固定资产合计,化学原料及化学制品制造业规模以上工业企业固定资产合计,化学纤维制造业规模以上工业企业固定资产合计,医药制造业规模以上工业企业固定资产合计,印刷业和记录媒介的复制规模以上工业企业固定资产合计,塑料制品业规模以上工业企业固定资产合计,家具制造业规模以上工业企业固定资产合计,工艺品及其他制造业规模以上工业企业固定资产合计,废弃资源和废旧材料回收加工业规模以上工业企业固定资产合计,文教体育用品制造业规模以上工业企业固定资产合计,有色金属冶炼及压延加工业规模以上工业企业固定资产合计,有色金属矿采选业规模以上工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业固定资产合计,橡胶制品业规模以上工业企业固定资产合计,水的生产和供应业规模以上工业企业固定资产合计,烟草制品业规模以上工业企业固定资产合计,煤炭开采和洗选业规模以上工业企业固定资产合计,燃气生产和供应业规模以上工业企业固定资产合计,电力、热力的生产和供应业规模以上工业企业固定资产合计,电气机械及器材制造业规模以上工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业固定资产合计,石油加工、炼焦及核燃料加工业规模以上工业企业固定资产合计,石油和天然气开采业规模以上工业企业固定资产合计,纺织业规模以上工业企业固定资产合计,纺织服装、鞋、帽制造业规模以上工业企业固定资产合计,规模以上工业企业固定资产合计,通信设备、计算机及其他电子设备制造规模以上工业企业固定资产合计,通用设备制造业规模以上工业企业固定资产合计,造纸及纸制品业规模以上工业企业固定资产合计,金属制品业规模以上工业企业固定资产合计,非金属矿物制品业规模以上工业企业固定资产合计,非金属矿采选业规模以上工业企业固定资产合计,食品制造业规模以上工业企业固定资产合计,饮料制造业规模以上工业企业固定资产合计,黑色金属冶炼及压延加工业规模以上工业企业固定资产合计,黑色金属矿采选业规模以上工业企业固定资产合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,1470.74208,3520.4906,412.83112,15.97292,1566.02909,5023.92558,860.47736,1441.66256,588.55936,1136.97058,207.79493,276.50843,4.5905,222.53689,1859.71808,313.51349,408.20797,569.39261,1476.092,704.43767,2974.12684,496.65379,18055.85809,1901.78227,385.13879,2264.46783,3608.66582,3244.6649,723.47553,75560.80416,3011.54751,1899.1423,1618.63858,1054.07389,3539.18356,362.14284,909.63085,1294.19543,5953.07991,183.88161
2004年,1613.52459,4241.33435,478.88117,2.49277,1904.61301,5582.30946,1071.31265,1670.6002,683.92406,1507.5357,285.73737,461.43804,17.85481,281.87584,2377.60083,326.07966,524.16921,748.95581,1871.81645,726.80192,3625.97135,638.50949,22586.13324,2309.64294,458.45134,2658.21016,4508.52312,3794.63636,827.0545,92236.98,4223.65655,2342.98691,2001.2388,1270.30395,4297.86179,337.51702,1105.07596,1266.84871,7322.68929,282.81065
2005年,1836.48643,4916.84682,568.29144,3.41166,2182.04441,6775.99485,1213.20135,1997.77353,758.30869,1616.34838,332.26777,450.21953,26.53457,316.41601,2831.32335,377.13014,578.25362,805.32489,1907.72685,751.03141,4336.97779,666.3662,25760.92301,2720.55814,538.07283,3133.20448,4966.09156,4137.16855,951.18112,105951.85602,4902.79254,2658.80696,2389.12916,1487.10981,4818.9488,312.45387,1261.26187,1393.63833,8889.3207,382.9146
2006年,2161.89904,5845.8364,662.0804,1.02699,2583.70361,8286.04501,1290.03972,2165.72135,814.69405,1809.31477,437.65666,526.08689,60.87634,351.08449,3349.08157,489.11687,668.2712,918.45649,2235.96669,746.52488,5515.20906,829.71956,30795.47855,3088.42825,612.7844,3784.60782,5997.7266,4626.14716,1110.0008,125190.1,5584.6056,3145.28243,2652.15959,1757.39447,5406.97304,397.90658,1427.67569,1551.34365,10996.70956,506.45972
2007年,2621.51082,7048.81671,758.71861,1.9194,3144.85631,9679.09734,1435.54189,2350.62415,904.46902,1985.034,550.98533,630.94583,60.4583,399.8469,4292.78499,610.44459,821.79138,1189.16512,2373.45458,1014.32894,6667.42234,907.42427,35777.26458,3680.29598,709.02821,4287.02869,7092.55104,5221.34631,1329.2312,146701.7925,6665.06634,3978.43494,2881.74049,2159.34208,6294.81852,427.46529,1657.34359,1788.98242,12644.10571,658.10629
2008年,3695.06498,9200.17801,917.04663,2.29304,4170.26726,11811.87221,1421.85671,2783.36897,1075.45655,2409.45313,638.59313,759.71405,156.93323,494.17647,5635.3714,883.24476,1132.71258,1398.43907,2724.54595,867.33576,8014.97204,1040.11667,42641.13802,4980.12628,854.91464,4996.76324,8158.83525,5978.32827,1697.74012,179191.7152,7903.03215,5436.93563,3389.40576,2988.61537,7968.89281,575.07634,2067.8694,2321.8465,14973.82384,1025.35898
2009年,4190.54477,10702.70192,1008.09778,3.12691,5083.79743,14270.15253,1386.38227,3121.93219,1124.58618,2633.18844,691.88651,820.18643,201.60027,517.98666,6570.48143,1009.33476,1252.23766,1458.31934,3038.51868,979.91551,9802.52701,1256.38762,48065.47843,5989.1464,915.67986,6435.69996,11227.79971,6165.80939,1767.66677,207355.57459,8149.94047,6365.50821,3726.75103,3468.31119,9497.13174,675.42588,2386.48578,2426.06359,17705.90961,1262.87427
2010年,5029.44861,12572.73182,1278.99206,8.56877,6059.41646,16671.23094,1511.48667,3502.18743,1230.64474,3024.00451,810.04006,899.39455,220.34373,577.10498,7772.77583,1295.99645,1535.18272,1668.72441,3277.91885,1247.86613,11977.8099,1450.60125,51941.29879,7370.04364,1061.511,7454.63469,10718.99267,6894.64414,1985.56655,238097.80189,11119.45239,7974.02108,4214.03446,4134.36803,11515.64774,769.27289,2737.01846,2832.92331,19757.51505,1994.38613
2011年,5638.49674,13893.11674,1315.01912,7.5046,6789.91177,18245.48869,1777.65041,3770.22395,1103.20933,3132.2795,906.87241,1026.31477,328.39675,538.20395,8269.91016,1395.34386,1615.58215,1937.87435,3126.33356,1415.64533,13979.24181,1582.35675,53479.4169,8235.69934,1150.67643,8019.96516,12724.58327,7138.8582,1973.21069,253198.19279,9817.50917,8070.54293,4525.38507,4471.78035,12888.11406,818.10896,3046.95372,3183.12931,19685.74046,2173.54207
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
