,专用设备制造业规模以上工业企业主营业务收入,交通运输设备制造业规模以上工业企业主营业务收入,仪器仪表及文化、办公用机械制造业规模以上工业企业主营业务收入,其他采矿业规模以上工业企业主营业务收入,农副食品加工业规模以上工业企业主营业务收入,化学原料及化学制品制造业规模以上工业企业主营业务收入,化学纤维制造业规模以上工业企业主营业务收入,医药制造业规模以上工业企业主营业务收入,印刷业和记录媒介的复制规模以上工业企业主营业务收入,塑料制品业规模以上工业企业主营业务收入,家具制造业规模以上工业企业主营业务收入,工艺品及其他制造业规模以上工业企业主营业务收入,废弃资源和废旧材料回收加工业规模以上工业企业主营业务收入,文教体育用品制造业规模以上工业企业主营业务收入,有色金属冶炼及压延加工业规模以上工业企业主营业务收入,有色金属矿采选业规模以上工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业规模以上工业企业主营业务收入,橡胶制品业规模以上工业企业主营业务收入,水的生产和供应业规模以上工业企业主营业务收入,烟草制品业规模以上工业企业主营业务收入,煤炭开采和洗选业规模以上工业企业主营业务收入,燃气生产和供应业规模以上工业企业主营业务收入,电力、热力的生产和供应业规模以上工业企业主营业务收入,电气机械及器材制造业规模以上工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业主营业务收入,石油加工、炼焦及核燃料加工业规模以上工业企业主营业务收入,石油和天然气开采业规模以上工业企业主营业务收入,纺织业规模以上工业企业主营业务收入,纺织服装、鞋、帽制造业规模以上工业企业主营业务收入,规模以上工业企业主营业务收入,通信设备、计算机及其他电子设备制造规模以上工业企业主营业务收入,通用设备制造业规模以上工业企业主营业务收入,造纸及纸制品业规模以上工业企业主营业务收入,金属制品业规模以上工业企业主营业务收入,非金属矿物制品业规模以上工业企业主营业务收入,非金属矿采选业规模以上工业企业主营业务收入,食品制造业规模以上工业企业主营业务收入,饮料制造业规模以上工业企业主营业务收入,黑色金属冶炼及压延加工业规模以上工业企业主营业务收入,黑色金属矿采选业规模以上工业企业主营业务收入
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,3665.63562,11028.57226,1607.25793,12.96889,5851.13436,9016.96899,1413.09401,2750.68306,980.31468,2954.95638,693.83315,1223.54771,50.88502,917.27137,3534.93026,550.32785,945.28364,1214.21316,408.51411,2217.4971,2474.69811,391.98523,11113.23762,7487.04166,2139.19357,6341.80666,3372.07187,7495.51211,3239.41724,143171.53,15876.26782,5418.43149,2432.38485,3703.87862,5314.38039,458.86835,2168.36386,2117.23011,10234.93481,353.93255
2004年,4903.2256,13454.61548,2187.52458,5.89728,8136.11942,12681.4398,1893.84354,3032.96211,1165.98922,4106.27042,1119.09073,1577.91802,197.94907,1179.2491,5934.66613,795.23543,1329.22369,1732.8487,490.38404,2573.39913,4157.91069,545.53949,15280.55963,10871.43098,2657.02812,8994.46321,4500.46542,10021.11056,3802.16663,198908.87,22565.39203,8102.99649,3232.16566,4990.33508,7118.94626,565.52454,2782.16558,2393.18589,17099.57551,730.06039
2005年,5932.96949,15562.60168,2735.0027,8.15996,10366.49248,16165.2136,2567.00415,4019.83157,1386.55233,4944.72747,1387.39223,1969.69922,281.67211,1437.52651,7845.55717,1120.1346,1749.45472,2144.22455,542.4097,2850.83555,5912.44826,662.12463,18580.36071,13363.91673,3315.94002,12030.51658,6151.21978,12374.52729,4780.00103,248544.0,26844.02001,10197.8318,4034.24613,6394.34772,8846.49183,733.88683,3665.75111,3055.27536,21594.05263,989.58007
2006年,7724.99279,20137.33934,3497.17358,4.29123,12694.77239,20322.20407,3144.85739,4718.81928,1653.20296,6226.05653,1829.1614,2495.04409,429.3283,1703.69928,12847.85511,1714.85785,2339.56601,2668.33606,670.38215,3174.25475,7461.15182,880.88065,22222.44922,17649.46134,4014.37951,15049.66211,7790.76701,14965.62955,5910.2165,313592.45,33054.42915,13311.84786,4944.47598,8329.36204,11346.83745,993.30162,4601.91669,3924.75392,25768.21069,1376.52292
2007年,10265.54404,26637.09996,4205.43619,9.79949,17131.12368,26482.83703,3981.46862,5967.12772,2039.26852,7895.38496,2360.51828,3297.85507,682.50774,2029.43946,17917.0417,2239.39154,3375.84098,3380.38978,746.39876,3737.61187,9593.08042,1137.31718,26236.07356,23213.79031,4967.63224,17952.49974,8497.13721,18164.41612,7335.74533,399717.06,39014.14181,17837.29798,6151.49181,11100.91594,14987.46015,1295.58049,5853.08804,4993.98174,34930.91417,2072.40741
2008年,14116.48139,32913.37999,4850.64162,9.73749,23565.79833,33308.52715,3883.83859,7402.33355,2593.35072,9623.95898,3001.2839,4026.49772,1158.32619,2414.03698,20666.94446,2705.98706,4650.54105,4149.85842,880.76243,4259.64946,15315.14886,1592.08903,30245.25598,29374.90591,5692.83805,22636.22366,11052.96884,20726.36703,9074.12936,500020.07,43177.95211,23837.77682,7501.22882,14547.59341,20345.46504,1822.49621,7463.72325,6137.61184,45658.7028,3635.65834
2009年,16480.14838,41090.49245,4939.51401,14.20623,27624.67453,36297.99264,3799.1809,9087.00346,2873.1314,10602.18076,3353.24539,4409.87034,1453.05602,2570.30685,21000.27812,2859.03415,5618.95155,4642.06792,966.32515,4870.92398,17379.94169,1888.27462,33789.9658,32386.50682,6241.34654,21247.47785,7909.04335,22470.5079,10140.52256,542522.43,44215.94155,26636.42398,8001.89919,15499.20227,24081.17333,2237.54318,8865.01738,7464.93688,43905.73433,3608.38896
2010年,21312.96913,55058.67586,6322.86801,30.46428,34668.26271,47452.35085,5020.28965,11417.30482,3468.30709,13571.09305,4304.75735,5700.7384,2381.76762,3060.93414,29175.19686,3836.09984,7166.00252,5826.18801,1143.09201,5628.19347,23609.59365,2505.93523,40561.28867,42152.58737,7738.9092,29310.7304,10617.58946,28110.06775,11988.61391,697744.0,55161.1635,34400.1082,10201.81821,19642.38204,31267.19777,3005.11129,11133.50074,9165.69832,54490.92545,6135.21967
2011年,26059.59872,63131.95012,7468.83463,14.76572,43848.57952,60097.8857,6646.95056,14484.37986,3784.26574,15281.74755,4946.75671,7193.49228,2645.27874,3133.81404,36869.41805,4928.4561,8804.00734,7279.95306,1167.22628,6666.90024,31413.27262,3205.30873,47097.57121,50148.85251,8747.21575,37275.11829,12882.25832,32288.52054,13214.41457,841830.24,63474.88774,40157.9251,11807.00586,22951.33466,39294.74672,3743.41214,13875.73189,11774.80188,65909.31398,8114.28522
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
