,专用设备制造业规模以上工业企业应收帐款净额,交通运输设备制造业规模以上工业企业应收帐款净额,仪器仪表及文化、办公用机械制造业规模以上工业企业应收帐款净额,其他采矿业规模以上工业企业应收帐款净额,农副食品加工业规模以上工业企业应收帐款净额,化学原料及化学制品制造业规模以上工业企业应收帐款净额,化学纤维制造业规模以上工业企业应收帐款净额,医药制造业规模以上工业企业应收帐款净额,印刷业和记录媒介的复制规模以上工业企业应收帐款净额,塑料制品业规模以上工业企业应收帐款净额,家具制造业规模以上工业企业应收帐款净额,工艺品及其他制造业规模以上工业企业应收帐款净额,废弃资源和废旧材料回收加工业规模以上工业企业应收帐款净额,文教体育用品制造业规模以上工业企业应收帐款净额,有色金属冶炼及压延加工业规模以上工业企业应收帐款净额,有色金属矿采选业规模以上工业企业应收帐款净额,木材加工及木、竹、藤、棕、草制品业规模以上工业企业应收帐款净额,橡胶制品业规模以上工业企业应收帐款净额,水的生产和供应业规模以上工业企业应收帐款净额,烟草制品业规模以上工业企业应收帐款净额,煤炭开采和洗选业规模以上工业企业应收帐款净额,燃气生产和供应业规模以上工业企业应收帐款净额,电力、热力的生产和供应业规模以上工业企业应收帐款净额,电气机械及器材制造业规模以上工业企业应收帐款净额,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业应收帐款净额,石油加工、炼焦及核燃料加工业规模以上工业企业应收帐款净额,石油和天然气开采业规模以上工业企业应收帐款净额,纺织业规模以上工业企业应收帐款净额,纺织服装、鞋、帽制造业规模以上工业企业应收帐款净额,规模以上工业企业应收帐款净额,通信设备、计算机及其他电子设备制造规模以上工业企业应收帐款净额,通用设备制造业规模以上工业企业应收帐款净额,造纸及纸制品业规模以上工业企业应收帐款净额,金属制品业规模以上工业企业应收帐款净额,非金属矿物制品业规模以上工业企业应收帐款净额,非金属矿采选业规模以上工业企业应收帐款净额,食品制造业规模以上工业企业应收帐款净额,饮料制造业规模以上工业企业应收帐款净额,黑色金属冶炼及压延加工业规模以上工业企业应收帐款净额,黑色金属矿采选业规模以上工业企业应收帐款净额
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,702.97375,1381.30402,321.25499,2.53583,354.76985,1047.39792,81.64063,599.08709,199.42064,470.79304,80.83678,137.88283,4.44161,138.63249,320.53857,34.5572,83.82073,207.00524,78.79125,164.99603,366.5907,37.18955,1209.49552,1552.41225,236.81283,181.29831,101.54534,747.33067,366.7415,18360.38549,3040.37,1154.92914,393.50176,603.22504,859.08758,75.49349,234.0363,215.33053,530.43524,41.87925
2004年,927.48493,1642.89834,411.45604,1.0671,470.6437,1293.18833,102.76457,605.72929,221.26486,662.35081,132.21988,185.03768,19.79347,158.61826,452.79975,43.53229,121.76951,274.95179,91.54063,152.59927,389.76808,39.49413,1169.54822,2064.85397,286.09757,284.35238,240.65192,981.99259,393.69782,23084.41,3969.80973,1555.9768,493.3321,785.3386,1094.28518,72.29141,300.67206,212.14528,697.75601,80.63424
2005年,1062.59459,1930.0294,480.41474,0.72437,494.087,1469.22713,130.92309,683.60927,258.0155,748.48666,146.07279,207.77256,25.49086,181.93064,535.45739,60.94772,117.34573,297.78512,95.55155,140.48856,467.07241,47.71567,1190.90153,2417.02122,337.72074,337.52629,244.57166,1062.09157,443.24936,26646.17931,5012.05533,1822.21383,552.60761,856.64726,1199.60383,70.08156,346.69638,224.91873,835.26221,111.26745
2006年,1314.26877,2378.39425,617.83199,0.17064,594.47672,1810.87803,160.54079,760.28521,286.02738,891.59587,185.04799,266.2423,33.76013,215.55089,729.94944,99.86002,143.74006,335.37549,98.95954,149.53085,547.44801,53.40749,1345.24569,2971.37229,400.68063,340.47599,289.37977,1265.51818,532.3903,31692.21,5755.26052,2230.5825,651.18175,1081.81082,1344.68076,83.06663,367.5494,257.38762,969.79149,132.49652
2007年,1777.0823,3084.8326,676.09682,0.36578,738.32474,2226.56977,205.09631,848.23462,326.97217,1032.80529,217.63779,327.26791,47.70575,222.23418,947.5842,130.19991,186.06607,378.12999,113.15546,150.9637,778.13567,61.67675,1505.94523,3805.83709,460.34792,465.27369,366.07544,1509.39151,662.62577,38690.57805,6746.2438,2767.77427,746.79756,1335.74928,1562.75834,89.80352,477.05242,317.26198,1216.04134,178.46111
2008年,2314.81933,3484.75673,779.02822,0.43998,891.03125,2403.53566,191.9027,931.95271,385.29194,1178.83579,241.26681,378.77986,74.10198,242.17857,1030.74731,145.14905,250.96992,452.86718,135.65704,137.6916,1137.07906,82.31775,1555.09126,4367.83275,490.45262,572.64389,501.18319,1653.82895,800.87393,43933.81631,6471.77409,3446.1527,792.16472,1650.69835,1945.33572,122.88037,567.45777,366.24089,1419.37081,339.43386
2009年,2723.24588,4741.43076,919.78132,0.29024,990.49258,2803.54846,192.28392,1076.63537,403.40609,1263.72994,281.56543,423.38006,90.67674,264.87232,1124.6575,151.01645,252.09093,484.9605,134.66287,220.68079,1314.24259,800.47203,1741.94374,5116.52417,534.29431,565.52328,524.20307,1737.21323,848.27842,51399.82198,7923.85456,3954.72297,804.31388,1805.86663,2210.92221,121.88165,606.76529,423.6385,1537.63461,284.11869
2010年,3557.49816,5817.16419,1112.3228,1.50812,1190.80528,3427.35362,232.34791,1252.27255,484.1995,1499.54217,348.84031,498.49938,146.09387,281.39807,1417.99247,172.90376,305.07455,568.3691,157.02453,246.60045,1778.60513,109.7915,1948.31966,6667.09332,706.28316,750.98028,405.0782,1896.54266,939.87201,61441.24994,9253.3734,4839.85047,988.962,2232.58575,2707.69539,133.0947,713.89785,460.86078,1765.87207,424.68082
2011年,4207.12972,6863.96147,1288.67798,1.11856,1421.42467,3923.65028,304.22448,1484.48215,464.71688,1529.59249,363.15149,559.93885,197.82627,270.56519,1635.5317,181.46714,337.29388,660.09919,155.92473,269.33382,2313.40293,150.91236,2224.90212,7997.44291,744.37654,852.96351,487.04569,2067.42353,1043.32264,70502.00153,10332.60531,5266.2716,1077.16612,2366.63936,3324.92304,141.46945,882.74821,552.95746,2054.63278,500.68503
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
