,专用设备制造业规模以上工业企业所有者权益合计,交通运输设备制造业规模以上工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业规模以上工业企业所有者权益合计,其他采矿业规模以上工业企业所有者权益合计,农副食品加工业规模以上工业企业所有者权益合计,化学原料及化学制品制造业规模以上工业企业所有者权益合计,化学纤维制造业规模以上工业企业所有者权益合计,医药制造业规模以上工业企业所有者权益合计,印刷业和记录媒介的复制规模以上工业企业所有者权益合计,塑料制品业规模以上工业企业所有者权益合计,家具制造业规模以上工业企业所有者权益合计,工艺品及其他制造业规模以上工业企业所有者权益合计,废弃资源和废旧材料回收加工业规模以上工业企业所有者权益合计,文教体育用品制造业规模以上工业企业所有者权益合计,有色金属冶炼及压延加工业规模以上工业企业所有者权益合计,有色金属矿采选业规模以上工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业所有者权益合计,橡胶制品业规模以上工业企业所有者权益合计,水的生产和供应业规模以上工业企业所有者权益合计,烟草制品业规模以上工业企业所有者权益合计,煤炭开采和洗选业规模以上工业企业所有者权益合计,燃气生产和供应业规模以上工业企业所有者权益合计,电力、热力的生产和供应业规模以上工业企业所有者权益合计,电气机械及器材制造业规模以上工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业所有者权益合计,石油加工、炼焦及核燃料加工业规模以上工业企业所有者权益合计,石油和天然气开采业规模以上工业企业所有者权益合计,纺织业规模以上工业企业所有者权益合计,纺织服装、鞋、帽制造业规模以上工业企业所有者权益合计,规模以上工业企业所有者权益合计,通信设备、计算机及其他电子设备制造规模以上工业企业所有者权益合计,通用设备制造业规模以上工业企业所有者权益合计,造纸及纸制品业规模以上工业企业所有者权益合计,金属制品业规模以上工业企业所有者权益合计,非金属矿物制品业规模以上工业企业所有者权益合计,非金属矿采选业规模以上工业企业所有者权益合计,食品制造业规模以上工业企业所有者权益合计,饮料制造业规模以上工业企业所有者权益合计,黑色金属冶炼及压延加工业规模以上工业企业所有者权益合计,黑色金属矿采选业规模以上工业企业所有者权益合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,1644.03417,4696.23769,657.20748,22.33102,1437.34322,4541.33245,661.46543,1986.96457,646.89064,1349.40194,270.65147,394.11375,8.23208,325.98366,1427.58381,238.96571,376.88509,544.96887,1211.94695,1614.42178,2320.74041,420.99467,9392.823,2926.29712,541.24788,1933.50928,3177.02852,2873.03691,1008.25742,69129.56,4606.37906,2398.51001,1235.91354,1279.31111,2966.80615,307.86361,983.11132,1433.71667,5039.53686,227.51882
2004年,2097.64484,5821.30522,800.80205,1.86036,1919.47368,5516.72469,853.37877,2270.00079,753.51085,1687.47777,373.83069,561.59475,35.26683,417.30186,1915.33632,343.88687,502.62912,707.37735,1501.76459,1894.41989,2755.26407,581.56377,16346.34434,3672.03597,676.61654,2347.89022,3753.87294,3379.07253,1197.66087,90286.7,5985.85337,3234.97046,1525.33063,1670.5077,3697.54341,311.30044,1234.20398,1406.12622,6100.04106,434.91294
2005年,2366.51431,6162.77844,1008.04413,3.33206,2327.21218,6599.45415,1006.57001,2672.59762,856.65961,1962.85236,440.09422,615.57114,44.46642,470.82078,2413.62187,474.17586,605.26729,797.27254,1511.04476,2187.18753,3321.98956,574.98076,17022.5934,4323.52954,807.96369,2817.85283,4436.63453,4006.71258,1372.55447,102882.02,6719.40305,3699.83638,1773.0072,1998.51766,4135.92016,311.58943,1430.74848,1640.07421,7358.60233,603.9729
2006年,2963.59669,7663.80094,1201.77668,0.62648,2939.06188,8157.31288,1091.88001,3011.91478,964.19757,2228.04232,581.22874,768.18158,61.23083,541.84205,3223.36118,762.15145,739.66849,898.71965,1781.57558,2434.14534,4283.32762,660.3454,19860.96206,5079.13638,968.02884,3250.0642,5098.30462,4694.95839,1817.2599,123402.54,7968.54382,4567.63273,2105.8383,2445.43803,5112.8438,389.32256,1671.74883,1899.48598,8777.28266,737.70414
2007年,4073.77577,9335.85698,1464.16049,1.4602,3800.76898,9985.71265,1356.08031,3530.36484,1095.80796,2613.80845,732.61387,938.08995,91.6397,635.05086,4737.26169,944.48913,957.22973,1141.97308,1868.3931,2835.86949,5386.78803,714.1894,22219.86022,6420.59351,1149.23237,4069.26817,6094.99357,5476.68216,2041.66651,149876.15,9290.5027,5999.6643,2518.82583,3080.68513,6040.29208,479.31311,2084.46547,2289.51344,11352.83626,1026.36639
2008年,5451.26199,11742.948,1894.65007,2.24046,4975.37637,12382.33435,1357.15244,4094.23181,1335.40631,3161.52856,866.055,1131.52386,178.51741,746.24794,5964.50209,1241.55219,1398.97961,1351.81097,2114.54514,3386.45227,7974.63425,973.90181,22411.27641,8754.31758,1402.36166,4455.67067,7793.57949,6401.23878,2587.33563,182353.38,11238.82917,7834.41947,3141.98597,4121.73905,7870.80676,678.35508,2465.81011,2926.55241,12890.1849,1653.06047
2009年,6328.13832,13953.59466,2123.24685,2.71351,6103.41475,13952.08993,1325.28909,5009.17309,1461.92885,3523.80767,986.61894,1319.17865,238.6083,802.49104,6606.14032,1340.81295,1534.52805,1553.18425,2311.19253,3755.25102,9746.64184,1185.22841,24185.3943,10135.82061,1543.46639,4853.72331,8064.46833,7001.80274,2825.2674,206688.83,12441.22345,9413.09523,3402.20438,4771.83155,9355.14543,794.69022,3026.48782,3232.00054,14880.71708,1598.21399
2010年,8495.18558,17675.45567,2568.15221,10.40653,7521.27445,17077.86557,1675.21534,6197.56421,1671.41247,4302.98703,1220.80227,1563.56507,307.54504,889.85133,7885.33147,1622.67845,1883.25112,1836.45988,2535.88895,4161.0052,12444.70438,1318.89207,26150.77779,13368.2822,1906.76803,6070.69796,9389.692,8068.81728,3419.90944,251160.35,17247.0172,12018.92929,4167.71189,5870.74232,11564.44858,1004.75047,3517.27206,3868.48474,15706.51673,2954.03378
2011年,9874.76516,20925.27825,3061.03191,7.96692,8948.23564,19759.17569,1991.54681,7523.01209,1636.8979,4551.60967,1395.43115,1776.38608,468.3967,872.47108,8920.35979,1862.93193,2052.91508,2133.84585,2607.42339,4667.58321,15293.73132,1559.02318,28116.77497,15618.96129,2188.5434,6924.78136,9631.22689,8698.53216,3529.34148,282003.81,17059.66838,13135.75992,4630.44571,6550.78398,13660.55197,1148.54911,4250.49111,4728.33505,16848.10455,3392.93775
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
