,专用设备制造业规模以上工业企业资产总计,交通运输设备制造业规模以上工业企业资产总计,仪器仪表及文化、办公用机械制造业规模以上工业企业资产总计,其他采矿业规模以上工业企业资产总计,农副食品加工业规模以上工业企业资产总计,化学原料及化学制品制造业规模以上工业企业资产总计,化学纤维制造业规模以上工业企业资产总计,医药制造业规模以上工业企业资产总计,印刷业和记录媒介的复制规模以上工业企业资产总计,塑料制品业规模以上工业企业资产总计,家具制造业规模以上工业企业资产总计,工艺品及其他制造业规模以上工业企业资产总计,废弃资源和废旧材料回收加工业规模以上工业企业资产总计,文教体育用品制造业规模以上工业企业资产总计,有色金属冶炼及压延加工业规模以上工业企业资产总计,有色金属矿采选业规模以上工业企业资产总计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业资产总计,橡胶制品业规模以上工业企业资产总计,水的生产和供应业规模以上工业企业资产总计,烟草制品业规模以上工业企业资产总计,煤炭开采和洗选业规模以上工业企业资产总计,燃气生产和供应业规模以上工业企业资产总计,电力、热力的生产和供应业规模以上工业企业资产总计,电气机械及器材制造业规模以上工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业资产总计,石油加工、炼焦及核燃料加工业规模以上工业企业资产总计,石油和天然气开采业规模以上工业企业资产总计,纺织业规模以上工业企业资产总计,纺织服装、鞋、帽制造业规模以上工业企业资产总计,规模以上工业企业资产总计,通信设备、计算机及其他电子设备制造规模以上工业企业资产总计,通用设备制造业规模以上工业企业资产总计,造纸及纸制品业规模以上工业企业资产总计,金属制品业规模以上工业企业资产总计,非金属矿物制品业规模以上工业企业资产总计,非金属矿采选业规模以上工业企业资产总计,食品制造业规模以上工业企业资产总计,饮料制造业规模以上工业企业资产总计,黑色金属冶炼及压延加工业规模以上工业企业资产总计,黑色金属矿采选业规模以上工业企业资产总计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,4816.05313,11916.40937,1524.04303,44.75772,4141.81661,10704.0855,1595.12607,4316.44696,1370.87529,2959.6723,616.178,884.51877,26.0279,711.58548,4042.54908,614.18824,906.90804,1423.81527,2149.017,2799.50747,5433.01063,818.71504,25651.01848,7373.49944,1334.25836,3978.97656,4944.97425,7801.29096,2377.25433,168807.7,12086.96865,6604.63967,3293.44773,3256.62597,7583.30648,712.43432,2307.28981,3192.51795,12021.23954,472.64695
2004年,5781.81326,14432.1332,1908.6327,6.52558,5107.76874,12744.0181,2122.46014,4719.02522,1596.36242,3952.87505,901.20622,1299.4242,108.07399,906.95732,5412.24168,763.78846,1214.62011,1833.0242,2746.94767,3014.85157,7065.5721,1094.27504,36535.00891,9484.15834,1663.15342,5118.22454,6033.04207,9352.12235,2805.1282,215358.0,15759.05719,8889.28213,4146.79013,4230.4688,9375.44757,695.35238,2851.34776,3251.97879,15595.01089,840.29782
2005年,6391.12583,16108.05015,2226.09219,5.86905,5750.69231,15175.8492,2461.40917,5549.82657,1772.83257,4432.37656,1032.77715,1365.98059,126.36752,1014.56146,6569.48979,968.63565,1338.7262,1956.2759,2896.75194,3261.77735,8693.48097,1186.15133,39375.45549,11062.69461,1955.44084,6490.7726,6751.78395,10357.97446,3188.77471,244784.25,18063.23673,9886.06094,4660.00458,4769.26763,10370.69148,682.49264,3252.85497,3513.79393,18950.64947,1167.19657
2006年,7671.58489,19606.80583,2681.87572,2.1678,6924.30358,18485.86199,2736.39553,6136.43454,1973.75233,5146.02855,1320.52974,1664.55144,195.88013,1172.63726,8562.87305,1459.04752,1615.99088,2250.41939,3596.52254,3521.33463,11069.94698,1465.70807,46456.90071,13221.03834,2247.25988,7584.78369,8155.62762,11806.96993,3928.66438,291214.51,20500.9356,11700.84322,5325.50139,5898.50828,11937.18184,853.94444,3688.96128,4073.04399,23117.6289,1456.06234
2007年,9962.73026,25189.95799,3137.87106,3.40161,8798.12741,22420.71091,3462.37308,6916.55401,2257.69379,5966.67259,1655.92154,2129.01273,272.26651,1366.3949,11407.1772,1813.32534,2048.13343,2749.66117,3849.09071,3767.92946,13864.20602,1632.60938,53484.80054,16411.67623,2648.93807,9398.79333,9930.77919,13734.66447,4559.14897,353037.37,24376.20295,14868.06991,6115.13251,7494.00705,13971.51161,969.95339,4415.7703,4902.57824,29097.44056,1986.0857
2008年,13538.49716,31145.43621,3812.59021,4.07142,10977.16563,27567.50768,3366.00509,7881.95523,2643.07558,7019.57727,1941.2399,2466.16549,548.95043,1595.32919,14130.87991,2290.29971,2744.60815,3303.22666,4394.15651,4428.49807,19457.73625,2201.68521,62237.93918,20747.84655,3025.08736,11698.90832,12806.57903,15336.5688,5655.87945,431305.55,27012.93002,19461.3653,7448.77351,9590.38053,17927.35956,1330.0155,5244.04746,5946.24104,35197.00182,3179.96763
2009年,15448.08441,38095.72808,4543.98623,5.2801,13344.9169,31825.71443,3389.55571,9341.3298,2855.98594,7624.38643,2126.59046,2785.03993,746.29957,1651.30034,16455.60088,2548.66525,2979.74005,3525.85985,4962.00051,4940.0786,23790.08562,3379.3558,69086.9908,24224.63442,3295.86756,12983.90812,14890.12754,16330.18298,5946.06346,493692.86,29737.50192,22363.37393,8084.37594,10954.0562,20820.55054,1531.03745,6155.03159,6589.64681,41009.75789,3324.16855
2010年,19561.44928,47981.05039,5168.62011,16.22891,16731.34803,38771.98849,4204.801,11116.39792,3216.39343,9210.96732,2639.06639,3329.97749,923.55911,1829.93245,20298.1299,3083.4659,3541.82933,4133.97617,5539.15313,5484.03957,29941.65842,2982.87165,76725.40871,31717.93707,3907.4375,15669.15332,16692.04565,18789.9869,7026.08387,592881.89,37719.79915,27615.27392,9655.28945,13155.2885,25567.36944,1882.29849,7229.40511,7852.82804,45984.25272,5985.12554
2011年,22778.00968,54340.8424,6076.73837,12.68953,19725.22027,44919.06086,5236.95641,13220.50957,3147.30634,9640.08584,2951.97798,4087.00902,1311.79393,1790.51596,23710.49293,3557.85056,3797.46009,4865.6783,5648.82507,6169.24582,37936.2715,3457.71451,83820.65065,37583.85543,4260.10201,18870.46935,18785.19622,19993.34451,7468.30164,675796.86,41510.83425,29853.76572,10933.73505,15191.46555,29888.96432,2120.85003,8511.61299,9441.17918,52025.11775,7155.16376
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
