,专用设备制造业规模以上工业企业国家资本金,交通运输设备制造业规模以上工业企业国家资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业国家资本金,其他采矿业规模以上工业企业国家资本金,农副食品加工业规模以上工业企业国家资本金,化学原料及化学制品制造业规模以上工业企业国家资本金,化学纤维制造业规模以上工业企业国家资本金,医药制造业规模以上工业企业国家资本金,印刷业和记录媒介的复制规模以上工业企业国家资本金,塑料制品业规模以上工业企业国家资本金,家具制造业规模以上工业企业国家资本金,工艺品及其他制造业规模以上工业企业国家资本金,废弃资源和废旧材料回收加工业规模以上工业企业国家资本金,文教体育用品制造业规模以上工业企业国家资本金,有色金属冶炼及压延加工业规模以上工业企业国家资本金,有色金属矿采选业规模以上工业企业国家资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业国家资本金,橡胶制品业规模以上工业企业国家资本金,水的生产和供应业规模以上工业企业国家资本金,烟草制品业规模以上工业企业国家资本金,煤炭开采和洗选业规模以上工业企业国家资本金,燃气生产和供应业规模以上工业企业国家资本金,电力、热力的生产和供应业规模以上工业企业国家资本金,电气机械及器材制造业规模以上工业企业国家资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业国家资本金,石油加工、炼焦及核燃料加工业规模以上工业企业国家资本金,石油和天然气开采业规模以上工业企业国家资本金,纺织业规模以上工业企业国家资本金,纺织服装、鞋、帽制造业规模以上工业企业国家资本金,规模以上工业企业国家资本金,通信设备、计算机及其他电子设备制造规模以上工业企业国家资本金,通用设备制造业规模以上工业企业国家资本金,造纸及纸制品业规模以上工业企业国家资本金,金属制品业规模以上工业企业国家资本金,非金属矿物制品业规模以上工业企业国家资本金,非金属矿采选业规模以上工业企业国家资本金,食品制造业规模以上工业企业国家资本金,饮料制造业规模以上工业企业国家资本金,黑色金属冶炼及压延加工业规模以上工业企业国家资本金,黑色金属矿采选业规模以上工业企业国家资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,330.37108,861.19388,67.24341,5.58431,180.51446,801.52348,97.18138,223.65538,120.34967,68.2892,12.73789,12.00506,0.16197,13.56332,419.14046,74.50017,40.69518,57.4868,578.33332,340.59692,1257.57943,196.68713,2871.98726,190.79722,10.24185,388.45096,737.75116,280.39877,22.36843,13561.12031,323.55941,336.12154,155.42257,87.64582,436.42531,118.68375,75.22282,192.48792,1461.64535,112.51627
2004年,322.77033,1173.60544,67.88247,0.06426,149.99783,803.5012,111.83967,193.2237,118.08758,67.31974,11.70311,47.62451,0.46893,7.26788,359.21328,89.13337,49.83937,53.581,672.91359,374.36629,1227.05781,208.61186,5709.2982,213.11366,9.80564,466.67498,1172.62015,231.19974,22.72947,16946.87,281.85938,347.25334,146.11149,94.20499,413.98944,102.92569,57.8403,168.75757,1283.54955,114.8592
2005年,271.41787,571.83154,54.2661,0.73259,119.48669,803.86373,109.82918,204.92851,115.81516,64.85668,9.527,30.80422,1.69213,8.63432,435.3954,60.78539,41.55933,34.40951,647.62667,379.86831,1229.18767,186.88845,5197.05031,175.386,6.83518,514.36899,1322.18241,188.63714,17.98218,15551.84153,245.60942,261.59933,136.25733,69.14825,332.92146,51.22052,58.18788,123.51553,1353.45643,114.07672
2006年,298.23035,785.88756,62.96317,0.03048,129.58835,861.04727,101.92166,192.18956,108.59701,75.90397,9.58096,32.0722,1.60521,6.31889,522.64688,63.37014,37.35853,32.51064,735.26717,289.22874,1266.6353,188.5512,6189.61423,182.14353,3.39912,556.11355,1193.77295,157.50409,17.96624,16933.51,244.08572,305.17514,108.39014,73.47727,316.04277,43.7364,49.76212,115.46279,1388.09092,187.26739
2007年,294.22287,780.76225,44.77407,0.01322,98.23776,926.72691,103.35686,180.11024,93.80949,61.52052,8.62065,26.78792,5.74557,6.38175,518.12121,55.3553,37.17432,33.44984,720.57289,153.4354,1297.43238,208.23088,6188.46092,179.1504,3.74018,1075.25803,1479.30801,144.23779,14.52017,17588.91929,311.37279,360.28501,97.1302,84.72152,276.40456,38.78266,46.73217,111.13757,1408.35962,114.47539
2008年,316.82985,845.71657,71.79469,0.01389,116.91696,1302.48858,97.69757,178.99987,98.64888,37.49506,8.44597,21.30468,11.24831,11.45534,669.71459,102.82713,23.31373,42.28797,798.47171,177.15742,1683.61391,195.35958,7616.99198,188.53654,3.28939,1599.66705,3074.87399,119.37851,19.14017,22859.26713,338.24238,325.07543,138.3893,92.74207,383.12343,40.84718,61.65267,123.21866,1734.59814,187.69798
2009年,353.16007,837.79107,55.60143,0.01389,110.12098,945.81435,88.41549,169.18035,87.68147,42.62704,0.9423,19.97157,11.52205,5.50953,623.42878,81.85762,21.5554,29.28129,866.66275,193.93381,1401.53506,178.1694,7583.95921,204.88278,2.88067,1197.02783,2516.12448,113.35402,11.87007,21321.01674,359.50069,358.96678,126.24971,130.11749,360.25367,60.03679,58.91648,111.75802,1768.36797,231.97438
2010年,391.32007,1068.04181,54.6086,0.0,128.37513,837.02012,72.25775,159.43976,89.98997,36.02559,1.50285,32.62041,2.70987,9.05307,679.35275,82.9224,18.48333,21.11604,932.419,138.22247,1338.24938,164.84063,6273.37865,233.11602,2.37811,1355.50913,2468.95001,121.03091,13.44639,20404.37269,271.58928,333.20814,166.06768,129.25467,362.75919,79.86673,57.23597,115.99299,1734.75209,427.26573
2011年,379.63287,1135.13247,109.06001,0.0,110.40238,1095.79805,97.10584,240.06761,74.94143,43.27319,2.53922,24.0029,7.85138,8.23433,812.20662,146.66321,16.55094,40.14732,893.74393,166.04436,1560.87655,211.22669,6233.16341,226.1549,2.29008,1796.58841,3363.11434,89.00884,15.09352,22601.38116,462.73863,405.03262,232.06333,154.41125,414.26243,77.43887,56.49461,136.77456,1231.64525,529.60481
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
