,专用设备制造业规模以上工业企业销售费用,交通运输设备制造业规模以上工业企业销售费用,仪器仪表及文化、办公用机械制造业规模以上工业企业销售费用,其他采矿业规模以上工业企业销售费用,农副食品加工业规模以上工业企业销售费用,化学原料及化学制品制造业规模以上工业企业销售费用,化学纤维制造业规模以上工业企业销售费用,医药制造业规模以上工业企业销售费用,印刷业和记录媒介的复制规模以上工业企业销售费用,塑料制品业规模以上工业企业销售费用,家具制造业规模以上工业企业销售费用,工艺品及其他制造业规模以上工业企业销售费用,废弃资源和废旧材料回收加工业规模以上工业企业销售费用,文教体育用品制造业规模以上工业企业销售费用,有色金属冶炼及压延加工业规模以上工业企业销售费用,有色金属矿采选业规模以上工业企业销售费用,木材加工及木、竹、藤、棕、草制品业规模以上工业企业销售费用,橡胶制品业规模以上工业企业销售费用,水的生产和供应业规模以上工业企业销售费用,烟草制品业规模以上工业企业销售费用,煤炭开采和洗选业规模以上工业企业销售费用,燃气生产和供应业规模以上工业企业销售费用,电力、热力的生产和供应业规模以上工业企业销售费用,电气机械及器材制造业规模以上工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业销售费用,石油加工、炼焦及核燃料加工业规模以上工业企业销售费用,石油和天然气开采业规模以上工业企业销售费用,纺织业规模以上工业企业销售费用,纺织服装、鞋、帽制造业规模以上工业企业销售费用,规模以上工业企业销售费用,通信设备、计算机及其他电子设备制造规模以上工业企业销售费用,通用设备制造业规模以上工业企业销售费用,造纸及纸制品业规模以上工业企业销售费用,金属制品业规模以上工业企业销售费用,非金属矿物制品业规模以上工业企业销售费用,非金属矿采选业规模以上工业企业销售费用,食品制造业规模以上工业企业销售费用,饮料制造业规模以上工业企业销售费用,黑色金属冶炼及压延加工业规模以上工业企业销售费用,黑色金属矿采选业规模以上工业企业销售费用
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,135.64804,357.32991,62.4863,0.49837,166.80129,446.5918,19.40028,417.6001,28.00928,83.56187,29.86173,37.29146,0.46385,28.06721,53.76133,13.2559,31.46418,50.03337,19.84816,81.30259,170.24397,14.12523,61.10835,400.39518,50.66555,89.7477,28.16481,132.90315,113.41386,4948.54182,512.5799,214.00542,80.28636,115.48308,230.8884,35.0623,225.70635,273.74979,124.10679,12.62861
2004年,199.03235,409.60887,74.23697,0.09787,212.14398,572.23384,20.47771,468.73008,29.56142,111.35775,42.01571,42.05306,2.97019,33.84969,76.6501,13.89621,40.56095,64.5842,24.01748,85.82963,212.19268,19.84538,42.17616,514.64998,57.29947,113.31517,37.56324,171.85443,125.32466,6045.35,615.22729,279.94554,100.67945,135.42122,284.4849,36.37703,285.80327,292.36671,175.6098,21.30361
2005年,204.88647,488.32703,88.98384,0.46959,272.96422,679.11264,23.92492,559.78952,35.49367,120.3119,55.01029,55.91374,5.50887,39.58754,93.71736,22.6883,52.10738,72.91095,28.39163,90.39196,245.58095,23.83602,46.2416,597.93738,76.64249,137.43708,43.50143,203.96933,163.92555,7209.40978,737.42688,333.35037,115.70391,163.48321,338.02452,42.83532,354.84266,334.00834,227.58064,32.59028
2006年,259.77307,620.34745,107.23282,0.1913,325.38145,780.8626,26.65735,618.86112,41.55909,149.14075,67.72893,68.46227,6.44495,44.1354,114.14025,30.1932,68.18225,78.15277,37.76367,93.06491,331.91097,28.97689,52.13337,718.91062,83.93416,159.74607,43.63462,236.84298,198.49249,8592.7,852.82192,410.53986,136.93125,197.55709,411.551,52.4766,399.93704,403.86851,298.06676,36.09283
2007年,340.10442,789.6046,131.4762,0.39615,412.49332,951.44369,34.58742,716.44803,48.80129,184.87049,84.96307,84.31067,10.86039,51.40907,156.02317,38.09401,92.22336,96.24025,43.15749,84.50974,390.83475,38.01157,62.55846,892.52365,110.98712,211.41631,59.86458,291.14753,235.6095,10728.14583,1127.85678,527.94348,164.47219,251.50623,512.4275,67.55577,476.89258,485.19267,417.87019,51.45814
2008年,441.87775,955.5096,157.40568,0.36019,520.71743,1134.41708,34.34696,876.45961,62.68971,220.59736,107.51875,102.57645,20.64156,57.28273,215.37982,43.77676,125.81727,112.58988,50.39648,96.78561,507.54497,49.81949,75.67649,1085.02209,130.91598,249.78244,41.19777,321.98608,301.25471,12893.31007,1182.21936,653.98529,193.06967,323.70521,648.60671,89.49815,589.52392,577.54552,462.20136,72.60818
2009年,502.50258,1169.53633,168.0626,0.29664,610.32171,1252.05235,38.94074,1075.50632,66.47322,250.60303,111.55843,110.32869,20.45054,57.51729,203.35214,45.75121,132.99286,129.07581,55.56192,104.91111,531.23235,61.25076,107.87378,1209.12737,146.35309,206.27371,45.14341,346.0026,324.241,14137.42082,1104.26332,720.27222,219.26536,339.15123,714.81567,93.69792,705.65247,686.36636,396.92333,73.71935
2010年,670.81197,1535.07843,204.96591,1.1835,775.47607,1527.66125,50.17184,1294.264,80.53662,308.0477,138.46139,132.15212,24.93634,72.12684,264.54597,59.54278,173.85169,148.6532,67.46543,122.48735,662.58578,67.32481,152.06971,1564.49317,192.61523,249.52101,56.36867,429.69056,418.92419,17520.2741,1243.3841,901.07917,271.13634,434.49105,902.96123,114.85036,823.02347,793.54874,483.00271,106.7834
2011年,829.98344,1612.25061,235.98045,0.40084,920.94546,1734.45806,60.40841,1577.67067,89.3682,585.87935,160.10492,146.19823,28.25737,72.32609,309.6793,66.82819,200.14852,173.82215,71.27103,143.23265,825.43602,80.10849,199.05635,1676.78255,225.13509,281.30056,51.90595,477.95123,450.20338,20259.62828,1411.2141,1027.45223,292.90817,472.94155,1054.87441,132.61057,973.03485,955.13423,531.56871,120.7959
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
