,专用设备制造业规模以上工业企业集体资本金,交通运输设备制造业规模以上工业企业集体资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业集体资本金,其他采矿业规模以上工业企业集体资本金,农副食品加工业规模以上工业企业集体资本金,化学原料及化学制品制造业规模以上工业企业集体资本金,化学纤维制造业规模以上工业企业集体资本金,医药制造业规模以上工业企业集体资本金,印刷业和记录媒介的复制规模以上工业企业集体资本金,塑料制品业规模以上工业企业集体资本金,家具制造业规模以上工业企业集体资本金,工艺品及其他制造业规模以上工业企业集体资本金,废弃资源和废旧材料回收加工业规模以上工业企业集体资本金,文教体育用品制造业规模以上工业企业集体资本金,有色金属冶炼及压延加工业规模以上工业企业集体资本金,有色金属矿采选业规模以上工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业集体资本金,橡胶制品业规模以上工业企业集体资本金,水的生产和供应业规模以上工业企业集体资本金,烟草制品业规模以上工业企业集体资本金,煤炭开采和洗选业规模以上工业企业集体资本金,燃气生产和供应业规模以上工业企业集体资本金,电力、热力的生产和供应业规模以上工业企业集体资本金,电气机械及器材制造业规模以上工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业集体资本金,石油加工、炼焦及核燃料加工业规模以上工业企业集体资本金,石油和天然气开采业规模以上工业企业集体资本金,纺织业规模以上工业企业集体资本金,纺织服装、鞋、帽制造业规模以上工业企业集体资本金,规模以上工业企业集体资本金,通信设备、计算机及其他电子设备制造规模以上工业企业集体资本金,通用设备制造业规模以上工业企业集体资本金,造纸及纸制品业规模以上工业企业集体资本金,金属制品业规模以上工业企业集体资本金,非金属矿物制品业规模以上工业企业集体资本金,非金属矿采选业规模以上工业企业集体资本金,食品制造业规模以上工业企业集体资本金,饮料制造业规模以上工业企业集体资本金,黑色金属冶炼及压延加工业规模以上工业企业集体资本金,黑色金属矿采选业规模以上工业企业集体资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,48.2701,84.87576,15.30352,0.03618,80.78675,123.58265,19.63767,59.72907,24.64225,74.59255,10.74654,20.4986,0.91994,9.1727,49.59853,22.08997,20.41168,20.91682,18.4479,2.19575,57.91757,2.5671,115.5996,118.51882,17.1604,20.37519,2.5194,159.87961,53.29732,1894.00552,35.18657,95.21193,57.11971,80.97301,191.90809,12.59258,36.2615,26.91331,94.7187,8.83018
2004年,47.11947,69.27787,10.82071,1.27733,62.28224,111.73849,18.64189,55.49154,24.76462,66.78065,7.55983,16.60213,3.1199,7.90022,82.04737,22.01482,13.47445,16.37454,24.20194,1.75628,64.46267,4.60413,96.35471,120.54285,14.88746,18.30714,54.86371,107.35531,43.7142,1817.48,38.92204,101.22929,59.25562,67.599,167.90915,14.26477,34.82765,27.74449,104.68164,12.70677
2005年,38.4099,68.5533,12.0406,0.2593,66.40685,113.96075,19.17994,48.80073,22.17703,53.01298,7.0982,16.93758,2.68948,6.55063,38.83246,19.97779,11.12524,12.82496,20.33733,2.6593,71.61059,5.94526,65.07084,106.33881,11.19373,22.60302,20.62844,84.08309,32.57732,1550.72549,29.93478,79.98307,66.66107,57.77289,146.43796,13.17861,26.11988,23.79215,95.37379,9.58584
2006年,50.86666,76.2933,11.48649,0.0,77.6804,126.44431,10.838,58.0204,21.6626,36.98677,4.62048,16.29515,4.13555,6.80735,50.36533,29.37028,13.96692,11.20258,24.6769,2.76722,92.46192,3.09282,66.91347,115.47456,12.023,37.78037,19.68103,78.6304,36.74988,1723.82,79.6517,87.07445,58.36653,62.58023,159.38717,12.458,33.32938,42.17981,80.70658,10.79297
2007年,45.40442,98.06258,16.02733,0.025,95.99472,126.74247,15.6939,55.03486,26.32461,38.97902,4.80267,16.94854,2.37342,7.0413,95.0506,39.37538,10.41928,12.23322,30.12556,4.43154,105.72897,3.79753,109.5938,120.86459,11.42637,29.77142,20.52967,95.79174,28.13498,1941.28647,99.34778,85.72757,58.48973,52.34455,156.34154,14.19389,51.75431,38.80338,107.28032,10.27391
2008年,48.48023,79.67663,13.28347,0.04829,75.43594,130.8689,7.92142,68.22501,28.84369,46.2794,5.84042,13.76363,4.91111,5.3859,70.91445,52.04183,14.27451,14.01904,26.77374,1.40036,124.0792,10.91826,139.0588,127.98417,10.18554,17.52214,16.64665,79.16783,27.05357,1890.71929,37.90123,87.02186,63.87198,63.64357,162.18593,16.27426,36.33766,32.54354,116.06379,13.87134
2009年,49.20967,73.48533,9.50688,0.0501,62.57104,111.8775,12.24578,55.20406,23.53722,29.28178,3.55969,14.57191,5.51398,5.06816,50.11875,47.14642,11.02922,15.99126,35.91276,1.72291,108.60307,18.94142,177.73104,146.02976,8.67776,22.93518,21.48417,65.65535,21.57325,1862.96086,55.47597,90.21078,75.91211,55.13224,167.2129,16.98657,25.96803,30.01555,122.19859,14.6127
2010年,55.69562,135.76482,11.0465,0.0301,79.9149,132.5605,14.33507,63.77136,25.00968,30.97285,6.30993,11.78666,6.08406,10.53977,67.8291,55.14091,10.83718,19.83536,26.04543,1.61738,129.9745,5.59477,173.77523,114.89943,7.26006,28.45876,15.79154,56.60577,20.93505,1968.22485,48.13247,90.23754,66.38055,53.96691,155.69782,12.91721,27.15996,46.91725,132.05229,16.34056
2011年,52.24315,103.50212,11.82255,0.005,63.96229,138.80273,15.12959,81.56993,21.40017,31.94608,3.16065,9.24458,4.75075,4.94915,60.64265,64.55839,12.21062,23.50891,18.22117,3.53991,127.18639,5.14604,153.47978,131.34248,6.82524,30.49618,13.91979,55.22273,18.96061,2080.46583,37.31052,77.17613,53.64851,46.91805,144.61903,13.28995,25.99466,47.11022,351.81018,14.83895
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
