,专用设备制造业规模以上工业企业累计折旧,交通运输设备制造业规模以上工业企业累计折旧,仪器仪表及文化、办公用机械制造业规模以上工业企业累计折旧,其他采矿业规模以上工业企业累计折旧,农副食品加工业规模以上工业企业累计折旧,化学原料及化学制品制造业规模以上工业企业累计折旧,化学纤维制造业规模以上工业企业累计折旧,医药制造业规模以上工业企业累计折旧,印刷业和记录媒介的复制规模以上工业企业累计折旧,塑料制品业规模以上工业企业累计折旧,家具制造业规模以上工业企业累计折旧,工艺品及其他制造业规模以上工业企业累计折旧,废弃资源和废旧材料回收加工业规模以上工业企业累计折旧,文教体育用品制造业规模以上工业企业累计折旧,有色金属冶炼及压延加工业规模以上工业企业累计折旧,有色金属矿采选业规模以上工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业规模以上工业企业累计折旧,橡胶制品业规模以上工业企业累计折旧,水的生产和供应业规模以上工业企业累计折旧,烟草制品业规模以上工业企业累计折旧,煤炭开采和洗选业规模以上工业企业累计折旧,燃气生产和供应业规模以上工业企业累计折旧,电力、热力的生产和供应业规模以上工业企业累计折旧,电气机械及器材制造业规模以上工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业累计折旧,石油加工、炼焦及核燃料加工业规模以上工业企业累计折旧,石油和天然气开采业规模以上工业企业累计折旧,纺织业规模以上工业企业累计折旧,纺织服装、鞋、帽制造业规模以上工业企业累计折旧,规模以上工业企业累计折旧,通信设备、计算机及其他电子设备制造规模以上工业企业累计折旧,通用设备制造业规模以上工业企业累计折旧,造纸及纸制品业规模以上工业企业累计折旧,金属制品业规模以上工业企业累计折旧,非金属矿物制品业规模以上工业企业累计折旧,非金属矿采选业规模以上工业企业累计折旧,食品制造业规模以上工业企业累计折旧,饮料制造业规模以上工业企业累计折旧,黑色金属冶炼及压延加工业规模以上工业企业累计折旧,黑色金属矿采选业规模以上工业企业累计折旧
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,753.62726,1751.51641,213.34381,7.51291,567.63194,2670.21729,407.76276,489.82851,320.87084,520.91614,76.77678,109.76815,2.75977,113.59051,798.39237,144.33838,139.42984,258.90256,555.79665,468.57465,1402.10496,169.29137,7865.75258,984.4368,160.71509,1607.22648,3569.55627,1403.69983,308.55289,37323.58984,1563.62395,1041.42837,522.29235,474.18471,1518.05334,125.96497,373.35683,566.49541,3202.75343,92.54268
2004年,792.03659,1987.18386,241.37877,1.78847,649.45277,2970.15071,472.03128,558.32101,367.76863,638.30228,95.22045,169.67256,7.08784,140.60996,930.4479,150.85161,167.86219,285.76723,677.09515,533.52414,1601.94396,210.09946,9596.68182,1120.71576,190.97896,1798.68786,4280.82682,1588.64047,351.69536,43624.39,1957.14017,1201.81227,644.40508,536.01918,1755.58586,130.10137,446.853,597.22275,3649.69576,128.72854
2005年,851.79494,2383.72423,276.95503,2.10717,759.25191,3290.76773,558.312,703.73437,423.02887,724.22677,116.25138,181.01216,10.44245,155.65653,1122.86412,164.63978,200.09035,319.65553,757.40005,608.01785,1889.27452,239.39364,11165.14812,1294.73732,222.99752,2180.60691,4616.89001,1769.54653,404.27412,50341.05944,2477.90385,1365.96797,752.16415,645.96189,1962.67152,119.23182,527.36327,678.29796,4282.0385,136.6566
2006年,984.03345,2757.05241,341.84448,0.46129,911.94507,3832.21379,633.44231,850.83137,488.93199,855.82634,143.2246,206.0012,15.07268,178.25544,1281.39791,189.36792,238.7921,382.23829,898.18828,669.28276,2340.6152,270.74439,13241.86844,1504.93596,262.94845,2450.17412,5322.11673,2021.95348,482.83467,58900.82,3041.18248,1558.60723,901.83336,791.4511,2254.36971,155.29289,606.6022,767.20158,4908.15495,159.52539
2007年,1146.15561,3379.33666,396.88749,0.86553,1142.27649,4422.50829,715.17393,1076.70848,549.74058,998.73517,178.13656,249.35035,23.70856,202.72758,1607.09194,210.74008,303.1676,479.28485,999.69793,722.94752,2716.77997,281.87794,15582.2117,1809.59923,306.66614,2611.83547,6525.26358,2313.47715,561.29581,69615.70772,3869.46963,1806.44832,1048.62961,989.10557,2606.53101,179.2332,715.45658,881.16055,5756.38877,249.03629
2008年,1713.43269,4188.54844,483.29369,0.70476,1617.42171,5818.72537,740.25726,1331.66893,683.39921,1291.65037,260.26206,327.42805,59.42932,264.48091,2102.7219,291.25058,435.20891,621.61722,1262.04751,799.14075,3112.6843,342.31605,19279.29744,2618.18276,394.4202,3392.20898,6505.53185,2841.91815,785.95564,87059.53866,5069.61351,2585.64684,1372.38617,1441.58,3320.57014,253.2184,890.82001,1139.26361,7052.70977,368.5252
2009年,1869.31436,4842.84263,570.48964,2.84324,2432.8428,6474.44567,724.63748,1466.32586,726.4708,1490.41293,309.15685,372.66467,70.74317,283.8714,2731.03953,311.35691,509.75154,724.28879,1295.04935,881.51996,4087.04258,409.09855,21145.51899,3067.779,435.93729,3882.40328,6888.3251,3024.71747,870.26142,98894.67144,5831.71384,2908.82205,1512.59875,1661.26179,3741.00961,256.21908,1033.42494,1166.82485,8501.39058,380.25469
2010年,2478.05469,6621.18262,715.7303,9.38267,3686.97449,8305.55272,874.4792,1850.13349,834.46159,1862.15167,391.20722,456.2017,113.55677,310.88902,3433.34209,383.34408,700.80528,882.21919,1482.11698,944.66097,5451.5272,526.58721,25172.19411,3843.61025,543.12756,4594.14221,7610.86982,3684.04455,1001.74069,123546.79674,7311.42286,3898.9283,1853.93783,2099.62093,4632.83527,355.65906,1339.2347,1462.28389,11280.20578,548.37778
2011年,3318.84582,8315.05339,928.63478,2.67956,5357.9323,11045.95355,1196.82837,2320.21906,859.86394,2210.26717,472.02721,577.85757,182.74615,325.43962,4337.80858,472.65546,1068.88863,1229.69191,1587.6596,1009.88821,6693.41178,543.55934,29446.76073,6977.69628,657.57026,5668.45744,9764.55396,4447.67279,1225.7126,157312.32145,9138.12003,5030.35108,2835.40623,2665.72932,6102.44626,563.23489,1794.66506,1798.7546,14290.63028,846.64764
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
