,专用设备制造业规模以上工业企业法人资本金,交通运输设备制造业规模以上工业企业法人资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业法人资本金,其他采矿业规模以上工业企业法人资本金,农副食品加工业规模以上工业企业法人资本金,化学原料及化学制品制造业规模以上工业企业法人资本金,化学纤维制造业规模以上工业企业法人资本金,医药制造业规模以上工业企业法人资本金,印刷业和记录媒介的复制规模以上工业企业法人资本金,塑料制品业规模以上工业企业法人资本金,家具制造业规模以上工业企业法人资本金,工艺品及其他制造业规模以上工业企业法人资本金,废弃资源和废旧材料回收加工业规模以上工业企业法人资本金,文教体育用品制造业规模以上工业企业法人资本金,有色金属冶炼及压延加工业规模以上工业企业法人资本金,有色金属矿采选业规模以上工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业法人资本金,橡胶制品业规模以上工业企业法人资本金,水的生产和供应业规模以上工业企业法人资本金,烟草制品业规模以上工业企业法人资本金,煤炭开采和洗选业规模以上工业企业法人资本金,燃气生产和供应业规模以上工业企业法人资本金,电力、热力的生产和供应业规模以上工业企业法人资本金,电气机械及器材制造业规模以上工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业法人资本金,石油加工、炼焦及核燃料加工业规模以上工业企业法人资本金,石油和天然气开采业规模以上工业企业法人资本金,纺织业规模以上工业企业法人资本金,纺织服装、鞋、帽制造业规模以上工业企业法人资本金,规模以上工业企业法人资本金,通信设备、计算机及其他电子设备制造规模以上工业企业法人资本金,通用设备制造业规模以上工业企业法人资本金,造纸及纸制品业规模以上工业企业法人资本金,金属制品业规模以上工业企业法人资本金,非金属矿物制品业规模以上工业企业法人资本金,非金属矿采选业规模以上工业企业法人资本金,食品制造业规模以上工业企业法人资本金,饮料制造业规模以上工业企业法人资本金,黑色金属冶炼及压延加工业规模以上工业企业法人资本金,黑色金属矿采选业规模以上工业企业法人资本金
2003年,376.5636,1009.32852,89.79853,0.05458,299.85013,1047.70462,108.23341,423.46842,98.85755,195.25065,37.39881,47.06921,1.07431,26.89793,315.43499,36.17521,76.56703,79.35616,81.42312,20.52138,318.55409,92.91091,1953.93785,437.57892,55.72208,695.8999,980.5795,435.48513,128.4074,12696.72534,604.76037,431.97112,181.22641,182.60692,611.77771,61.7961,168.306,208.38509,746.71157,29.08011
2004年,442.99997,1272.45654,129.95292,,368.41244,1402.1357,265.95926,515.17762,134.64893,250.27265,59.49552,73.30311,7.22746,37.58543,432.19455,49.14093,90.00686,119.914,138.21635,39.00277,482.31814,180.66097,3430.30976,601.84501,63.19501,563.88176,1277.11212,527.9712,160.86066,17557.94,856.34452,582.79734,229.54793,268.41947,817.16665,58.37202,244.78633,281.02368,993.40171,109.8196
2005年,466.57055,1849.6025,136.57531,0.0715,465.66764,1501.5861,286.07408,573.43004,146.67931,279.59035,58.04087,76.17354,4.91457,41.94812,515.71531,112.10629,107.96146,120.67335,153.59005,58.84022,550.00962,187.64135,3783.22921,624.06025,75.22757,867.97155,1215.79769,708.89377,180.76482,20082.72124,829.00455,648.31802,244.93126,306.29158,987.06812,59.80829,267.44459,304.35043,1151.30494,134.79247
2006年,494.08828,1729.03064,137.26476,0.1935,532.76043,1838.01451,340.25445,622.83128,164.62071,305.41143,67.36835,92.75907,7.05045,43.51205,566.93069,150.74589,131.11989,134.17682,192.09696,220.7839,719.38809,218.72026,4417.156,752.78337,91.23635,939.84046,1615.42837,653.18004,237.83838,22978.67,894.04029,754.48751,353.25647,352.91742,1069.83006,87.56189,289.1676,336.7796,1341.03256,83.01024
2007年,591.73371,2081.89133,168.6752,0.73682,699.71722,2309.30364,357.82874,701.38011,196.91164,399.67404,93.88216,121.19107,10.62622,52.83741,764.73164,165.43488,174.56737,154.67617,215.97451,380.28069,913.63568,133.6651,4939.81358,906.12281,129.54284,1027.72096,1870.10327,799.4065,281.49488,27150.60602,974.3527,887.88626,412.54472,454.95637,1337.13995,96.12555,349.58999,384.74288,1413.92449,195.78292
2008年,967.04137,2654.71386,281.03573,0.87542,865.2191,2565.28632,329.53792,775.74919,255.0523,456.04027,120.79006,140.56772,41.61442,71.75513,1034.07956,203.48561,232.51479,167.79683,271.04625,578.4455,1144.30003,261.97601,5223.1743,1300.57352,149.61726,1448.18201,2262.67556,926.14528,333.99658,33851.08252,1568.03518,1192.25079,549.48022,630.47376,1644.11625,127.09886,415.24709,448.92845,1962.31021,249.85381
2009年,1019.39007,2992.34084,298.00562,0.2446,997.16642,3106.16909,340.4125,879.75218,278.58478,550.77525,140.30197,177.13176,46.91095,86.30026,1280.76607,239.12299,252.53067,201.40491,302.01986,630.52429,1680.84471,302.926,6165.97742,1587.06814,180.2091,1321.07074,1981.27532,984.20206,367.67592,39146.85282,1675.75331,1549.90262,679.74698,772.56205,1965.06054,140.03038,520.20635,514.33112,2707.15937,230.99561
2010年,1346.22141,3358.59678,346.73928,0.7231,1141.66124,3727.64341,327.54009,987.35102,298.86406,663.47117,175.34514,213.21937,57.19731,92.74343,1519.54768,302.94548,316.89474,229.82371,380.03632,644.32626,2170.72606,342.33445,7285.41361,2029.91139,194.58983,1433.35017,2563.10777,1118.01745,426.50608,46337.12348,2147.90582,1889.89583,723.07145,872.75283,2411.0487,156.25151,563.13662,643.64269,2815.4401,419.13012
2011年,1638.13275,4025.50792,325.87679,0.43635,1343.71048,4002.24928,359.7985,1098.66517,297.00096,710.95396,183.37103,284.08805,67.54888,88.33036,1749.36101,310.04799,331.88202,248.26872,420.64443,725.37328,2415.44552,365.84013,8051.99995,2545.87867,249.40247,1930.97729,2724.65914,1379.96325,452.9614,53035.07365,2584.45179,1926.20049,755.95657,962.4668,2803.53052,179.10088,715.28428,699.67255,3636.74026,443.29376
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
