,专用设备制造业规模以上工业企业法人资本金,交通运输设备制造业规模以上工业企业法人资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业法人资本金,其他采矿业规模以上工业企业法人资本金,农副食品加工业规模以上工业企业法人资本金,化学原料及化学制品制造业规模以上工业企业法人资本金,化学纤维制造业规模以上工业企业法人资本金,医药制造业规模以上工业企业法人资本金,印刷业和记录媒介的复制规模以上工业企业法人资本金,塑料制品业规模以上工业企业法人资本金,家具制造业规模以上工业企业法人资本金,工艺品及其他制造业规模以上工业企业法人资本金,废弃资源和废旧材料回收加工业规模以上工业企业法人资本金,文教体育用品制造业规模以上工业企业法人资本金,有色金属冶炼及压延加工业规模以上工业企业法人资本金,有色金属矿采选业规模以上工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业法人资本金,橡胶制品业规模以上工业企业法人资本金,水的生产和供应业规模以上工业企业法人资本金,烟草制品业规模以上工业企业法人资本金,煤炭开采和洗选业规模以上工业企业法人资本金,燃气生产和供应业规模以上工业企业法人资本金,电力、热力的生产和供应业规模以上工业企业法人资本金,电气机械及器材制造业规模以上工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业法人资本金,石油加工、炼焦及核燃料加工业规模以上工业企业法人资本金,石油和天然气开采业规模以上工业企业法人资本金,纺织业规模以上工业企业法人资本金,纺织服装、鞋、帽制造业规模以上工业企业法人资本金,规模以上工业企业法人资本金,通信设备、计算机及其他电子设备制造规模以上工业企业法人资本金,通用设备制造业规模以上工业企业法人资本金,造纸及纸制品业规模以上工业企业法人资本金,金属制品业规模以上工业企业法人资本金,非金属矿物制品业规模以上工业企业法人资本金,非金属矿采选业规模以上工业企业法人资本金,食品制造业规模以上工业企业法人资本金,饮料制造业规模以上工业企业法人资本金,黑色金属冶炼及压延加工业规模以上工业企业法人资本金,黑色金属矿采选业规模以上工业企业法人资本金
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
