,专用设备制造业规模以上工业企业外商资本金,交通运输设备制造业规模以上工业企业外商资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业外商资本金,其他采矿业规模以上工业企业外商资本金,农副食品加工业规模以上工业企业外商资本金,化学原料及化学制品制造业规模以上工业企业外商资本金,化学纤维制造业规模以上工业企业外商资本金,医药制造业规模以上工业企业外商资本金,印刷业和记录媒介的复制规模以上工业企业外商资本金,塑料制品业规模以上工业企业外商资本金,家具制造业规模以上工业企业外商资本金,工艺品及其他制造业规模以上工业企业外商资本金,废弃资源和废旧材料回收加工业规模以上工业企业外商资本金,文教体育用品制造业规模以上工业企业外商资本金,有色金属冶炼及压延加工业规模以上工业企业外商资本金,有色金属矿采选业规模以上工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业外商资本金,橡胶制品业规模以上工业企业外商资本金,水的生产和供应业规模以上工业企业外商资本金,烟草制品业规模以上工业企业外商资本金,煤炭开采和洗选业规模以上工业企业外商资本金,燃气生产和供应业规模以上工业企业外商资本金,电力、热力的生产和供应业规模以上工业企业外商资本金,电气机械及器材制造业规模以上工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业外商资本金,石油加工、炼焦及核燃料加工业规模以上工业企业外商资本金,石油和天然气开采业规模以上工业企业外商资本金,纺织业规模以上工业企业外商资本金,纺织服装、鞋、帽制造业规模以上工业企业外商资本金,规模以上工业企业外商资本金,通信设备、计算机及其他电子设备制造规模以上工业企业外商资本金,通用设备制造业规模以上工业企业外商资本金,造纸及纸制品业规模以上工业企业外商资本金,金属制品业规模以上工业企业外商资本金,非金属矿物制品业规模以上工业企业外商资本金,非金属矿采选业规模以上工业企业外商资本金,食品制造业规模以上工业企业外商资本金,饮料制造业规模以上工业企业外商资本金,黑色金属冶炼及压延加工业规模以上工业企业外商资本金,黑色金属矿采选业规模以上工业企业外商资本金
2003年,121.56502,489.26898,119.75731,,171.97589,477.34853,57.62182,164.35591,40.18045,197.25676,35.67717,52.31192,2.22814,50.00834,68.96942,0.95116,45.72086,120.44162,15.11733,1.35273,2.70994,19.1118,242.48273,447.08296,72.06096,46.6876,3.30303,240.56427,132.8893,6092.56495,1110.66725,345.76189,209.13541,184.37059,269.49432,4.8623,213.32718,219.53863,95.99478,0.41065
2004年,235.05998,792.75399,165.10763,0.01328,241.35544,636.32947,88.42366,202.02292,48.42952,291.20034,68.76174,74.94641,4.48402,68.42315,87.09658,3.97681,59.117,176.48468,25.20668,1.29244,6.1481,26.336,293.71285,598.67188,122.5433,46.64428,6.62527,335.33344,151.16023,8671.64,1700.51426,474.53024,316.47574,235.85757,373.93077,7.73842,270.10511,245.69837,188.8134,0.31247
2005年,258.56226,844.46593,195.86445,0.47828,262.90786,763.86031,105.55777,246.92873,53.90997,303.73617,79.68463,78.98458,5.14021,85.33737,118.23445,3.14734,62.39874,191.74114,27.96515,0.00924,4.54879,29.62492,345.5244,668.04721,148.07002,52.76742,12.48487,371.93177,202.82805,9992.6713,2037.12907,556.8567,369.10358,280.9216,393.86179,7.22782,307.33965,271.221,243.88311,0.38495
2006年,349.61641,1141.33858,223.16932,0.01328,305.37587,1057.41545,110.10276,260.647,53.55787,348.3235,90.33081,84.67052,7.22616,98.38608,155.34861,6.6353,63.64483,198.62093,107.17614,0.44414,22.42157,53.10246,340.22778,745.00698,166.59318,62.34693,9.8849,409.76978,201.28169,11859.4,2441.99479,657.99685,381.38463,330.05764,452.92327,7.77096,322.21138,294.56367,297.4662,0.35349
2007年,449.4328,1427.49283,240.57138,0.01328,333.95471,1322.57167,131.77938,326.17063,60.82065,406.11706,115.77048,103.46409,9.22649,128.08514,189.91456,16.15825,71.87948,253.43596,112.17852,,24.45559,86.16795,393.05888,984.87428,194.36014,102.59121,12.08388,449.893,255.91127,14516.28867,2925.17849,794.20554,472.84381,402.46139,570.77748,10.95738,398.1794,341.96528,395.22529,2.06105
2008年,630.63157,1692.36117,298.81513,0.01328,406.20459,1561.7725,133.47973,370.09716,74.58869,530.96096,137.11813,119.04164,17.99134,147.89645,266.95024,16.64986,95.10036,308.38119,116.81894,0.26219,28.3681,85.77108,497.49701,1200.66424,213.94805,157.26393,0.34478,533.47002,309.56056,17278.26515,3346.88263,1028.06628,535.38958,499.46204,656.23912,15.80341,420.65006,401.17488,417.71754,4.85672
2009年,836.85386,1813.97999,343.47207,,426.2087,1838.33724,128.29857,396.61597,90.50059,523.99761,148.3028,123.7152,20.06944,152.70236,284.50823,18.28849,94.89554,335.17774,118.0566,0.3,27.93713,98.83454,483.90006,1256.4589,204.28502,163.02082,7.3968,552.76687,276.56601,18230.52998,3355.36426,1108.01327,551.46078,500.13454,655.74459,15.69971,421.70702,429.33923,424.88332,2.73611
2010年,808.87719,2000.95099,315.9424,,448.29981,2022.90399,137.06263,472.74292,92.24275,543.49983,167.82639,121.391,21.56845,152.10984,318.98198,9.81683,99.86822,386.09562,116.04651,,29.01626,93.91579,467.57889,1329.80224,212.83214,155.25313,8.862,610.80317,273.24195,19656.05908,3741.11043,1180.62189,728.14679,547.73298,681.48485,16.41568,479.2246,451.33629,409.68648,2.76617
2011年,787.89846,2104.39641,323.76325,,508.94809,2156.5412,126.32324,441.0506,66.4333,517.88683,141.60181,114.00798,23.77123,141.81976,303.72023,7.53223,74.75937,382.74829,173.33077,0.42416,34.54447,118.87247,350.64329,1386.36788,212.27758,157.54452,2.985,524.76818,245.46903,19755.88446,3681.28099,1274.01495,785.18385,537.31282,675.15499,12.59201,474.10892,454.36172,426.93032,4.51426
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
