,专用设备制造业规模以上工业企业应付帐款,交通运输设备制造业规模以上工业企业应付帐款,仪器仪表及文化、办公用机械制造业规模以上工业企业应付帐款,其他采矿业规模以上工业企业应付帐款,农副食品加工业规模以上工业企业应付帐款,化学原料及化学制品制造业规模以上工业企业应付帐款,化学纤维制造业规模以上工业企业应付帐款,医药制造业规模以上工业企业应付帐款,印刷业和记录媒介的复制规模以上工业企业应付帐款,塑料制品业规模以上工业企业应付帐款,家具制造业规模以上工业企业应付帐款,工艺品及其他制造业规模以上工业企业应付帐款,废弃资源和废旧材料回收加工业规模以上工业企业应付帐款,文教体育用品制造业规模以上工业企业应付帐款,有色金属冶炼及压延加工业规模以上工业企业应付帐款,有色金属矿采选业规模以上工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业规模以上工业企业应付帐款,橡胶制品业规模以上工业企业应付帐款,水的生产和供应业规模以上工业企业应付帐款,烟草制品业规模以上工业企业应付帐款,煤炭开采和洗选业规模以上工业企业应付帐款,燃气生产和供应业规模以上工业企业应付帐款,电力、热力的生产和供应业规模以上工业企业应付帐款,电气机械及器材制造业规模以上工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业应付帐款,石油加工、炼焦及核燃料加工业规模以上工业企业应付帐款,石油和天然气开采业规模以上工业企业应付帐款,纺织业规模以上工业企业应付帐款,纺织服装、鞋、帽制造业规模以上工业企业应付帐款,规模以上工业企业应付帐款,通信设备、计算机及其他电子设备制造规模以上工业企业应付帐款,通用设备制造业规模以上工业企业应付帐款,造纸及纸制品业规模以上工业企业应付帐款,金属制品业规模以上工业企业应付帐款,非金属矿物制品业规模以上工业企业应付帐款,非金属矿采选业规模以上工业企业应付帐款,食品制造业规模以上工业企业应付帐款,饮料制造业规模以上工业企业应付帐款,黑色金属冶炼及压延加工业规模以上工业企业应付帐款,黑色金属矿采选业规模以上工业企业应付帐款
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,621.56859,1842.30277,291.71477,2.05991,366.3931,927.06879,96.69935,367.82649,154.25151,355.93044,89.84438,121.71574,2.48151,130.51177,310.78124,29.80462,91.84545,156.93257,58.25539,218.52365,330.46726,42.82169,1084.30915,1210.91957,235.43027,321.30736,374.70068,651.14609,336.62373,17848.44784,3190.59786,850.3381,302.08125,439.38402,684.05738,39.60584,223.62329,229.67322,1029.49597,35.35307
2004年,874.56605,2293.8808,404.30998,2.23411,536.12926,1328.13286,163.7038,384.67143,188.54744,561.41035,183.18175,183.61615,23.31741,188.36483,504.8394,44.23901,123.54912,234.11193,75.29646,224.62248,479.39865,53.75525,1647.08548,1791.38068,317.31022,502.88036,536.58453,1007.95843,412.12136,25420.32,4492.8111,1272.10433,412.98968,646.81773,1011.20617,45.67818,308.34756,248.11325,1631.77241,79.28312
2005年,992.95684,2800.79042,451.29644,0.46528,570.99883,1579.323,162.36191,450.84922,213.64976,619.12336,199.67229,193.27533,22.33933,214.09985,618.49571,48.9584,123.49914,245.90875,81.71834,212.2007,657.46347,57.05221,1855.8245,2025.80776,353.90271,671.27633,657.67432,1038.00187,460.48928,29846.67476,5608.06284,1454.98146,469.02903,691.007,1127.06089,49.72217,374.08759,265.84254,2130.85217,96.55372
2006年,1230.27966,3408.57232,556.29851,0.13537,640.79067,1878.59285,221.03164,506.87351,236.52504,705.38792,251.33252,224.31149,37.11264,242.01002,862.77576,81.94171,141.43206,281.46005,84.84877,226.68045,842.35319,69.27023,2419.57912,2576.09168,422.36602,735.68406,864.83937,1197.09275,542.69653,35370.36,6147.95072,1783.41659,531.69537,853.40438,1253.02883,60.90658,395.03687,332.98026,2401.91887,121.65486
2007年,1611.25313,4367.64565,639.78505,0.3993,829.02565,2323.67695,276.8054,553.40007,283.7172,830.94473,279.09901,300.61931,54.16829,271.44398,1054.58829,105.941,193.76127,330.65337,95.44471,231.38554,1123.69729,79.03555,2987.08306,3160.32632,463.13703,885.07473,1173.18442,1353.9274,671.29363,43518.60438,7368.0071,2214.37066,658.67374,1067.8184,1490.38646,65.37111,487.34494,447.7088,3030.04935,158.35649
2008年,2245.73951,4897.92355,670.13274,0.4217,1003.39142,2683.45169,237.51164,665.48526,327.27566,964.48582,307.73987,316.44656,99.60778,303.75638,1166.60064,140.43051,238.28871,400.03682,132.31801,322.153,1648.07999,124.44082,3549.03216,3606.04429,503.12539,1216.14843,1627.82777,1486.06112,808.06939,51067.04516,6643.14949,2995.16783,764.95232,1301.54217,1988.50123,85.57039,618.76652,498.85374,4219.60161,258.91323
2009年,2531.81691,7062.01696,785.3787,0.4181,1176.72081,3074.14645,289.27294,764.54182,349.37046,958.59871,309.02492,352.39299,113.53181,276.89966,1334.71517,139.34574,237.27174,413.46762,136.12087,367.48586,1955.29609,144.61042,4286.87014,4086.8366,489.74334,1453.42585,1563.01251,1492.53676,780.79596,58167.93813,7901.27226,3111.52185,885.07515,1376.19555,2177.03728,86.79191,653.21785,561.24692,4216.35353,273.55992
2010年,3080.12883,8831.26887,957.62641,0.93572,1499.66927,3726.80582,357.69897,873.33023,401.05029,1145.4006,384.17515,408.33922,165.65899,314.55389,1723.93202,153.07106,246.12553,486.59085,175.75534,436.29018,2457.98729,190.05919,5477.90624,5299.18069,567.90453,2155.92653,1813.07503,1601.15215,882.76507,71375.99484,9730.45413,3824.03019,902.94126,1639.65503,2654.37679,97.15292,796.17772,654.70875,4875.30756,386.82653
2011年,3493.1943,9594.92628,1056.2112,0.77039,1682.38187,4292.65701,480.96974,1041.44103,356.73761,1096.52911,372.25654,558.91606,242.77912,294.11135,2103.13615,178.14673,253.12722,536.75976,166.88565,560.48123,3295.64127,224.17986,6509.75768,6045.88773,532.0578,2549.71572,1940.58413,1640.48329,858.85777,81391.68625,11141.04993,4115.56654,1059.1574,1700.72123,3096.05447,111.51529,870.70387,787.86932,6030.76337,518.70123
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
