,专用设备制造业规模以上工业企业出口交货值,交通运输设备制造业规模以上工业企业出口交货值,仪器仪表及文化、办公用机械制造业规模以上工业企业出口交货值,其他采矿业规模以上工业企业出口交货值,农副食品加工业规模以上工业企业出口交货值,化学原料及化学制品制造业规模以上工业企业出口交货值,化学纤维制造业规模以上工业企业出口交货值,医药制造业规模以上工业企业出口交货值,印刷业和记录媒介的复制规模以上工业企业出口交货值,塑料制品业规模以上工业企业出口交货值,家具制造业规模以上工业企业出口交货值,工艺品及其他制造业规模以上工业企业出口交货值,废弃资源和废旧材料回收加工业规模以上工业企业出口交货值,文教体育用品制造业规模以上工业企业出口交货值,有色金属冶炼及压延加工业规模以上工业企业出口交货值,有色金属矿采选业规模以上工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业规模以上工业企业出口交货值,橡胶制品业规模以上工业企业出口交货值,水的生产和供应业规模以上工业企业出口交货值,烟草制品业规模以上工业企业出口交货值,煤炭开采和洗选业规模以上工业企业出口交货值,燃气生产和供应业规模以上工业企业出口交货值,电力、热力的生产和供应业规模以上工业企业出口交货值,电气机械及器材制造业规模以上工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业出口交货值,石油加工、炼焦及核燃料加工业规模以上工业企业出口交货值,石油和天然气开采业规模以上工业企业出口交货值,纺织业规模以上工业企业出口交货值,纺织服装、鞋、帽制造业规模以上工业企业出口交货值,规模以上工业企业出口交货值,通信设备、计算机及其他电子设备制造规模以上工业企业出口交货值,通用设备制造业规模以上工业企业出口交货值,造纸及纸制品业规模以上工业企业出口交货值,金属制品业规模以上工业企业出口交货值,非金属矿物制品业规模以上工业企业出口交货值,非金属矿采选业规模以上工业企业出口交货值,食品制造业规模以上工业企业出口交货值,饮料制造业规模以上工业企业出口交货值,黑色金属冶炼及压延加工业规模以上工业企业出口交货值,黑色金属矿采选业规模以上工业企业出口交货值
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,337.98184,935.67292,847.64959,1.31053,672.78956,850.96619,84.69389,300.25166,104.13374,799.90555,334.49601,720.43467,2.57913,639.76688,366.36278,26.23645,200.80233,267.74493,1.67292,23.21411,125.00681,4.22096,71.20409,1949.84708,1237.36631,299.43562,144.6111,2248.91133,1818.43226,26941.75165,8260.88154,829.17087,191.10856,1049.25327,489.69531,41.00474,241.86714,78.9132,341.27978,0.876
2004年,603.98217,1352.59406,1185.21799,0.21275,990.56091,1251.08968,85.49901,343.44006,115.34224,1102.16007,642.12638,851.99171,0.881,830.65677,619.53711,31.07238,315.41477,465.54008,0.74958,25.24872,186.97405,4.45943,86.69888,3154.47701,1566.65816,228.28359,120.91375,3040.3433,2138.81732,40484.17,13752.14587,1389.32857,255.99179,1549.11412,764.60462,42.38298,330.38428,106.62382,947.70727,4.94869
2005年,750.85085,1865.81986,1476.62135,0.22021,1080.90986,1557.82527,161.04323,439.27858,156.84639,1282.48906,731.27655,973.57128,4.0061,940.02756,699.38278,68.67853,383.47563,562.36463,1.95881,25.40781,219.52737,5.29556,116.71814,3728.01027,1714.10204,329.39381,205.10229,3336.03415,2323.47668,47741.18646,16164.1962,1717.84538,310.505,1746.86465,929.55709,36.72977,404.32857,128.00643,1158.23172,5.207
2006年,1108.322,2708.27233,1767.69224,0.109,1351.23363,1895.35122,216.75892,538.68742,172.69098,1511.50112,870.21749,1134.55721,4.16577,1078.48875,1135.37675,70.72451,479.32303,701.2342,27.59057,26.75238,212.46654,7.67981,96.79481,4616.20526,1941.48093,283.67847,222.61968,3694.36676,2691.09356,60559.65,21606.52088,2165.19078,446.86923,2164.48863,1129.49196,41.12359,479.47573,164.88338,1788.92804,7.24407
2007年,1417.32479,3778.53318,1996.98479,0.05524,1473.34538,2442.67478,345.55995,639.42859,221.95605,1789.69429,1032.37582,1365.34271,4.91163,1252.06502,1160.00399,20.61868,568.30189,855.26155,25.49626,24.50454,161.44417,21.6419,68.09795,5892.36857,2173.04801,354.12424,163.86337,3984.08825,3158.28524,73393.39264,26260.18323,2833.9284,521.66227,2781.68516,1341.02,35.15363,558.7624,175.41678,2486.36376,7.81618
2008年,1891.3252,5088.69575,2082.08578,0.06544,1693.81136,2843.88367,330.42928,746.73716,261.59737,1977.78118,1109.88212,1546.34768,4.99385,1377.90035,1155.08681,12.84554,596.56001,961.82719,27.35536,21.22761,160.98847,17.61412,55.80783,6855.65959,2130.65896,372.00822,240.78919,4055.90324,3293.85355,82498.37886,29179.45875,3450.10979,536.23838,3092.36819,1442.69578,37.00469,653.94664,184.10605,3004.3718,4.35691
2009年,1534.10086,4771.84558,1699.81963,0.0,1705.72976,2264.6478,250.31567,747.16608,258.6339,1714.29143,992.92291,1376.44469,2.93928,1267.35487,741.26937,7.04918,591.38298,895.49355,29.02747,23.6863,71.06392,24.97525,95.89455,6070.30532,1956.82425,351.84727,121.1578,3732.24621,3145.8389,72051.74791,27224.00446,2736.25388,450.82323,2133.38927,1251.33892,27.09257,632.28716,169.10282,979.37386,3.80696
2010年,1994.82232,5938.8133,2047.80087,0.0,1982.51704,3103.33232,331.03659,948.58278,293.25655,2144.98548,1203.19019,1619.97724,5.4446,1358.20337,1065.75971,11.90999,648.18203,1049.07213,30.34607,27.71633,128.7074,15.36361,67.44152,7982.657,2311.64044,381.97862,90.32306,4620.54276,3344.63147,89910.11646,34250.30646,3286.22875,666.00405,2758.4865,1536.56562,31.70097,744.51463,181.27124,1706.54928,0.25417
2011年,2321.22797,6813.779,2188.41585,1.70446,2249.7788,3603.35416,437.74437,1030.48149,300.50433,2147.24446,1246.90961,1884.64588,19.69473,1410.37665,1382.02487,7.13428,708.43494,1306.22418,30.91232,31.01206,57.5234,59.76154,69.16984,9477.85039,2390.98797,359.87739,72.43025,4959.60881,3218.47579,99612.37399,37469.13826,3832.79648,613.03034,3016.61982,1637.4902,32.37992,864.86102,202.79398,2148.6132,7.36098
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
