,专用设备制造业规模以上工业企业工业销售产值(现价),交通运输设备制造业规模以上工业企业工业销售产值(现价),仪器仪表及文化、办公用机械制造业规模以上工业企业工业销售产值(现价),其他采矿业规模以上工业企业工业销售产值(现价),农副食品加工业规模以上工业企业工业销售产值(现价),化学原料及化学制品制造业规模以上工业企业工业销售产值(现价),化学纤维制造业规模以上工业企业工业销售产值(现价),医药制造业规模以上工业企业工业销售产值(现价),印刷业和记录媒介的复制规模以上工业企业工业销售产值(现价),塑料制品业规模以上工业企业工业销售产值(现价),家具制造业规模以上工业企业工业销售产值(现价),工艺品及其他制造业规模以上工业企业工业销售产值(现价),废弃资源和废旧材料回收加工业规模以上工业企业工业销售产值(现价),文教体育用品制造业规模以上工业企业工业销售产值(现价),有色金属冶炼及压延加工业规模以上工业企业工业销售产值(现价),有色金属矿采选业规模以上工业企业工业销售产值(现价),木材加工及木、竹、藤、棕、草制品业规模以上工业企业工业销售产值(现价),橡胶制品业规模以上工业企业工业销售产值(现价),水的生产和供应业规模以上工业企业工业销售产值(现价),烟草制品业规模以上工业企业工业销售产值(现价),煤炭开采和洗选业规模以上工业企业工业销售产值(现价),燃气生产和供应业规模以上工业企业工业销售产值(现价),电力、热力的生产和供应业规模以上工业企业工业销售产值(现价),电气机械及器材制造业规模以上工业企业工业销售产值(现价),皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业工业销售产值(现价),石油加工、炼焦及核燃料加工业规模以上工业企业工业销售产值(现价),石油和天然气开采业规模以上工业企业工业销售产值(现价),纺织业规模以上工业企业工业销售产值(现价),纺织服装、鞋、帽制造业规模以上工业企业工业销售产值(现价),规模以上工业企业工业销售产值(现价),通信设备、计算机及其他电子设备制造规模以上工业企业工业销售产值(现价),通用设备制造业规模以上工业企业工业销售产值(现价),造纸及纸制品业规模以上工业企业工业销售产值(现价),金属制品业规模以上工业企业工业销售产值(现价),非金属矿物制品业规模以上工业企业工业销售产值(现价),非金属矿采选业规模以上工业企业工业销售产值(现价),食品制造业规模以上工业企业工业销售产值(现价),饮料制造业规模以上工业企业工业销售产值(现价),黑色金属冶炼及压延加工业规模以上工业企业工业销售产值(现价),黑色金属矿采选业规模以上工业企业工业销售产值(现价)
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,3724.79072,11013.80529,1607.58551,7.96956,5987.19078,9043.73266,1420.75042,2718.31302,1002.53635,2999.8286,705.07486,1275.87161,49.74422,942.42059,3494.67835,564.7912,966.70032,1279.59938,419.12725,2236.20959,2413.5178,274.3565,6851.36801,7659.05751,2227.2045,6210.35,3483.11955,7560.08578,3330.21826,139453.22068,15522.12813,5539.64117,2482.67726,3772.83578,5489.83157,478.00442,2220.3051,2195.64987,9937.30277,344.84642
2004年,4924.47195,13547.94928,2159.30246,5.76069,8154.98577,12611.578,1905.32665,3067.47061,1167.97117,4118.40644,1130.88878,1598.54632,197.16155,1192.67857,5915.24282,789.33526,1346.82011,1786.75161,495.61875,2589.48115,4010.68852,413.51398,14682.78786,10954.2156,2693.4802,8842.95309,4569.41154,10125.78838,3889.156,197805.15,21810.90376,8261.01865,3280.88164,5033.13848,7347.85789,579.57007,2813.00927,2389.40159,16693.29691,708.32556
2005年,5894.5357,15616.71203,2736.75808,8.3021,10405.56003,16035.89715,2564.27786,4003.14392,1408.35521,4952.38732,1398.35459,1997.70117,282.63385,1453.39758,7786.8526,1118.65015,1771.7804,2139.30981,561.87156,2881.29936,5630.35245,517.25142,17746.02656,13564.89132,3390.04944,11886.97771,6275.70693,12408.1967,4849.338,246946.37009,26403.64231,10331.80604,4063.31211,6440.92953,8966.16703,739.7252,3697.49794,3020.6942,21035.9407,960.08403
2006年,7724.73543,19941.95506,3471.54108,5.11304,12722.34468,20015.99821,3151.73324,4764.23111,1664.97532,6244.26138,1834.04294,2478.85164,408.64303,1724.08893,12708.93479,1638.20491,2360.34601,2673.02515,695.88112,3213.92557,7107.10373,732.57327,21518.15352,17776.96007,4062.48557,15018.65511,7688.53969,15012.9642,5986.03811,310828.58,32362.73523,13451.54988,4952.34758,8347.94481,11447.79066,1007.03468,4612.9139,3825.14556,25121.40557,1353.40967
2007年,10294.86054,26549.42467,4238.64241,10.81657,17134.78436,26203.18253,4006.78847,6003.96084,2068.89557,7944.04258,2369.84323,3300.82861,670.60268,2047.92244,17748.65511,2229.96929,3432.00319,3402.05634,777.2074,3791.7234,9024.70858,999.13127,26367.78081,23398.19186,5037.07696,17745.54733,8260.962,18322.12712,7404.40804,397626.72683,38538.18204,17962.89446,6226.1813,11214.27629,15196.72802,1336.08538,5920.08086,4962.95774,33405.38697,2077.80957
2008年,14002.59556,32867.02918,4824.93004,10.22513,23373.92407,33054.85499,3876.62679,7481.91635,2627.34012,9671.18599,3003.71873,3956.90982,1096.90906,2429.68397,20345.16224,2634.32698,4662.55668,4143.99642,884.18623,4440.62215,14372.34075,1490.03312,29749.93629,29643.83685,5757.80853,22292.04546,9486.11484,20908.02792,9161.77976,494733.64674,42928.17467,23998.78185,7651.68285,14653.98128,20376.73696,1818.51387,7461.36803,6068.51105,43925.05634,3600.21582
2009年,16350.94659,40793.03743,4976.77951,13.51063,27362.86632,35996.91746,3779.84926,9021.7351,2901.9183,10697.78328,3363.29704,4346.25584,1423.3937,2580.36509,20085.54826,2713.75185,5610.583,4680.27509,984.991,4908.77692,16021.71861,1799.91981,33316.90614,32558.55514,6268.43558,21207.2708,7474.28715,22486.60749,10163.81113,536134.05622,43680.23646,26714.98817,8110.38507,15620.82052,24279.04192,2229.21773,9001.45228,7259.51714,41737.48941,3610.814
2010年,20878.50687,54512.6239,6267.36245,30.47692,34228.93491,46854.79238,4868.20381,11168.49667,3501.26182,13598.21758,4305.2259,5511.61413,2270.27329,3073.58698,27557.16222,3695.81838,7208.89904,5803.93867,1107.58642,5846.40481,21538.60864,2383.87577,40449.23115,42057.21493,7724.79648,28901.12508,9819.15226,27972.90782,11992.48448,684735.20263,54190.94546,34262.90064,10246.3046,19649.67101,31326.46115,2994.71848,11049.45296,8915.26066,51167.54656,5803.15735
2011年,25354.41529,62256.41101,7444.16271,16.19113,43272.64601,59478.29892,6507.62338,14262.30841,3793.34352,15270.29491,4976.71646,7031.39979,2555.69243,3142.11492,35091.06391,4892.87702,8772.10357,7219.50201,1148.45429,6839.56678,28296.0243,3110.9178,47164.67494,50141.58929,8728.17077,36525.64568,12774.54902,32068.29452,13193.69463,827796.99077,62567.27652,39992.18173,11815.18228,22882.48285,39285.22955,3772.324,13795.28772,11542.05362,63136.66472,7679.56036
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
