,专用设备制造业规模以上工业企业实收资本,交通运输设备制造业规模以上工业企业实收资本,仪器仪表及文化、办公用机械制造业规模以上工业企业实收资本,其他采矿业规模以上工业企业实收资本,农副食品加工业规模以上工业企业实收资本,化学原料及化学制品制造业规模以上工业企业实收资本,化学纤维制造业规模以上工业企业实收资本,医药制造业规模以上工业企业实收资本,印刷业和记录媒介的复制规模以上工业企业实收资本,塑料制品业规模以上工业企业实收资本,家具制造业规模以上工业企业实收资本,工艺品及其他制造业规模以上工业企业实收资本,废弃资源和废旧材料回收加工业规模以上工业企业实收资本,文教体育用品制造业规模以上工业企业实收资本,有色金属冶炼及压延加工业规模以上工业企业实收资本,有色金属矿采选业规模以上工业企业实收资本,木材加工及木、竹、藤、棕、草制品业规模以上工业企业实收资本,橡胶制品业规模以上工业企业实收资本,水的生产和供应业规模以上工业企业实收资本,烟草制品业规模以上工业企业实收资本,煤炭开采和洗选业规模以上工业企业实收资本,燃气生产和供应业规模以上工业企业实收资本,电力、热力的生产和供应业规模以上工业企业实收资本,电气机械及器材制造业规模以上工业企业实收资本,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业实收资本,石油加工、炼焦及核燃料加工业规模以上工业企业实收资本,石油和天然气开采业规模以上工业企业实收资本,纺织业规模以上工业企业实收资本,纺织服装、鞋、帽制造业规模以上工业企业实收资本,规模以上工业企业实收资本,通信设备、计算机及其他电子设备制造规模以上工业企业实收资本,通用设备制造业规模以上工业企业实收资本,造纸及纸制品业规模以上工业企业实收资本,金属制品业规模以上工业企业实收资本,非金属矿物制品业规模以上工业企业实收资本,非金属矿采选业规模以上工业企业实收资本,食品制造业规模以上工业企业实收资本,饮料制造业规模以上工业企业实收资本,黑色金属冶炼及压延加工业规模以上工业企业实收资本,黑色金属矿采选业规模以上工业企业实收资本
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,1138.94123,2814.27225,424.1874,5.80357,1045.3462,3020.48545,423.46233,1160.54331,438.18789,970.11641,190.22316,269.82407,6.36429,241.93163,1041.33449,155.81968,296.38073,379.06542,708.3747,367.05895,1689.69244,324.57208,5462.8218,1770.50968,376.18873,1282.88482,1805.11684,1963.65165,672.32548,43479.55928,2727.99523,1628.48374,854.45855,918.76413,2160.11101,228.53788,707.94186,889.45118,2744.67382,173.6552
2004年,1453.85515,3813.82243,555.88451,1.52039,1323.08912,3755.19775,666.09855,1330.92793,518.42957,1260.39144,278.46064,387.60622,23.42078,302.99625,1267.98081,196.4939,368.74865,518.30523,887.45772,418.29278,1902.70797,447.6521,9925.71536,2363.16661,482.3364,1290.61363,2572.14744,2429.61129,795.20411,58050.18,3855.62285,2142.80829,1100.91673,1177.05848,2693.2436,233.17476,863.40157,964.24913,3190.74176,290.82476
2005年,1479.14832,3915.69184,627.10192,2.34939,1474.8205,4092.46224,728.9565,1462.9869,546.59403,1333.27991,304.79044,393.71117,23.30258,330.20878,1447.26434,236.81506,407.02231,529.62779,880.25819,443.4724,2010.61499,438.97146,9908.81275,2512.92414,545.1344,1675.41837,2643.62479,2672.53616,881.31283,61966.22517,4332.05534,2289.45299,1202.37183,1300.2652,2886.87874,195.70394,941.76716,983.24921,3554.98509,330.28117
2006年,1741.31125,4453.65628,659.89663,0.52221,1733.47203,5004.05087,800.24194,1617.9443,595.43105,1466.7984,368.23939,458.98083,33.85722,365.90325,1706.52111,314.7947,461.99475,576.24406,1100.84041,515.74558,2334.52613,503.08388,11546.7965,2952.75238,617.04726,1861.1343,2914.42366,2899.11956,1177.31553,71312.93,4960.41275,2717.20143,1399.2487,1515.06228,3237.17109,220.7407,1026.06328,1104.67644,3975.43307,374.27099
2007年,2103.76766,5272.56481,767.76663,1.31551,2077.62704,6082.66625,891.50022,1815.7061,674.95252,1723.82184,458.88179,523.50432,46.37328,426.5018,2074.93679,358.87848,576.03602,733.39499,1141.5199,540.48789,2700.411,487.29005,12245.03805,3555.90214,729.94868,2540.45836,3470.04799,3284.40863,1251.02523,82732.35507,6030.19367,3323.20535,1564.28558,1859.28552,3841.27589,255.61013,1231.39568,1267.79305,4354.84175,447.73448
2008年,3007.1706,6483.75934,1031.64927,1.93969,2630.43831,7509.81661,927.03331,2073.89795,812.86014,2059.69484,562.9649,644.03708,114.87046,518.03266,2795.86892,513.5454,773.97841,815.07927,1299.68296,760.23615,3548.93448,639.72651,14214.14623,4685.1176,833.05416,3649.44252,5416.36627,3782.70043,1478.66044,104086.05807,7491.25355,4261.38035,2005.721,2447.78484,4811.76592,340.72895,1494.68519,1514.70145,5469.21166,664.12025
2009年,3422.63246,7063.40894,1085.80023,1.67656,2868.22133,8111.10236,901.67496,2248.30443,830.51533,2181.52284,590.03554,692.07377,136.96197,548.56313,3131.00294,543.80463,830.09565,878.93474,1427.47865,829.89092,3808.18388,682.0007,15147.83067,5338.45781,861.6313,3228.43624,4597.41832,3875.54543,1519.35547,111188.91989,7848.15188,4993.12154,2232.99304,2740.0987,5299.40006,384.94091,1597.53673,1593.58727,6380.81512,735.71344
2010年,3948.45406,8044.11116,1164.70725,5.05192,3280.2697,9067.61012,906.52118,2521.75996,883.02214,2412.56287,685.04408,742.56615,152.86989,547.59905,3513.79992,637.8923,917.5758,983.08394,1571.16455,793.56509,4384.30684,715.27959,15041.42911,6269.70647,933.06336,3444.06173,5123.9435,4230.02039,1613.94334,122494.54323,8816.09316,5630.39418,2514.69834,3058.3006,6096.38479,445.05448,1746.75611,1829.19391,6680.52253,1142.15967
2011年,4310.49821,8970.0922,1249.91428,2.48422,3685.1877,10192.86617,1026.48527,2815.35677,817.25998,2503.78787,693.20922,782.47145,182.89448,492.06448,13993.48821,736.07322,955.37619,1048.96757,1614.93841,900.43118,4936.15874,831.51776,15569.43622,7188.60061,966.09059,4444.69466,6128.27501,4417.27298,1699.03243,144684.13261,9475.54919,6250.63932,2632.29791,3249.66539,6741.47018,466.03642,2022.15027,1968.47073,7385.51051,1337.41661
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
