,专用设备制造业规模以上工业企业管理费用,交通运输设备制造业规模以上工业企业管理费用,仪器仪表及文化、办公用机械制造业规模以上工业企业管理费用,其他采矿业规模以上工业企业管理费用,农副食品加工业规模以上工业企业管理费用,化学原料及化学制品制造业规模以上工业企业管理费用,化学纤维制造业规模以上工业企业管理费用,医药制造业规模以上工业企业管理费用,印刷业和记录媒介的复制规模以上工业企业管理费用,塑料制品业规模以上工业企业管理费用,家具制造业规模以上工业企业管理费用,工艺品及其他制造业规模以上工业企业管理费用,废弃资源和废旧材料回收加工业规模以上工业企业管理费用,文教体育用品制造业规模以上工业企业管理费用,有色金属冶炼及压延加工业规模以上工业企业管理费用,有色金属矿采选业规模以上工业企业管理费用,木材加工及木、竹、藤、棕、草制品业规模以上工业企业管理费用,橡胶制品业规模以上工业企业管理费用,水的生产和供应业规模以上工业企业管理费用,烟草制品业规模以上工业企业管理费用,煤炭开采和洗选业规模以上工业企业管理费用,燃气生产和供应业规模以上工业企业管理费用,电力、热力的生产和供应业规模以上工业企业管理费用,电气机械及器材制造业规模以上工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业管理费用,石油加工、炼焦及核燃料加工业规模以上工业企业管理费用,石油和天然气开采业规模以上工业企业管理费用,纺织业规模以上工业企业管理费用,纺织服装、鞋、帽制造业规模以上工业企业管理费用,规模以上工业企业管理费用,通信设备、计算机及其他电子设备制造规模以上工业企业管理费用,通用设备制造业规模以上工业企业管理费用,造纸及纸制品业规模以上工业企业管理费用,金属制品业规模以上工业企业管理费用,非金属矿物制品业规模以上工业企业管理费用,非金属矿采选业规模以上工业企业管理费用,食品制造业规模以上工业企业管理费用,饮料制造业规模以上工业企业管理费用,黑色金属冶炼及压延加工业规模以上工业企业管理费用,黑色金属矿采选业规模以上工业企业管理费用
2003年,311.6033,707.27085,109.03251,0.68234,156.3264,534.52852,47.26772,264.81515,81.41637,132.58215,31.41268,54.08615,1.17715,51.37784,146.59079,51.8201,34.65765,66.54133,72.7372,155.75078,376.72137,29.68906,418.28504,409.85743,80.04228,200.46039,198.73701,283.8286,152.25686,7652.46095,617.64543,403.51952,106.80324,166.46715,321.31094,37.41008,113.70357,137.3585,556.70541,29.98209
2004年,383.83037,795.58427,156.94799,0.6741,206.83933,673.57811,60.51589,284.44448,96.34818,213.12531,52.30612,85.57519,5.62666,67.15141,215.48217,66.25983,49.06346,91.95894,85.95394,184.67925,608.47551,36.56854,514.81775,535.6033,110.79837,217.51527,272.05033,365.98798,190.18913,9820.71,843.73576,542.88454,134.28158,224.59931,410.53088,47.51674,136.87857,162.80892,619.71431,69.80808
2005年,406.71364,899.64342,166.19531,0.31129,232.82187,774.21119,61.71239,329.14843,103.66323,199.93461,62.24999,89.93522,6.6494,76.76551,242.36319,79.6595,55.5846,90.61577,89.27515,196.30852,771.19442,38.37391,548.99634,614.87835,123.84856,257.9449,309.37908,398.74827,228.54409,10950.26838,961.64438,608.71277,151.72084,260.18385,420.06039,50.36397,161.49723,166.12382,638.126,76.16498
2006年,498.80161,1126.336,199.21704,0.15813,278.31816,866.85874,66.51949,376.12669,117.87262,245.16254,80.50095,109.10971,9.10288,87.88784,321.43251,109.06046,70.27948,102.99977,107.1091,222.62578,879.01141,50.16882,591.97311,749.60892,147.65837,295.45942,336.26855,454.57599,277.26643,12807.17,1115.89592,726.84527,169.317,317.92946,481.57178,62.88979,180.88018,196.94221,696.63722,80.79129
2007年,618.76463,1388.46563,237.974,0.28904,381.46439,1100.22437,86.09727,441.98224,132.11876,291.54365,105.26532,141.00989,13.19349,102.75276,387.30235,131.35572,102.19422,135.20302,113.68116,253.54263,1047.18146,57.44844,719.53143,930.09139,188.85762,472.93015,436.00488,541.00821,342.71023,15943.65841,1354.03422,905.70601,197.60567,402.67348,611.93629,72.89649,215.17864,242.79764,927.07993,113.56169
2008年,823.63975,1659.09416,295.53588,0.39825,526.3514,1415.89008,104.01765,533.21775,166.59706,382.69191,134.42914,164.39013,29.00426,122.80924,525.60898,154.55525,145.87932,165.25532,131.38748,307.6765,1554.33534,78.60284,712.33529,1241.58907,224.43147,650.53262,491.75832,629.25439,419.70378,20199.81234,1663.89209,1179.77228,246.73758,545.15665,791.71155,99.13464,291.91291,300.34912,1109.08088,181.09201
2009年,942.32229,2014.16504,317.57559,0.52139,622.40176,1501.23727,90.40403,633.63109,183.01392,417.21659,144.70408,175.69763,31.81064,127.66202,508.84716,153.57991,162.76718,190.46223,139.63527,343.95561,1538.17786,83.00412,830.65101,1410.29805,242.1564,571.04674,654.91198,683.27665,443.3251,22169.69787,1779.65065,1317.48866,271.92869,599.41898,908.54103,113.7802,336.33633,341.20132,1178.86616,164.02724
2010年,1231.43992,2664.11394,395.02689,1.30151,1016.33112,1923.47989,113.63597,810.39443,214.41834,547.22576,193.3308,215.31472,47.85916,155.48499,747.88635,224.39815,258.23089,249.95697,157.64631,363.91687,2083.52306,97.17392,979.2781,1844.36148,319.39685,758.30029,677.94194,859.90715,544.87094,28872.98918,2176.90108,1752.89508,375.82889,775.24861,1230.52551,160.03358,446.0531,444.20989,1549.07105,266.07568
2011年,1466.42537,2889.71041,455.95645,1.20414,1075.4043,2171.50183,165.39172,928.85536,212.32348,580.0705,205.21561,237.18178,54.54129,153.08675,924.92101,264.10331,284.37646,270.05358,149.13199,382.53225,2368.11416,121.81203,972.5443,2059.25715,344.12939,831.61025,800.93244,919.70824,542.65605,32165.16504,2636.01993,1861.79457,387.21911,873.18292,1410.56942,175.23284,502.83262,529.73385,1645.41415,310.41403
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
