,专用设备制造业规模以上工业企业财务费用,交通运输设备制造业规模以上工业企业财务费用,仪器仪表及文化、办公用机械制造业规模以上工业企业财务费用,其他采矿业规模以上工业企业财务费用,农副食品加工业规模以上工业企业财务费用,化学原料及化学制品制造业规模以上工业企业财务费用,化学纤维制造业规模以上工业企业财务费用,医药制造业规模以上工业企业财务费用,印刷业和记录媒介的复制规模以上工业企业财务费用,塑料制品业规模以上工业企业财务费用,家具制造业规模以上工业企业财务费用,工艺品及其他制造业规模以上工业企业财务费用,废弃资源和废旧材料回收加工业规模以上工业企业财务费用,文教体育用品制造业规模以上工业企业财务费用,有色金属冶炼及压延加工业规模以上工业企业财务费用,有色金属矿采选业规模以上工业企业财务费用,木材加工及木、竹、藤、棕、草制品业规模以上工业企业财务费用,橡胶制品业规模以上工业企业财务费用,水的生产和供应业规模以上工业企业财务费用,烟草制品业规模以上工业企业财务费用,煤炭开采和洗选业规模以上工业企业财务费用,燃气生产和供应业规模以上工业企业财务费用,电力、热力的生产和供应业规模以上工业企业财务费用,电气机械及器材制造业规模以上工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业财务费用,石油加工、炼焦及核燃料加工业规模以上工业企业财务费用,石油和天然气开采业规模以上工业企业财务费用,纺织业规模以上工业企业财务费用,纺织服装、鞋、帽制造业规模以上工业企业财务费用,规模以上工业企业财务费用,通信设备、计算机及其他电子设备制造规模以上工业企业财务费用,通用设备制造业规模以上工业企业财务费用,造纸及纸制品业规模以上工业企业财务费用,金属制品业规模以上工业企业财务费用,非金属矿物制品业规模以上工业企业财务费用,非金属矿采选业规模以上工业企业财务费用,食品制造业规模以上工业企业财务费用,饮料制造业规模以上工业企业财务费用,黑色金属冶炼及压延加工业规模以上工业企业财务费用,黑色金属矿采选业规模以上工业企业财务费用
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,57.54597,97.61804,12.15401,0.29917,72.24265,155.29198,26.60608,52.67824,12.9914,35.74379,7.25119,10.14246,0.282,6.0551,65.93483,10.68814,15.02345,20.14396,18.35875,23.08316,57.99236,6.41026,439.21592,82.78405,16.81478,47.58739,18.90615,119.95531,28.26972,2125.81119,96.9256,76.05921,61.34922,42.81924,108.05054,7.6222,28.73194,32.17104,148.4453,5.56659
2004年,54.51734,106.15106,12.5446,0.07138,86.52965,170.28515,30.37358,55.19081,13.09579,44.27014,9.3931,13.62681,1.08148,7.32988,86.21069,11.16618,19.12852,25.058,23.10038,19.6282,75.71662,6.97644,546.01884,93.1125,19.23627,55.50088,22.98049,143.57963,28.87693,2481.69,107.15977,81.17071,67.44614,47.76946,127.17266,8.55635,33.53936,31.61698,187.6689,8.83341
2005年,54.23508,97.02876,12.8824,0.07006,101.66215,178.91037,40.49843,67.46842,14.68998,49.80637,13.06426,16.42608,0.94216,9.50538,100.32471,11.84137,19.11674,29.12481,23.08048,16.41409,75.88145,5.24871,570.54509,112.52612,23.13397,65.04929,12.99933,168.70075,40.1291,2671.0365,88.45272,85.10495,65.20208,55.5316,145.48325,9.02246,39.55353,28.63056,212.30212,10.44732
2006年,67.68853,123.38794,13.56372,0.05901,117.89702,237.6745,49.26306,77.05407,17.98909,65.89299,16.38526,21.3073,1.63438,12.5529,135.47618,14.40896,26.94965,35.32331,37.38582,10.83674,98.15325,7.64504,701.77923,145.31733,29.89527,88.32303,16.37018,199.29862,47.39869,3375.24,107.3667,108.84909,91.62346,72.98427,178.20801,11.2991,44.96594,34.86243,294.27708,13.88946
2007年,88.27175,121.60993,19.4782,0.08827,155.26577,293.15226,62.70334,94.8418,21.42104,81.03251,23.82722,29.17091,2.83426,17.46833,187.45358,18.30626,39.12365,44.68028,40.10652,4.23129,139.71697,12.51647,885.96305,198.98519,36.82175,108.96681,19.82698,252.05889,64.11009,4287.88079,108.70944,147.27423,102.24031,101.53946,213.49535,13.5184,56.57782,43.61215,414.15714,22.72312
2008年,135.45326,174.36092,26.8506,0.08388,216.30895,398.73467,74.13478,119.10896,26.68074,101.93391,28.02881,36.44123,8.05366,19.64268,243.90572,21.69809,52.86609,60.81239,57.20419,-3.01172,231.12099,19.14337,1302.58681,292.87737,43.94154,201.02334,31.25614,304.57865,76.95154,6021.81458,185.48148,211.97244,121.37235,141.39661,288.19208,22.1332,75.47653,58.55061,575.46483,39.00289
2009年,131.42853,218.13273,28.62625,0.05048,223.46733,429.06649,60.99936,110.86034,25.62839,97.99186,30.2477,37.12787,9.49057,19.92229,239.79119,27.12276,54.0468,56.25214,58.9335,-4.60065,249.70326,19.66214,1314.53978,244.82665,46.46464,158.90411,32.53073,277.25179,71.90322,5898.8731,147.68681,214.34942,128.81703,142.19277,297.86134,24.44497,77.19252,63.74984,497.72632,34.47983
2010年,166.06495,237.34824,35.53297,0.12133,271.08743,516.96753,71.07038,115.11685,30.36759,118.66478,35.95451,47.29962,12.95981,22.54411,317.58099,35.13801,65.23367,60.64607,64.33799,-2.94141,328.62638,22.93661,1414.63789,353.68264,56.92576,199.18989,42.11043,335.74124,87.77642,7024.6801,153.25433,268.15249,142.68468,167.92792,357.60088,29.82779,83.64403,66.18889,635.34253,57.33388
2011年,234.88466,265.83153,44.50863,0.16569,314.27764,670.52995,94.8112,135.00621,35.04138,136.65277,46.47529,59.07961,15.21232,21.10084,448.24581,43.14968,78.56504,81.49622,66.22075,-5.31349,478.32626,25.88957,1712.29105,482.59019,73.56025,284.4182,74.22992,411.07894,98.51698,8913.45057,147.2316,338.94453,171.95069,207.21749,490.16062,36.6056,91.40631,71.23071,845.4094,86.45053
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
