,专用设备制造业规模以上工业企业个人资本金,交通运输设备制造业规模以上工业企业个人资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业个人资本金,其他采矿业规模以上工业企业个人资本金,农副食品加工业规模以上工业企业个人资本金,化学原料及化学制品制造业规模以上工业企业个人资本金,化学纤维制造业规模以上工业企业个人资本金,医药制造业规模以上工业企业个人资本金,印刷业和记录媒介的复制规模以上工业企业个人资本金,塑料制品业规模以上工业企业个人资本金,家具制造业规模以上工业企业个人资本金,工艺品及其他制造业规模以上工业企业个人资本金,废弃资源和废旧材料回收加工业规模以上工业企业个人资本金,文教体育用品制造业规模以上工业企业个人资本金,有色金属冶炼及压延加工业规模以上工业企业个人资本金,有色金属矿采选业规模以上工业企业个人资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业个人资本金,橡胶制品业规模以上工业企业个人资本金,水的生产和供应业规模以上工业企业个人资本金,烟草制品业规模以上工业企业个人资本金,煤炭开采和洗选业规模以上工业企业个人资本金,燃气生产和供应业规模以上工业企业个人资本金,电力、热力的生产和供应业规模以上工业企业个人资本金,电气机械及器材制造业规模以上工业企业个人资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业个人资本金,石油加工、炼焦及核燃料加工业规模以上工业企业个人资本金,石油和天然气开采业规模以上工业企业个人资本金,纺织业规模以上工业企业个人资本金,纺织服装、鞋、帽制造业规模以上工业企业个人资本金,规模以上工业企业个人资本金,通信设备、计算机及其他电子设备制造规模以上工业企业个人资本金,通用设备制造业规模以上工业企业个人资本金,造纸及纸制品业规模以上工业企业个人资本金,金属制品业规模以上工业企业个人资本金,非金属矿物制品业规模以上工业企业个人资本金,非金属矿采选业规模以上工业企业个人资本金,食品制造业规模以上工业企业个人资本金,饮料制造业规模以上工业企业个人资本金,黑色金属冶炼及压延加工业规模以上工业企业个人资本金,黑色金属矿采选业规模以上工业企业个人资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,188.99166,225.533,54.424,0.0822,230.51742,380.35287,59.24906,229.93615,64.11411,170.62983,38.16971,63.68712,1.74494,34.16193,136.67851,20.7961,68.2447,60.76109,7.53548,0.94592,51.81725,5.74488,92.02224,364.07281,92.76237,88.061,8.07069,493.54473,163.20552,5262.7546,185.45608,332.33136,149.91569,210.47716,453.67946,26.76909,118.33203,115.47922,252.47901,21.97821
2004年,279.54208,342.85155,79.94822,0.16552,388.81856,554.63719,106.75672,297.28608,97.68922,265.17077,57.3038,75.62097,5.29975,46.48801,213.00526,31.1894,101.98568,70.85272,12.54276,0.61556,121.08814,9.27054,161.5086,508.87906,116.49696,143.45858,8.10576,730.76696,202.32423,7869.57,281.91671,495.48098,204.83989,299.72532,677.8569,43.08456,159.55651,139.72593,485.7826,51.92825
2005年,305.02261,417.41918,126.90479,0.27772,432.22148,638.41298,107.70955,318.67845,107.97769,287.87058,73.60003,89.59733,6.54736,51.48805,248.59245,39.14914,125.38804,95.39938,12.70795,0.5737,153.04939,12.25513,214.99992,610.99154,129.34487,173.39433,10.75637,795.18408,210.44489,9014.00672,294.77842,593.49974,223.12175,358.09715,761.09965,55.38127,170.7966,147.848,543.26978,70.15538
2006年,390.00239,504.20301,117.38775,0.28495,548.93571,789.16879,121.51833,402.14645,132.86015,342.87323,96.04169,106.46851,9.32448,60.25042,299.59016,63.22083,162.8793,109.25454,19.81709,1.21533,230.00179,10.85499,235.26635,733.05315,152.95096,213.5853,12.45632,990.25995,269.51337,11042.12,307.27362,736.09928,282.78386,431.82116,933.23379,61.06687,217.06687,185.24089,670.42694,91.72081
2007年,489.99674,608.30719,165.188,0.52719,693.20512,988.74322,145.74312,448.58593,157.6265,410.5412,116.76457,122.00072,12.94005,66.01047,363.82135,79.50725,218.67998,128.98162,22.02125,0.79363,352.30188,17.35411,288.35346,905.57312,171.95437,244.66011,18.7772,1087.41791,324.49844,13496.04637,397.22592,956.82834,313.75335,536.03093,1141.38919,86.06474,247.59408,242.49312,801.72435,122.06665
2008年,719.45351,851.54544,218.53927,0.98881,984.22296,1423.6628,209.38263,550.73071,198.93634,553.58711,161.28758,182.82711,25.21721,83.51369,571.23024,134.53747,340.81135,172.508,32.06572,1.97469,558.67448,23.92026,392.11318,1265.21128,216.0498,352.00829,17.68464,1329.86534,389.88123,18574.11779,527.08039,1326.0323,401.25415,782.63281,1518.86948,129.34236,380.46581,343.52199,1005.11636,197.371
2009年,845.94957,947.44185,245.65063,1.36797,1067.93228,1542.89122,179.29175,590.87773,211.07048,582.44791,177.56372,197.90308,38.72728,90.67487,640.74609,151.69659,374.23152,189.42525,36.48808,2.36836,581.2752,30.94809,439.08409,1494.92287,212.44279,466.09117,22.7991,1364.34018,423.7822,20503.81585,595.22946,1523.27827,446.30387,846.95005,1712.48043,141.38864,392.6542,337.07366,1113.35016,244.67519
2010年,1011.95507,1026.49142,271.07015,4.29872,1253.50765,1671.5843,184.80985,675.78378,235.77791,660.31969,201.64386,215.05957,47.5002,95.76882,649.90149,181.97286,407.82379,229.34081,37.10649,8.35743,682.69628,41.72346,484.88277,1861.19734,257.68262,390.8299,22.2595,1504.04278,480.1115,23389.5592,742.50639,1796.86686,469.76231,1018.32594,1976.77107,168.88723,442.54371,389.59229,1324.75889,264.0445
2011年,1111.87483,1175.54735,346.95006,2.03299,1428.42947,1980.63631,239.44601,782.1082,209.97975,746.33538,234.34595,226.15329,59.03075,82.70813,10743.76184,197.30743,439.83944,258.67381,34.73698,3.93344,746.90595,46.53727,378.3615,2226.15205,257.72871,460.4638,16.77083,1578.74535,607.31679,36429.17782,791.28706,2231.41331,533.39505,1183.99043,2137.98419,175.00715,511.37031,411.98299,1490.5811,339.35257
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
