,专用设备制造业规模以上工业企业负债合计,交通运输设备制造业规模以上工业企业负债合计,仪器仪表及文化、办公用机械制造业规模以上工业企业负债合计,其他采矿业规模以上工业企业负债合计,农副食品加工业规模以上工业企业负债合计,化学原料及化学制品制造业规模以上工业企业负债合计,化学纤维制造业规模以上工业企业负债合计,医药制造业规模以上工业企业负债合计,印刷业和记录媒介的复制规模以上工业企业负债合计,塑料制品业规模以上工业企业负债合计,家具制造业规模以上工业企业负债合计,工艺品及其他制造业规模以上工业企业负债合计,废弃资源和废旧材料回收加工业规模以上工业企业负债合计,文教体育用品制造业规模以上工业企业负债合计,有色金属冶炼及压延加工业规模以上工业企业负债合计,有色金属矿采选业规模以上工业企业负债合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业负债合计,橡胶制品业规模以上工业企业负债合计,水的生产和供应业规模以上工业企业负债合计,烟草制品业规模以上工业企业负债合计,煤炭开采和洗选业规模以上工业企业负债合计,燃气生产和供应业规模以上工业企业负债合计,电力、热力的生产和供应业规模以上工业企业负债合计,电气机械及器材制造业规模以上工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业负债合计,石油加工、炼焦及核燃料加工业规模以上工业企业负债合计,石油和天然气开采业规模以上工业企业负债合计,纺织业规模以上工业企业负债合计,纺织服装、鞋、帽制造业规模以上工业企业负债合计,规模以上工业企业负债合计,通信设备、计算机及其他电子设备制造规模以上工业企业负债合计,通用设备制造业规模以上工业企业负债合计,造纸及纸制品业规模以上工业企业负债合计,金属制品业规模以上工业企业负债合计,非金属矿物制品业规模以上工业企业负债合计,非金属矿采选业规模以上工业企业负债合计,食品制造业规模以上工业企业负债合计,饮料制造业规模以上工业企业负债合计,黑色金属冶炼及压延加工业规模以上工业企业负债合计,黑色金属矿采选业规模以上工业企业负债合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,3171.8717,7198.15539,866.83555,22.4267,2704.41699,6154.2529,933.56064,2328.17801,723.97935,1610.27036,345.52653,490.40502,17.79582,385.60182,2614.96527,375.22253,530.02295,878.8464,937.07005,1185.08569,3036.56187,397.72037,16240.27259,4447.20232,793.01048,2040.23271,1762.38653,4928.29447,1368.99691,99527.97,7471.5927,4206.12966,2055.02835,1977.16797,4616.5061,404.57071,1324.17849,1758.57173,6979.92592,245.12813
2004年,3681.96899,8606.28059,1107.83065,4.66522,3187.96112,7220.46363,1269.08137,2445.92644,842.60506,2265.39728,527.37553,737.79076,72.80716,489.65546,3496.90536,419.90159,711.98799,1124.64494,1245.18308,1119.12669,4281.81351,512.71127,20184.87336,5812.12237,986.53392,2761.30454,2238.47126,5972.0978,1607.46733,124847.41,9766.20265,5646.21262,2600.77871,2559.9611,5674.85884,383.97939,1616.79533,1845.61734,9412.83403,405.21537
2005年,4020.37662,9918.73892,1217.39193,2.53699,3423.48013,8543.24523,1454.83918,2875.13285,916.17296,2467.17837,592.68293,750.38649,81.9011,543.74068,4151.87375,494.45292,733.4582,1158.00117,1385.70718,1074.58982,5332.53773,611.17057,22318.15816,6731.23882,1147.47563,3664.8628,2311.74619,6346.7589,1816.22024,141509.84,11329.93246,6172.60072,2869.21427,2770.74997,6224.02218,370.90321,1821.8579,1873.26542,11428.17096,563.06887
2006年,4686.59127,11910.40665,1478.39432,1.54132,3984.82955,10296.23167,1633.09692,3122.8308,1009.55476,2917.98121,739.301,896.36593,134.6493,630.79521,5335.251,696.89607,876.3102,1351.69974,1814.94696,1086.98929,6714.02089,802.03831,26585.73849,8134.10231,1279.23104,4324.58892,3028.54496,7112.00505,2111.20448,167322.23,12534.43866,7131.36204,3201.80205,3453.07025,6824.3267,461.15629,2017.21245,2173.08265,14111.28166,718.3582
2007年,5885.76955,15853.94671,1673.71057,1.94141,4997.35843,12387.13884,2106.29366,3377.33359,1161.88583,3352.86214,923.30767,1190.92278,180.66076,731.34404,6663.74756,868.83621,1090.9037,1607.68809,1980.69761,932.00876,8477.41799,918.41998,31104.93953,9991.08272,1499.7057,5317.82621,3835.78562,8257.94041,2517.53843,202913.68,15085.35837,8866.39484,3596.30668,4413.32192,7931.12249,490.64028,2331.31701,2613.0648,17737.42433,959.71931
2008年,8087.23517,19395.86609,1917.72996,1.83096,6001.78927,15172.37281,2008.85265,3786.31248,1307.66926,3858.04871,1075.21767,1334.64163,370.43302,849.08125,8166.37782,1048.74752,1345.62854,1951.41569,2279.61137,1042.04581,11483.102,1227.7853,39817.33205,11993.52897,1622.7257,7243.23765,5012.99954,8935.33003,3068.34931,248899.38,15760.8469,11626.94583,4299.3444,5468.64148,10056.2528,651.66042,2778.23735,3019.68864,22305.5601,1526.90716
2009年,9086.04149,23969.6983,2414.54005,2.48546,7174.13608,17725.18337,2059.92693,4308.78837,1390.55328,4086.14494,1131.67712,1457.12228,507.41456,847.44389,9813.35921,1202.48881,1435.53519,1965.75877,2644.04242,1179.61111,14051.16403,2189.55357,44674.93369,14044.35518,1738.04995,8104.2751,6823.43482,9299.91926,3101.76036,285732.81,17270.94253,12907.11408,4658.47367,6109.81655,11395.85972,729.42072,3092.17839,3335.24048,26087.39613,1716.9681
2010年,11030.30333,30248.95421,2595.91698,5.77366,9121.78194,21588.07293,2526.72837,4890.73594,1536.34785,4879.71304,1410.25829,1757.32778,613.18875,935.6882,12362.52782,1445.01209,1642.71531,2282.58555,2998.24733,1318.70986,17418.53384,1659.88846,50505.23923,18289.64378,1987.83112,9545.57548,7292.65858,10670.28806,3590.59274,340396.39,20437.59081,15491.7914,5457.20794,7249.60977,13901.44736,868.73583,3685.26848,3954.34409,30191.73454,3007.81827
2011年,12839.2818,33305.39402,3011.09445,4.70643,10657.85536,25166.08555,3242.1887,5667.55955,1499.54979,5059.60396,1544.03456,2294.07955,836.35469,916.22816,14754.78623,1685.81801,1724.32272,2718.0304,3038.62089,1492.43037,22557.63327,1927.64085,55801.04038,21901.15893,2041.5052,11894.30063,9137.53835,11240.90286,3924.53726,392644.64,24401.49946,16626.43432,6274.6564,8577.34586,16153.60042,958.14354,4231.63903,4685.26311,35119.54895,3732.23001
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
